accession,osdr_study_url,dataset_api_url,files_api_url,metadata_download_url,metadata_zip_filename,metadata_zip_sha256,metadata_zip_size_bytes,downloaded_at_utc,api_project_identifiers,api_mission_names,api_mission_start_dates,api_mission_end_dates,isa_source_tables,n_isa_source_rows,age_source_field,sex_source_field,spaceflight_source_field,launch_mission_source_field,space_mission_source_field
OSD-241,https://osdr.nasa.gov/bio/repo/data/studies/OSD-241/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-241/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-241/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-241/download?source=datamanager&file=OSD-241_metadata_OSD-241-ISA.zip,OSD-241_metadata_OSD-241-ISA.zip,f64f95d3e4aabc2ae99c336e3b82af85bfcb6a9a55d3f75d79346eb85094befd,112872,2026-08-30 12:55:53 UTC,RR-5,SpaceX-11,06/03/2017,07/03/2017,s_OSD-241.txt,19,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-242,https://osdr.nasa.gov/bio/repo/data/studies/OSD-242/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-242/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-242/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-242/download?source=datamanager&file=OSD-242_metadata_OSD-242-ISA.zip,OSD-242_metadata_OSD-242-ISA.zip,dd4795088f18af6a8eac281d1c6d7b19a2b1a0e48439e7093c47e6efb4e2ba0e,131751,2026-08-30 12:55:53 UTC,RR-9,SpaceX-12,8/14/17,9/17/17,s_OSD-242.txt,23,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-253,https://osdr.nasa.gov/bio/repo/data/studies/OSD-253/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-253/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-253/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-253/download?source=datamanager&file=OSD-253_metadata_GLDS-253-ISA.zip,OSD-253_metadata_GLDS-253-ISA.zip,205726506e1cdb779dfa5f73cff979df044c9ace1df2802994ce086b209bddcc,570619,2026-08-30 12:55:53 UTC,RR-7,SpaceX-15,06/29/2018,08/03/2018,s_OSD-253.txt,112,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-254,https://osdr.nasa.gov/bio/repo/data/studies/OSD-254/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-254/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-254/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-254/download?source=datamanager&file=OSD-254_metadata_GLDS-254-ISA.zip,OSD-254_metadata_GLDS-254-ISA.zip,b661206ded20f5924d37408442f48b364d5b56150c903166c92b65914e84872f,409028,2026-08-30 12:55:53 UTC,RR-7,SpaceX-15,06/29/2018,08/03/2018,s_OSD-254.txt,80,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-255,https://osdr.nasa.gov/bio/repo/data/studies/OSD-255/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-255/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-255/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-255/download?source=datamanager&file=OSD-255_metadata_OSD-255-ISA.zip,OSD-255_metadata_OSD-255-ISA.zip,c0fa7c0abae0b667ed3b722b2c146b0dc034bae489cde9c00d3929b79d0f2bc6,94840,2026-08-30 12:55:53 UTC,RR-9,SpaceX-12,08/14/2017,09/17/2017,s_OSD-255.txt,16,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-289,https://osdr.nasa.gov/bio/repo/data/studies/OSD-289/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-289/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-289/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-289/download?source=datamanager&file=OSD-289_metadata_OSD-289-ISA.zip,OSD-289_metadata_OSD-289-ISA.zip,be1f691e4e1adbad105c2deee52beb4bf4c96d05c97303628f7628cd163b1e99,97178,2026-08-30 12:55:53 UTC,MHU-1;MHU-2,SpaceX-9;SpaceX-12,07/18/2016;08/14/2017,09/26/2016;09/17/2017,s_OSD-289.txt,18,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",Factor Value[Space Mission]
OSD-379,https://osdr.nasa.gov/bio/repo/data/studies/OSD-379/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-379/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-379/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-379/download?source=datamanager&file=OSD-379_metadata_OSD-379-ISA.zip,OSD-379_metadata_OSD-379-ISA.zip,e760be74175d4b3088a3512019343540a81816025d77d5fad7a996a2d514b588,647546,2026-08-30 12:55:53 UTC,RRRM-1 (RR-8),SpaceX-16,12/05/2018,01/14/2019,s_OSD-379.txt,141,Factor Value[Age],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-397,https://osdr.nasa.gov/bio/repo/data/studies/OSD-397/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-397/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-397/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-397/download?source=datamanager&file=OSD-397_metadata_OSD-397-ISA.zip,OSD-397_metadata_OSD-397-ISA.zip,c046e8fa3fd5a760decb3c9ab2e81acda6e15ca80f3e0faed9093cda3b27b8be,87605,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,9/21/14,10/25/14,s_OSD-397.txt,17,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-419,https://osdr.nasa.gov/bio/repo/data/studies/OSD-419/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-419/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-419/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-419/download?source=datamanager&file=OSD-419_metadata_GLDS-419-ISA.zip,OSD-419_metadata_GLDS-419-ISA.zip,763a329b792b2070a84a20906f602e73125e368a898e066f619813911a39f24f,67171,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,09/21/2014,10/25/2014,s_OSD-419.txt,12,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-420,https://osdr.nasa.gov/bio/repo/data/studies/OSD-420/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-420/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-420/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-420/download?source=datamanager&file=OSD-420_metadata_GLDS-420-ISA.zip,OSD-420_metadata_GLDS-420-ISA.zip,7633ad9bcaf87813f83275dfca5501e7868e0ae7cafa05b55ca4abaeeedd5dea,97057,2026-08-30 12:55:53 UTC,RR-9,SpaceX-12,08/14/2017,09/17/2017,s_OSD-420.txt,20,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-421,https://osdr.nasa.gov/bio/repo/data/studies/OSD-421/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-421/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-421/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-421/download?source=datamanager&file=OSD-421_metadata_GLDS-421-ISA.zip,OSD-421_metadata_GLDS-421-ISA.zip,b3cd3d2883e76edb246c7b785c7bc661e55e3b801dbc377f7db00cb35ff8f515,96164,2026-08-30 12:55:53 UTC,RR-9,SpaceX-12,08/14/2017,09/17/2017,s_OSD-421.txt,20,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-462,https://osdr.nasa.gov/bio/repo/data/studies/OSD-462/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-462/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-462/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-462/download?source=datamanager&file=OSD-462_metadata_OSD-462-ISA.zip,OSD-462_metadata_OSD-462-ISA.zip,91edfdf8cc36dbaa7808bf270fb3fca83f2f125f90d4358e45ee4cdc51485822,1162046,2026-08-30 12:55:53 UTC,RR-10,SpaceX-21,12/05/2020,01/13/2021,s_OSD-462.txt,58,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],Characteristics[Launch Mission],""
OSD-463,https://osdr.nasa.gov/bio/repo/data/studies/OSD-463/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-463/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-463/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-463/download?source=datamanager&file=OSD-463_metadata_OSD-463-ISA.zip,OSD-463_metadata_OSD-463-ISA.zip,a5f305b2d3835e8e8aff3a201037f678d34996d7f63a52efd3b7876b66024b08,170504,2026-08-30 12:55:53 UTC,RR-23,SpaceX-21,12/05/2020,01/13/2021,s_OSD-463.txt,31,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-464,https://osdr.nasa.gov/bio/repo/data/studies/OSD-464/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-464/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-464/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-464/download?source=datamanager&file=OSD-464_metadata_OSD-464-ISA.zip,OSD-464_metadata_OSD-464-ISA.zip,c1f3b040849c122e7b6db9ff274a83db62daef382bc1f0a15cf941a7dc3d221d,159549,2026-08-30 12:55:53 UTC,RR-23,SpaceX-21,12/5/20,1/13/21,s_OSD-464.txt,28,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-47,https://osdr.nasa.gov/bio/repo/data/studies/OSD-47/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-47/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-47/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-47/download?source=datamanager&file=OSD-47_metadata_OSD-47-ISA.zip,OSD-47_metadata_OSD-47-ISA.zip,ccb6f13ad78fb622cd21d895119a1f66a24a6504be65cbb43f2cfbca27d838fb,111429,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,09/21/2014,10/25/2014,s_OSD-47.txt,16,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-48,https://osdr.nasa.gov/bio/repo/data/studies/OSD-48/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-48/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-48/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-48/download?source=datamanager&file=OSD-48_metadata_OSD-48-ISA.zip,OSD-48_metadata_OSD-48-ISA.zip,f68496f8a6361e2fefe8c4000be73f22808dc15c507c786d3fce458536b5ffb3,203905,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,9/21/14,10/25/2014,s_OSD-48.txt,32,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-506,https://osdr.nasa.gov/bio/repo/data/studies/OSD-506/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-506/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-506/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-506/download?source=datamanager&file=OSD-506_metadata_GLDS-506-ISA.zip,OSD-506_metadata_GLDS-506-ISA.zip,0b704decb37c25c5c9909069783c658ee5abf1dd336cd889cc1616e21b41f2b1,157957,2026-08-30 12:55:53 UTC,RR-23,SpaceX-21,12/05/2020,01/13/2021,s_OSD-506.txt,28,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
