accession,osdr_study_url,dataset_api_url,files_api_url,metadata_download_url,metadata_zip_filename,metadata_zip_sha256,metadata_zip_size_bytes,downloaded_at_utc,api_project_identifiers,api_mission_names,api_mission_start_dates,api_mission_end_dates,isa_source_tables,n_isa_source_rows,age_source_field,sex_source_field,spaceflight_source_field,launch_mission_source_field,space_mission_source_field
OSD-667,https://osdr.nasa.gov/bio/repo/data/studies/OSD-667/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-667/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-667/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-667/download?source=datamanager&file=OSD-667_metadata_OSD-667-ISA.zip,OSD-667_metadata_OSD-667-ISA.zip,59ae55d6458448aa8abdf32278aa7618fccafc0c0152a86bf25b6731f3a006e8,197225,2026-08-30 12:55:53 UTC,RR-10,SpaceX-21,12/05/2020,01/13/2021,s_OSD-667.txt,39,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-686,https://osdr.nasa.gov/bio/repo/data/studies/OSD-686/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-686/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-686/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-686/download?source=datamanager&file=OSD-686_metadata_OSD-686-ISA.zip,OSD-686_metadata_OSD-686-ISA.zip,d835b5205c425cd10f97523f0b5c9f095192423c332ed78598e23f41b6273b04,57485,2026-08-30 12:55:53 UTC,MHU-2,SpaceX-12,08/14/2017,09/17/2017,s_OSD-686.txt,9,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-690,https://osdr.nasa.gov/bio/repo/data/studies/OSD-690/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-690/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-690/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-690/download?source=datamanager&file=OSD-690_metadata_OSD-690-ISA.zip,OSD-690_metadata_OSD-690-ISA.zip,7e6ef6a0287a5b8b379582496e19a16a3bf3e5462ea8bbfe28f73e714a205a3d,128942,2026-08-30 12:55:53 UTC,MHU-3,SpaceX-14,04/02/2018,05/05/2018,s_OSD-690.txt,24,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-714,https://osdr.nasa.gov/bio/repo/data/studies/OSD-714/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-714/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-714/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-714/download?source=datamanager&file=OSD-714_metadata_OSD-714-ISA.zip,OSD-714_metadata_OSD-714-ISA.zip,5212e67fc23899702a38b37b16029b9291a9879eefbb540f8e286c8a47a8683d,123366,2026-08-30 12:55:53 UTC,MHU-1;MHU-4;MHU-5,SpaceX-9;SpaceX-17;SpaceX-20,07/18/2016;05/04/2019;03/07/2020,09/26/2016;06/03/2019;04/07/2020,s_OSD-714.txt,21,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",Factor Value[Space Mission]
OSD-758,https://osdr.nasa.gov/bio/repo/data/studies/OSD-758/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-758/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-758/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-758/download?source=datamanager&file=OSD-758_metadata_OSD-758-ISA.zip,OSD-758_metadata_OSD-758-ISA.zip,46ed1a4f3709e203e53eb1b899d37c10c0aa08d7dee31accfb4f7e00b624767e,186206,2026-08-30 12:55:53 UTC,MHU-8,SpaceX-27,3/14/23,4/15/23,s_OSD-758.txt,35,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-759,https://osdr.nasa.gov/bio/repo/data/studies/OSD-759/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-759/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-759/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-759/download?source=datamanager&file=OSD-759_metadata_OSD-759-ISA.zip,OSD-759_metadata_OSD-759-ISA.zip,8bfa05c335f52a1bf14455e003a6f5960e97ca97c15ec84c7208aab798d97322,185194,2026-08-30 12:55:53 UTC,MHU-8,SpaceX-27,3/14/23,4/15/23,s_OSD-759.txt,35,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-770,https://osdr.nasa.gov/bio/repo/data/studies/OSD-770/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-770/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-770/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-770/download?source=datamanager&file=OSD-770_metadata_OSD-770-ISA.zip,OSD-770_metadata_OSD-770-ISA.zip,8943abfbc918f4973635d3d26843434c5ab4a13fbfed818e4b76f7a5161382a5,151847,2026-08-30 12:55:53 UTC,RR-23,SpaceX-21,12/05/2020,01/13/2021,s_OSD-770.txt,30,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-771,https://osdr.nasa.gov/bio/repo/data/studies/OSD-771/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-771/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-771/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-771/download?source=datamanager&file=OSD-771_metadata_OSD-771-ISA.zip,OSD-771_metadata_OSD-771-ISA.zip,b7f0a4170b99ac5138fda6186acf822276d12df21e1564817dbf871ff11c58a4,381390,2026-08-30 12:55:53 UTC,RR-17,SpaceX-18,7/25/19,8/27/19,s_OSD-771.txt,80,Factor Value[Age],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-899,https://osdr.nasa.gov/bio/repo/data/studies/OSD-899/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-899/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-899/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-899/download?source=datamanager&file=OSD-899_metadata_OSD-899-ISA.zip,OSD-899_metadata_OSD-899-ISA.zip,198bacbf2598bbeb647805dd655ecbe6588bd9596be13c47bea5abfdb9ce3ae4,302407,2026-08-30 12:55:53 UTC,RR-10,SpaceX-21,12/5/20,1/13/21,s_OSD-899.txt,64,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-900,https://osdr.nasa.gov/bio/repo/data/studies/OSD-900/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-900/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-900/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-900/download?source=datamanager&file=OSD-900_metadata_OSD-900-ISA.zip,OSD-900_metadata_OSD-900-ISA.zip,33c252a47964605d7367892a19a0be78aea6e1f043279f99f60aea253f1fe035,218840,2026-08-30 12:55:53 UTC,RR-10,SpaceX-21,12/05/2020,01/13/2021,s_OSD-900.txt,42,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
OSD-99,https://osdr.nasa.gov/bio/repo/data/studies/OSD-99/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-99/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-99/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-99/download?source=datamanager&file=OSD-99_metadata_OSD-99-ISA.zip,OSD-99_metadata_OSD-99-ISA.zip,076839a59c9a98792f2afe16219c1130c8e09ea79e67f4dbfe501279cf12d7ff,88473,2026-08-30 12:55:53 UTC,RR-1,SpaceX-4,09/21/2014,10/25/2014,s_OSD-99.txt,18,Characteristics[Age at Launch],Characteristics[Sex],Factor Value[Spaceflight],"",""
