Pathway,Df_group,Df_residual,F_value,P_value,Significance
NHEJ,25,334,82.7500149906925,5.65246645641573e-127,***
HR,25,334,43.9309873303017,5.01031852348194e-90,***
A-EJ,25,334,41.2985048230581,1.09226592487609e-86,***
BER,25,334,38.1045173987014,2.01781530526155e-82,***
NER,25,334,137.421267970317,2.35936956817348e-159,***
MMR,25,334,50.4563319486392,1.0676137839093e-97,***
FA,25,330,37.5196179047718,3.93911368908311e-81,***
