Pathway,Group,EnsemblID,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
NHEJ,Adrenal gland,ENSMUSG00000022471,Xrcc6,11.3239394587065,0.341687348200098,11.0903650425225,11.6924958614696,10.8784518179583,11.8316190026481,14
NHEJ,Adrenal gland,ENSMUSG00000026187,Xrcc5,9.88143990632639,0.274514359073774,9.72009221223742,10.0315189115109,9.42465977321015,10.3455856842006,14
NHEJ,Adrenal gland,ENSMUSG00000026162,Nhej1,7.80937849071137,0.228525432432279,7.64708202589033,7.95028336665103,7.42088299732502,8.17481304439924,14
NHEJ,Adrenal gland,ENSMUSG00000047617,Paxx,9.43276283429589,0.287971034959573,9.19350590752957,9.70343449999466,9.07093907288493,9.8675349671927,14
NHEJ,Bone marrow,ENSMUSG00000022471,Xrcc6,9.32998108161784,0.203160771465502,9.30858359614043,9.47558529969226,9.05808104081268,9.51419886043229,6
NHEJ,Bone marrow,ENSMUSG00000026187,Xrcc5,7.45037961430224,0.18081251702344,7.36982328309704,7.52097812049537,7.15888247125922,7.67587524039011,6
NHEJ,Bone marrow,ENSMUSG00000026162,Nhej1,7.31473144650652,0.194045422024257,7.22019864727301,7.35065116467915,7.07394249917381,7.54632994078836,6
NHEJ,Bone marrow,ENSMUSG00000047617,Paxx,7.87192237255043,0.224536516056264,7.77341678464779,8.04742683892545,7.49314876200322,8.0699560022215,6
NHEJ,Cecum,ENSMUSG00000022471,Xrcc6,7.7934566057675,0.131379415029484,7.70107475886969,7.79889845022258,7.67101256640353,7.94563398725192,5
NHEJ,Cecum,ENSMUSG00000026187,Xrcc5,7.92242192551189,0.362316136807313,7.63165984118291,8.21116557745973,7.44405235060863,8.24309162975969,5
NHEJ,Cecum,ENSMUSG00000026162,Nhej1,5.04007996515964,0.930506633340501,5.23007786834213,5.45773564203273,4.88859120780623,5.79922230256863,5
