Pathway,Group,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
HR,Gastrocnemius,Blm,72.297220267,74.4241495725435,34.37744468055,71.2557076433853,7.66599989689268,126.573102087638,10
HR,Gastrocnemius,Rad51,14.2893676241081,7.69459208326923,8.49993266627469,16.750685359349,6.95780293041401,29.1268143989604,10
HR,Heart,Brca1,11.12514236692,4.90677022438287,8.96958397988672,13.7948620551758,5.78570299040831,15.4362591409865,3
HR,Heart,Bard1,16.6429238641252,4.30914152713557,14.4961542981064,18.8052119936409,12.3183476050938,20.9364629961628,3
HR,Heart,Blm,36.1878839227007,15.3637285515296,27.7271539774971,42.725427983935,23.1127958002322,53.1093438131079,3
HR,Heart,Rad51,15.0180166489959,7.18618423449173,11.1811524414749,18.3036231208592,8.44680370526941,22.6917450640381,3
HR,Heart / Heart right ventricle,Brca1,23.7326540300531,7.5330942244995,19.1632458902222,26.7961797000809,14.7148657914066,36.5054892529573,10
HR,Heart / Heart right ventricle,Bard1,32.7333595704154,6.76495987057277,27.4407004887132,34.7330294424459,22.8803052725123,45.6310763061021,10
HR,Heart / Heart right ventricle,Blm,74.8807706236781,14.2052899951643,66.6198074228991,82.4951715553604,55.0737056867463,104.208354441645,10
HR,Heart / Heart right ventricle,Rad51,9.62928819606471,3.35417082228112,8.10014974215758,10.2861472823761,5.49857211178635,13.5651435927038,10
HR,Kidney,Brca1,80.0129005832515,74.1071344132958,29.5908022043656,92.3856182059789,7.08933901636619,186.577842208399,55
HR,Kidney,Bard1,49.4911207978883,35.3277027721884,26.4307467557928,63.1613784075071,9.79533096339703,118.257325885079,55
HR,Kidney,Blm,88.6574900224559,58.7328340022,54.0008067981369,103.090835696494,26.609600795775,176.72587904403,55
HR,Kidney,Rad51,29.2585287405408,19.3404410563125,18.1457746204586,32.8455781641761,6.58817739140098,54.8952834797525,55
HR,Left lobe of the liver,Brca1,177.643670945439,77.8988869333485,122.640776827506,211.430082969106,74.5006600380564,344.614042181506,24
HR,Left lobe of the liver,Bard1,16.9466104928366,8.70935833582593,10.9591789171437,19.6760125709583,3.42637537526777,32.7512630516802,24
HR,Left lobe of the liver,Blm,138.352731189565,52.8226192691473,100.804042069777,176.305720006836,63.5880364320995,243.553845778422,24
HR,Left lobe of the liver,Rad51,11.5081770901676,9.40516112175993,5.48185558562138,12.8683510401834,1.5651114649271,23.9480942220265,24
HR,Liver,Brca1,132.399486386456,60.0183457308434,89.1873531188936,157.48448159776,41.1781150292888,259.93017431606,19
HR,Liver,Bard1,16.8673829913218,9.73666520150947,9.87842446604813,22.1793568733435,2.03297465845053,39.2867390603136,19
HR,Liver,Blm,76.6901802600641,39.5242457521495,49.7352900881024,94.7783556455135,11.0234339975124,146.87044551053,19
HR,Liver,Rad51,19.870635186621,16.8492651536248,8.74494229436892,23.3456889503667,5.65234547760387,45.2468089343635,19
HR,Lung,Brca1,85.7096431788807,28.637226148005,63.3918898175979,99.5562150190357,53.4961565700113,153.802702821192,14
HR,Lung,Bard1,59.4138729011507,24.9045329906522,45.623650444285,78.2171905207302,26.0623985302908,102.642528888467,14
HR,Lung,Blm,120.204746130682,29.0372100732817,99.2518040781372,128.528594549706,85.456740939307,172.443780257059,14
HR,Lung,Rad51,22.9679201360727,9.72418805625363,17.7291322427173,25.6754533769755,9.55048311471034,37.5949350783628,14
HR,Mammary gland,Brca1,100.064711720639,39.5878843337953,74.5125284355296,125.922349247027,37.1363169413685,170.377412414139,10
HR,Mammary gland,Bard1,46.825513878627,18.1739099276591,35.2011496819982,56.7015749759063,17.9411919552494,84.241106636299,10
HR,Mammary gland,Blm,151.775497523966,34.545832647399,134.264496378329,165.108784506389,105.220825701954,211.375216698478,10
HR,Mammary gland,Rad51,29.1305127251377,16.6315039886178,17.6791084531328,39.1647750028697,11.4307017002743,64.5057186912606,10
HR,Optic nerve,Brca1,102.547277421427,90.3621623769386,29.4581646696394,190.979600048776,23.2414405440214,209.241250091729,5
HR,Optic nerve,Bard1,38.4397816570843,9.27440929708272,37.3044773178239,39.1391563004123,34.5524588439411,41.8911747742951,5
HR,Optic nerve,Blm,235.191325500209,103.242246038372,191.096605585042,265.605713156054,123.844634280186,377.369374512572,5
HR,Optic nerve,Rad51,45.5726810473197,18.9709035751863,34.9828122430583,48.0786028407996,31.8309975745315,67.7222887374117,5
HR,Quadriceps femoris,Brca1,13.7867795688021,9.2310358020051,7.18508531858617,24.0414523289608,0.105528564424034,25.8178377693212,9
HR,Quadriceps femoris,Bard1,9.25546963859257,3.53200368699436,6.97342563436228,10.8422983653208,5.42430095328481,15.3800233749603,9
HR,Quadriceps femoris,Blm,167.866002282024,50.043492904889,133.916725955856,188.620193684968,111.320382269747,270.675395278635,9
HR,Quadriceps femoris,Rad51,53.8669279343834,27.5161939936291,38.5749151918041,52.9079255697357,30.034814673583,74.4074411366331,9
HR,Retina,Brca1,378.887132400013,115.582837380285,319.401125219392,402.944314030305,213.805117279521,528.259097246674,27
HR,Retina,Bard1,47.5500192388047,17.5842059543233,35.5169344625535,53.062920321774,22.8740421107212,79.3818991106046,27
HR,Retina,Blm,359.750438552259,108.295824067566,282.351125694172,425.025428724179,171.908876105868,605.482324886832,27
HR,Retina,Rad51,88.2118968034892,41.9930841947684,62.1155546445604,103.853985001266,35.028689889152,166.461630536324,27
HR,Soleus,Brca1,20.005010670895,21.6116411128066,6.53856410169705,30.4584876079251,0.633032396329735,66.3383728672673,18
HR,Soleus,Bard1,18.9192321531784,18.800864206299,7.87671719617917,16.6192475710814,4.49763147077358,29.7330431334346,18
HR,Soleus,Blm,106.298646844109,61.1147524984572,73.4903633516337,121.058621174797,53.6243365223535,192.411007909542,18
HR,Soleus,Rad51,39.7147473428234,23.8428614661073,21.8115968628427,49.9424637641477,9.11197182629982,89.3522913596996,18
HR,Spleen,Brca1,487.906492557943,271.170175963073,296.4651603206,820.275055967786,198.400782513082,866.682218453407,9
HR,Spleen,Bard1,261.528678691482,108.35057001317,202.639486856967,349.412596289873,123.920938980143,422.677591254128,9
HR,Spleen,Blm,409.512260491897,174.71487221261,297.314395289719,457.984099778611,270.203164452924,698.988656511947,9
HR,Spleen,Rad51,113.081575761268,55.8794785879208,67.8418746198892,169.985873423949,30.0637862183789,172.11636655711,9
HR,Spleen-distal,Brca1,69.0779846093416,59.3938474885858,33.0709090939821,81.3589085308872,9.61673837375822,153.790907686245,10
HR,Spleen-distal,Bard1,31.4626063161004,23.1133172162501,14.242933976632,47.9355159312361,3.02766788098338,72.6299789910858,10
HR,Spleen-distal,Blm,89.059952981952,40.2718656464718,60.3018163352512,95.4492331059238,42.3555511479418,148.170358261933,10
HR,Spleen-distal,Rad51,50.1630808649502,31.8096956726314,26.9128510571598,73.5602295221123,14.904596184031,105.055438989283,10
HR,Thymus,Brca1,219.618111129882,224.675909903526,30.6174307921429,327.105558284448,10.1537251956622,644.079220192837,23
HR,Thymus,Bard1,183.467634823728,162.284999117259,31.4083074356711,268.631665342293,13.9373865513006,502.903793458347,23
HR,Thymus,Blm,215.648038285472,173.317912352821,56.7373471012484,333.041384956141,7.073033195664,593.243650514142,23
HR,Thymus,Rad51,106.657842292725,98.0427013794831,30.1553144948277,150.419516229234,7.11092292718582,290.8996874209,23
HR,Tibialis anterior,Brca1,7.53977062277497,7.32141218848492,3.41640010234129,7.6501211439652,2.2937002158911,14.0007027064011,9
HR,Tibialis anterior,Bard1,7.77166254405962,2.39724412764433,6.22907578556684,9.66520182224034,4.25434810631876,11.1942242453155,9
HR,Tibialis anterior,Blm,148.550286520314,22.3395741867436,138.247864743502,154.546439446555,113.800002688921,178.994301501136,9
HR,Tibialis anterior,Rad51,24.8459635787293,8.23886578164702,20.329408754443,32.4844639201428,14.5579787916292,36.3935419690098,9
A-EJ,Adrenal gland,Parp1,4776.96441579004,1880.94635313212,3305.83073355384,6851.58028836838,2532.84125754031,7673.69175627594,14
A-EJ,Adrenal gland,Polq,41.9160916860259,24.3290321492897,24.6243503736366,50.4006697328627,16.9820462876052,89.065148771702,14
A-EJ,Adrenal gland,Lig1,368.798791196008,83.0459559303682,308.025206206617,410.49200213139,245.868229644762,532.335297852577,14
A-EJ,Adrenal gland,Lig3,1499.71765077015,242.217843305757,1313.65753254318,1711.64996370063,1121.26890264128,1918.69335301813,14
A-EJ,Bone marrow,Parp1,1322.43067575544,200.88081262542,1215.267469761,1458.11659457475,1066.65045919066,1607.77286681573,6
A-EJ,Bone marrow,Polq,653.217805690219,135.867181214488,563.805121710615,679.653820412166,522.960468233202,853.426868464493,6
A-EJ,Bone marrow,Lig1,1439.24348878104,173.91921545422,1302.51465320532,1589.49216797268,1218.59386844719,1625.33817186367,6
A-EJ,Bone marrow,Lig3,606.202901861882,102.329855126579,571.506105968915,668.798323544887,441.030607425205,735.686594730608,6
A-EJ,Cecum,Parp1,747.836450092011,404.292701789967,464.290367381214,749.912775860433,435.283362466857,1178.34638857926,5
A-EJ,Cecum,Polq,203.670918149403,197.660796878332,124.385595172888,146.576332218451,91.0994896045431,179.862437786795,5
A-EJ,Cecum,Lig1,280.059731738439,47.7598893378314,263.097268626096,300.49668007229,206.998151456806,332.95861743702,5
A-EJ,Cecum,Lig3,361.053271295686,93.997894525985,343.778105031037,401.859267076231,256.656361963246,476.671856567636,5
A-EJ,Cerebellum,Parp1,973.626873868494,68.3510856752026,949.311544315433,987.391021780641,892.192328117621,1044.51023797845,9
A-EJ,Cerebellum,Polq,98.2587997691685,30.8481789214087,82.2984951394901,124.208228535332,55.6226902508857,141.744751663331,9
