Pathway,Df_group,Df_residual,F_value,P_value,Significance
NER,25,334,89.4707085365342,7.98269896349709e-132,***
MMR,25,334,56.1980779131654,7.71181235218701e-104,***
BER,25,334,32.4395825073396,3.49346884286619e-74,***
FA,25,330,31.4696221910483,2.85529760134553e-72,***
HR,25,334,39.5258795542629,2.37370396312025e-84,***
NHEJ,25,334,47.9902664258313,6.81792439674482e-95,***
A-EJ,25,334,42.5959257849617,2.36537373126722e-88,***
