Pathway,Df_group,Df_residual,F_value,P_value,Significance
NHEJ,25,334,47.9902664258317,6.81792439673778e-95,***
HR,25,334,39.5258795542625,2.37370396312282e-84,***
A-EJ,25,334,42.595925784962,2.36537373126518e-88,***
BER,25,334,32.4395825073397,3.49346884286522e-74,***
NER,25,334,89.4707085365343,7.98269896349529e-132,***
MMR,25,334,56.1980779131652,7.71181235219088e-104,***
FA,25,330,31.4696221910483,2.85529760134521e-72,***
