Group,TissueLabel,Pathway,PathwayDisplay,ComponentOrder,RequestedComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,FlightExpressionLog2NormalizedCount,ExpressionWithinTissueScaled,log2FoldChange,tissue_meta_p,padj,Log2FCDisplayed,NominalPDisplayed,n_missions,n_analysis_units,expression_n_missions,expression_n_analysis_units,expression_n_flight_samples,ExpressionLabel,Log2FCLabel,DisplayComponent,Log2FCFullLabel
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,9.36685249140345,0.924890806446444,0.252426383591532,0.0148949084184827,0.181420817387864,0.252426383591532,TRUE,2,3,2,3,24,9.4,+0.25,Prkdc,+0.25
Liver,"Liver
肝脏",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,8.8438905971372,0.873205169443366,-0.0346674479490425,0.874880159989096,1,,FALSE,3,5,3,5,19,8.8,"",Prkdc,-0.03
Lung,"Lung
肺",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.8521539265049,0.992069933334735,0.0150154178350634,0.794965540198773,1,,FALSE,1,2,1,2,14,10.9,"",Prkdc,+0.02
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.1574353479998,1,0.123415676108637,0.198732740179721,0.682066914559646,,FALSE,1,2,1,2,10,11.2,"",Prkdc,+0.12
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.3172215195652,1,0.0762794080732425,0.583503568941022,1,,FALSE,1,1,1,1,5,11.3,"",Prkdc,+0.08
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.8644467933848,0.95586830163652,0.300276496640384,2.70765832704721e-05,0.000539681028310403,0.300276496640384,TRUE,1,1,1,1,9,10.9,+0.30,Prkdc,+0.30
Retina,"Retina
视网膜",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.7421278435292,0.986725281936489,0.035449046065796,0.328531383506814,0.741438127737049,,FALSE,4,4,4,4,27,10.7,"",Prkdc,+0.04
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,9.11500401860603,0.851792456689971,-0.138263328976921,0.207699762766984,0.384132118713625,,FALSE,3,3,3,3,18,9.1,"",Prkdc,-0.14
Spleen,"Spleen
脾脏",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.1680474528575,1,-0.0664943449605583,0.385442172307665,0.97918364414427,,FALSE,1,1,1,1,9,11.2,"",Prkdc,-0.07
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,7.03418270698382,0.76018742822209,-0.151613882878575,0.429785576727092,0.993779040229482,,FALSE,1,1,1,1,10,7.0,"",Prkdc,-0.15
Thymus,"Thymus
胸腺",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,9.64664502036049,0.968511033922413,-0.19330461343106,0.0349660198174262,0.153913188102938,-0.19330461343106,TRUE,3,4,3,4,23,9.6,-0.19,Prkdc,-0.19
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.3675458865946,0.911833912446286,0.152181538520793,0.0297623604141007,0.21805169754165,0.152181538520793,TRUE,1,1,1,1,9,10.4,+0.15,Prkdc,+0.15
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,11.9472241858032,0.988299880726378,0.108599841428908,0.0122315865249805,0.160377816878827,0.108599841428908,TRUE,2,2,2,2,14,11.9,+0.11,Xrcc6,+0.11
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.06215513766689,0.649584613222855,-0.445545165702617,5.68608191174073e-05,0.00121126768166384,-0.445545165702617,TRUE,1,1,1,1,6,9.1,-0.45,Xrcc6,-0.45
Cecum,"Cecum
盲肠",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,7.32931862036998,0.516491811553709,-0.201081386377418,0.260443148576979,1,,FALSE,1,1,1,1,5,7.3,"",Xrcc6,-0.20
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.34900966557444,0.756527570542995,-0.0749832053563797,0.371487043567968,0.82227916296219,,FALSE,1,1,1,1,9,9.3,"",Xrcc6,-0.07
Colon,"Colon
结肠",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.86493970970736,0.525415583042404,-0.0292225086504685,0.878960593290921,1,,FALSE,1,1,1,1,4,8.9,"",Xrcc6,-0.03
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.16594106789777,0.504942967642047,0.042579394798728,0.79312389743094,1,,FALSE,2,5,2,5,30,9.2,"",Xrcc6,+0.04
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.296995940331,0.857908094293904,-0.131404303459834,0.00350060795403105,0.0342137690780804,-0.131404303459834,TRUE,2,2,2,2,15,10.3,-0.13,Xrcc6,-0.13
Eye,"Eye
眼",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.3000606238122,0.718135908853486,0.147323014018996,0.086201424874658,0.988592777200093,,FALSE,2,2,2,2,11,10.3,"",Xrcc6,+0.15
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.29095080184201,0.527372197674124,0.115781096247463,0.314111114139857,0.915134104621833,,FALSE,1,1,1,1,9,9.3,"",Xrcc6,+0.12
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.97493562522462,0.503376334347151,-0.0603245435904049,0.656073472287532,1,,FALSE,1,1,1,1,2,9.0,"",Xrcc6,-0.06
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.03034377068262,0.818950778112205,0.0331776670957098,0.865874793372692,1,,FALSE,1,2,1,2,10,8.0,"",Xrcc6,+0.03
Heart,"Heart
心脏",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.529802828885,0.886230706259232,-0.207288745585483,0.280709831202929,0.909380221030789,,FALSE,1,1,1,1,3,8.5,"",Xrcc6,-0.21
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.9933905689688,0.927559152512417,-0.0739006524441506,0.470250899562363,1,,FALSE,1,2,1,2,10,10.0,"",Xrcc6,-0.07
Kidney,"Kidney
肾脏",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.83929388367471,0.79805367509307,0.0137154025213711,0.102774262909788,0.578305822640654,,FALSE,4,9,4,9,55,9.8,"",Xrcc6,+0.01
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.3654051441695,0.92469200431529,0.000775724830394852,0.995321020035783,1,,FALSE,2,3,2,3,24,9.4,"",Xrcc6,+0.00
Liver,"Liver
肝脏",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.71167272123235,0.852226753556517,0.110900423201808,0.170065230733703,1,,FALSE,3,5,3,5,19,8.7,"",Xrcc6,+0.11
Lung,"Lung
肺",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.30653897057907,0.701120248591862,0.0704059679055511,0.494316685540588,1,,FALSE,1,2,1,2,14,9.3,"",Xrcc6,+0.07
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.1198310323205,0.829954990367394,0.391379446429437,0.00795812584537972,0.263034599171467,0.391379446429437,TRUE,1,2,1,2,10,10.1,+0.39,Xrcc6,+0.39
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,9.53866338664723,0.680429927959383,-0.0182659734355967,0.925921455157162,1,,FALSE,1,1,1,1,5,9.5,"",Xrcc6,-0.02
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.4452536565288,0.902941651127436,0.0179876972280989,0.808401828471996,0.916549055471605,,FALSE,1,1,1,1,9,10.4,"",Xrcc6,+0.02
Retina,"Retina
视网膜",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.97399147968933,0.702290202901957,-0.030722014249195,0.355613455793435,0.762042734088578,,FALSE,4,4,4,4,27,9.0,"",Xrcc6,-0.03
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.99952760941269,0.833271248498622,-0.196861633957128,0.00129323431026093,0.00843621791923724,-0.196861633957128,TRUE,3,3,3,3,18,9.0,-0.20,Xrcc6,-0.20
Spleen,"Spleen
脾脏",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,8.87348663738762,0.508794664249082,-0.0218402187216531,0.884922479201206,0.999085092509181,,FALSE,1,1,1,1,9,8.9,"",Xrcc6,-0.02
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,6.62305827699988,0.673595164998113,0.107222330027732,0.522672094637444,0.993779040229482,,FALSE,1,1,1,1,10,6.6,"",Xrcc6,+0.11
Thymus,"Thymus
胸腺",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.9580366214866,1,-0.2910321645052,0.00848114951480576,0.0589863112806539,-0.2910321645052,TRUE,3,4,3,4,23,11.0,-0.29,Xrcc6,-0.29
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,2,Ku70,Xrcc6,ENSMUSG00000022471,MGI:95606,14375,10.3425909952937,0.908800300803569,-0.136340326336312,0.022182734401609,0.180554830824993,-0.136340326336312,TRUE,1,1,1,1,9,10.3,-0.14,Xrcc6,-0.14
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.4744916602,0.761212089643216,0.185020505527786,0.063249240685495,0.369829662715905,,FALSE,2,2,2,2,14,10.5,"",Xrcc5,+0.19
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,7.11218223701616,0.0266678301878811,0.141621899230608,0.263762249540312,0.540167726209367,,FALSE,1,1,1,1,6,7.1,"",Xrcc5,+0.14
Cecum,"Cecum
盲肠",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,7.45110324521437,0.554477177910111,-0.0886802009047521,0.647852250897799,1,,FALSE,1,1,1,1,5,7.5,"",Xrcc5,-0.09
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.89303626542174,0.843540958856978,0.21438045542157,0.00566375487080788,0.104940565745407,0.21438045542157,TRUE,1,1,1,1,9,9.9,+0.21,Xrcc5,+0.21
Colon,"Colon
结肠",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,8.95058127704233,0.55074312225133,-0.100207176525974,0.695448011751662,1,,FALSE,1,1,1,1,4,9.0,"",Xrcc5,-0.10
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.4792451713344,0.58346446465917,-0.0454127970362465,0.552463542207207,1,,FALSE,2,5,2,5,30,9.5,"",Xrcc5,-0.05
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.5394446141841,0.887934687864862,-0.264158531092121,2.19585436729006e-05,0.000623439239381281,-0.264158531092121,TRUE,2,2,2,2,15,10.5,-0.26,Xrcc5,-0.26
Eye,"Eye
眼",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.673237883911,0.789701371319657,-0.0566435591648109,0.169044438393507,0.999687556394716,,FALSE,2,2,2,2,11,10.7,"",Xrcc5,-0.06
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.54180206252526,0.596313871064537,0.0645476247217969,0.41756852514721,0.942258822769207,,FALSE,1,1,1,1,9,9.5,"",Xrcc5,+0.06
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.18984224602887,0.55623383821996,-0.235742373182005,0.101238554255107,1,,FALSE,1,1,1,1,2,9.2,"",Xrcc5,-0.24
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,8.35590815345391,0.870376473404864,0.071082755700064,0.864705489180975,1,,FALSE,1,2,1,2,10,8.4,"",Xrcc5,+0.07
Heart,"Heart
心脏",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,8.55903685013087,0.890697178163697,-0.082231381387887,0.654916374593844,0.980550093086773,,FALSE,1,1,1,1,3,8.6,"",Xrcc5,-0.08
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.98973498221271,0.927054640829321,0.0765494184729235,0.385551154286062,1,,FALSE,1,2,1,2,10,10.0,"",Xrcc5,+0.08
Kidney,"Kidney
肾脏",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,11.1364915486329,1,0.0141919152135721,0.541819687283892,0.916036462136648,,FALSE,4,9,4,9,55,11.1,"",Xrcc5,+0.01
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.80356694078681,0.984876248230296,0.132030562311038,0.101041683292862,0.523932657600461,,FALSE,2,3,2,3,24,9.8,"",Xrcc5,+0.13
Liver,"Liver
肝脏",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.1964278242121,0.929140666172238,-0.108683727776108,0.709895117498651,1,,FALSE,3,5,3,5,19,9.2,"",Xrcc5,-0.11
Lung,"Lung
肺",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.8406562765581,0.801663570325719,0.154572611980312,0.258632299861163,1,,FALSE,1,2,1,2,14,9.8,"",Xrcc5,+0.15
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.37063797032049,0.701783453425903,0.214782687468739,0.0676709819732357,0.48574674186844,,FALSE,1,2,1,2,10,9.4,"",Xrcc5,+0.21
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.9748267255633,0.946089058928212,0.156347671636638,0.538214250898436,1,,FALSE,1,1,1,1,5,11.0,"",Xrcc5,+0.16
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.8241468438765,0.95078009489927,-0.236683141818605,0.0618019883594017,0.208526378354257,,FALSE,1,1,1,1,9,10.8,"",Xrcc5,-0.24
Retina,"Retina
视网膜",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,9.44367144925822,0.777846286695822,-0.0294316737524035,0.955506627866158,0.991604730603598,,FALSE,4,4,4,4,27,9.4,"",Xrcc5,-0.03
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,8.70625032144776,0.786232639087947,-0.347460937947224,0.0201067057213795,0.0763361538308832,-0.347460937947224,TRUE,3,3,3,3,18,8.7,-0.35,Xrcc5,-0.35
Spleen,"Spleen
脾脏",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,8.61192877955159,0.444298355271487,-0.192557091825368,0.149120240818836,0.803411848338175,,FALSE,1,1,1,1,9,8.6,"",Xrcc5,-0.19
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,6.03273592211219,0.549259696187783,-0.0632995609969069,0.794259648660206,0.999854481060172,,FALSE,1,1,1,1,10,6.0,"",Xrcc5,-0.06
Thymus,"Thymus
胸腺",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,8.03530988750696,0.516972877060107,0.117566075277209,0.932021030227805,0.979680657117318,,FALSE,3,4,3,4,23,8.0,"",Xrcc5,+0.12
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,3,Ku80,Xrcc5,ENSMUSG00000026187,MGI:104517,22596,10.1934399389986,0.890668930266046,-0.419496874664035,0.000673200062495809,0.0150037548079189,-0.419496874664035,TRUE,1,1,1,1,9,10.2,-0.42,Xrcc5,-0.42
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,8.43723292053752,0.447077255916139,0.0332537671503767,0.616391318248175,0.886401628649721,,FALSE,2,2,2,2,14,8.4,"",Nhej1,+0.03
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.97304769127432,0,0.241870809979237,0.0926166931413933,0.292101161225634,,FALSE,1,1,1,1,6,7.0,"",Nhej1,+0.24
Cecum,"Cecum
盲肠",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,4.84773616722981,0,-0.00469260880183195,0.987738042264321,1,,FALSE,1,1,1,1,5,4.8,"",Nhej1,-0.00
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,5.826656549959,0.193150927720671,-0.23911325722503,0.32717209875521,0.794791817545793,,FALSE,1,1,1,1,9,5.8,"",Nhej1,-0.24
Colon,"Colon
结肠",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.66550246272209,0,-0.161891509204292,0.472803015728715,1,,FALSE,1,1,1,1,4,6.7,"",Nhej1,-0.16
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.3305130700722,0,-0.102336439756544,0.180753590653197,1,,FALSE,2,5,2,5,30,6.3,"",Nhej1,-0.10
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.31689844353592,0.488831312325975,-0.21864433507285,0.00411602085858502,0.0385618267030563,-0.21864433507285,TRUE,2,2,2,2,15,7.3,-0.22,Nhej1,-0.22
Eye,"Eye
眼",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.02780229267273,0.0906038863642866,0.142022843037885,0.351194243341646,0.999687556394716,,FALSE,2,2,2,2,11,7.0,"",Nhej1,+0.14
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.41685373717506,0.0123124471977408,0.102429078621579,0.315169387107257,0.915134104621833,,FALSE,1,1,1,1,9,7.4,"",Nhej1,+0.10
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.3069051546413,0,-0.0887604557782606,0.700585282156504,1,,FALSE,1,1,1,1,2,6.3,"",Nhej1,-0.09
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,5.97490249236985,0.494276143956286,0.41344542056683,0.326881489558874,1,,FALSE,1,2,1,2,10,6.0,"",Nhej1,+0.41
Heart,"Heart
心脏",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,5.44748399204089,0.415303687031078,-0.535413484493393,0.137791527177744,0.784094270218032,,FALSE,1,1,1,1,3,5.4,"",Nhej1,-0.54
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.34178649713085,0.561608260782663,-0.0862710299120156,0.569685056996468,1,,FALSE,1,2,1,2,10,7.3,"",Nhej1,-0.09
Kidney,"Kidney
肾脏",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.53119416644369,0.40733173924658,-0.0618667763805614,0.462023334575717,0.881144866099976,,FALSE,4,9,4,9,55,7.5,"",Nhej1,-0.06
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.47199430003112,0.527264055702882,-0.0329843780772388,0.715572636668302,1,,FALSE,2,3,2,3,24,6.5,"",Nhej1,-0.03
Liver,"Liver
肝脏",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.15337184056341,0.446312655549148,-0.0416990582500882,0.962400466289632,1,,FALSE,3,5,3,5,19,6.2,"",Nhej1,-0.04
