Group,TissueLabel,Pathway,PathwayDisplay,ComponentOrder,RequestedComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,FlightExpressionLog2NormalizedCount,ExpressionWithinTissueScaled,log2FoldChange,tissue_meta_p,padj,Log2FCDisplayed,NominalPDisplayed,n_missions,n_analysis_units,expression_n_missions,expression_n_analysis_units,expression_n_flight_samples,ExpressionLabel,Log2FCLabel,DisplayComponent,Log2FCFullLabel
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.9535855439254,0.989280769475112,0.0968641191843189,0.124107089441726,0.497353097783831,,FALSE,2,2,2,2,14,12.0,"",Prkdc,+0.10
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,9.38061440241754,0.751316088906419,-0.216614635313626,0.0712335745371917,0.247421334279037,,FALSE,1,1,1,1,6,9.4,"",Prkdc,-0.22
Cecum,"Cecum
盲肠",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,9.18428520139357,1,-0.264016544230682,0.0257552255602207,0.93861791633411,-0.264016544230682,TRUE,1,1,1,1,5,9.2,-0.26,Prkdc,-0.26
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.9946397280758,1,0.00647207450157564,0.929158542614122,0.990142813090806,,FALSE,1,1,1,1,9,11.0,"",Prkdc,+0.01
Colon,"Colon
结肠",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.8581371851985,1,-0.0857571270250898,0.561906979097277,1,,FALSE,1,1,1,1,4,10.9,"",Prkdc,-0.09
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.2889589702855,1,-0.0721887784995981,0.168099266720952,1,,FALSE,2,5,2,5,30,11.3,"",Prkdc,-0.07
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.4748343376535,0.879932884913912,-0.028372867245444,0.686379474493897,0.875381251192123,,FALSE,2,2,2,2,15,10.5,"",Prkdc,-0.03
Eye,"Eye
眼",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.6751483567786,0.981841123676183,0.0608882012508002,0.224440366462238,0.999687556394716,,FALSE,2,2,2,2,11,11.7,"",Prkdc,+0.06
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.1350321756654,1,-0.00747675083021476,0.895457456249975,0.99231046308686,,FALSE,1,1,1,1,9,11.1,"",Prkdc,-0.01
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,11.0986060286983,1,0.134949463046457,0.185555588641015,1,,FALSE,1,1,1,1,2,11.1,"",Prkdc,+0.13
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,7.93788583836841,0.804346252229778,0.616480849937558,0.21748244971387,1,,FALSE,1,2,1,2,10,7.9,"",Prkdc,+0.62
Heart,"Heart
心脏",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,7.87610365658777,0.786356352249496,0.205427587693063,0.342582396765457,0.925905574613707,,FALSE,1,1,1,1,3,7.9,"",Prkdc,+0.21
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.1132576633054,0.944102146441042,0.0915612563630208,0.392649715689397,1,,FALSE,1,2,1,2,10,10.1,"",Prkdc,+0.09
Kidney,"Kidney
肾脏",NHEJ,NHEJ,1,DNA-PKcs,Prkdc,ENSMUSG00000022672,MGI:104779,19090,10.9858098171738,0.992139277925269,-0.0684605890375089,0.964503090925573,1,,FALSE,4,9,4,9,55,11.0,"",Prkdc,-0.07
