FigureGroup,Pathway,FigurePanel,OrderLeftToRight,Tissue,DisplayTissue
DSB,NHEJ,Fig_4b,1,Bone marrow,Bone marrow
DSB,NHEJ,Fig_4b,2,Spleen-distal,Spleen-distal
DSB,NHEJ,Fig_4b,3,Cerebellum,Cerebellum
DSB,NHEJ,Fig_4b,4,Eye,Eye
DSB,NHEJ,Fig_4b,5,Retina,Retina
DSB,NHEJ,Fig_4b,6,Heart,Heart
DSB,NHEJ,Fig_4b,7,Heart / Heart right ventricle,Heart right ventricle
DSB,NHEJ,Fig_4b,8,Soleus,Soleus
DSB,NHEJ,Fig_4b,9,Gastrocnemius,Gastrocnemius
DSB,NHEJ,Fig_4b,10,Quadriceps femoris,Quadriceps femoris
DSB,NHEJ,Fig_4b,11,Tibialis anterior,Tibialis anterior
DSB,NHEJ,Fig_4b,12,Extensor digitorum longus,Extensor digitorum longus
DSB,NHEJ,Fig_4b,13,Kidney,Kidney
DSB,NHEJ,Fig_4b,14,Left lobe of the liver,Left lobe of the liver
DSB,NHEJ,Fig_4b,15,Liver,Liver
DSB,NHEJ,Fig_4b,16,Optic nerve,Optic nerve
DSB,NHEJ,Fig_4b,17,Lung,Lung
DSB,NHEJ,Fig_4b,18,Adrenal gland,Adrenal gland
DSB,NHEJ,Fig_4b,19,Mammary gland,Mammary gland
DSB,NHEJ,Fig_4b,20,Thymus,Thymus
DSB,NHEJ,Fig_4b,21,Spleen,Spleen
DSB,NHEJ,Fig_4b,22,Cecum,Cecum
DSB,NHEJ,Fig_4b,23,Colon,Colon
DSB,NHEJ,Fig_4b,24,Dorsal skin,Dorsal skin
DSB,NHEJ,Fig_4b,25,Femoral lateral skin,Femoral lateral skin
DSB,NHEJ,Fig_4b,26,Femoral skin,Femoral skin
DSB,HR,Fig_4c,1,Bone marrow,Bone marrow
DSB,HR,Fig_4c,2,Spleen-distal,Spleen-distal
DSB,HR,Fig_4c,3,Cerebellum,Cerebellum
DSB,HR,Fig_4c,4,Eye,Eye
DSB,HR,Fig_4c,5,Retina,Retina
DSB,HR,Fig_4c,6,Heart,Heart
DSB,HR,Fig_4c,7,Heart / Heart right ventricle,Heart right ventricle
DSB,HR,Fig_4c,8,Soleus,Soleus
