主分析顺序,Accession,关联编号,物种,原tissue英文,组织归类,主分析配置组织大类,strict_tissue,主分析mission,主分析天数,Study Title,实验场景（地面/微重力/太空）,辐照,Mission汇总,Payload汇总,Sample数量,Publication数量,OSDR链接,主分析DE文件,主分析logFC列,方向校正sign,strict_tissue_rule,curation_note,原始Material Type
33,OSD-665,GLDS-604,Mus musculus,Right extensor digitorum longus,肌肉,肌肉,Extensor digitorum longus,SpaceX-21,39,Transcriptional profiling of right extensor digitorum longus muscle from mice flown on the RR-23 mission,太空,否,SpaceX-21 (12/5/20-1/13/21; 39天),RR-23 (Rodent Research 23); Space Flight,30,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-665,GLDS-604_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right extensor digitorum longus
34,OSD-666,GLDS-605,Mus musculus,Right quadriceps femoris,肌肉,肌肉,Quadriceps femoris,SpaceX-21,39,Transcriptional profiling of right quadriceps femoris muscle from mice flown on the RR-23 mission,太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-23 (Rodent Research 23); Space Flight,29,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-666,GLDS-605_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right quadriceps femoris
35,OSD-770,GLDS-673,Mus musculus,Right soleus,肌肉,肌肉,Soleus,SpaceX-21,39,Transcriptional profiling of soleus muscle from mice flown on the RR-23 mission,太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-23 (Rodent Research 23); Space Flight,30,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-770,GLDS-673_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right soleus
36,OSD-771,GLDS-674,Mus musculus,Right kidney,肾脏/泌尿,肾脏/泌尿,Kidney,SpaceX-18,33,Transcriptional profiling of kidney tissue from mice flown on the Rodent Research Reference Mission-2 (RRRM-2),太空,否,SpaceX-18 (7/25/19-8/27/19; 33天),RR-17 (Rodent Research Reference Mission 2 (Rodent Research 17)); Space Flight,80,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-771,GLDS-674_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & 12 week & On Earth)v(Space Flight & 12 week & On Earth),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right kidney
37,OSD-162,GLDS-162,Mus musculus,eye,眼/视网膜,眼/视网膜,Eye,SpaceX-8; SpaceX-9,33,Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data,太空,否,SpaceX-8 (08-Apr-2016-11-May-2016; 33天) | SpaceX-9 (18-Jul-2016-26-Aug-2016; 39天),—,21,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-162,GLDS-162_rna_seq_differential_expression.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,多Mission数据集；Mission明细含33天和39天，均属30-40天窗口；队列均值40.5不作为排除依据,eye
38,OSD-168,GLDS-168,Mus musculus,Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-4; SpaceX-8,34,RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins,太空,否,SpaceX-4 (09/21/2014-10/25/2014; 34天) | SpaceX-8 (04/08/2016-05/11/2016; 33天),RR-1 (Rodent Research 1); Space Flight | RR-3 (Rodent Research 3); Space Flight,52,3,https://osdr.nasa.gov/bio/repo/data/studies/OSD-168,GLDS-168_rna_seq_differential_expression.csv,Log2fc_(Ground Control & SpaceX-4 (RR1) & With Spike-in)v(Space Flight & SpaceX-4 (RR1) & With Spike-in),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,多Mission数据集；本轮取SpaceX-4/RR1 with spike-in FvG contrast，另有SpaceX-8 33天,Liver
39,OSD-420,GLDS-420,Mus musculus,Spleen-distal,脾脏,脾脏,Spleen,SpaceX-12,34,Transcriptional profiling of spleens from mice flown on the RR-9 mission,太空,否,SpaceX-12 (08/14/2017-09/17/2017; 34天),RR-9 (Rodent Research 9); Space Flight,20,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-420,GLDS-420_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Space Flight)v(Ground Control),1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Spleen-distal
40,OSD-690,GLDS-620,Mus musculus,Bone Marrow,骨髓,骨髓,Bone marrow,SpaceX-14,33,Nrf2 alleviates spaceflight-induced immunosuppression and thrombotic microangiopathy in mice,太空,否,SpaceX-14 (04/02/2018-05/05/2018; 33天),MHU-3 (Mouse Habitat Unit 3); Space Flight,24,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-690,GLDS-620_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Wild Type & Ground Control)v(Wild Type & Space Flight),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Bone Marrow
41,OSD-239,GLDS-239,Mus musculus,femoral skin,皮肤,皮肤,Femoral skin,SpaceX-12,34,Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission,太空,否,SpaceX-12 (08/14/2017-09/17/2017; 34天),MHU-2 (Mouse Habitat Unit 2); Space Flight,23,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-239,GLDS-239_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & 1G on Earth & JAXA Chow with FOS)v(Space Flight & uG & JAXA Chow with FOS),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,femoral skin
42,OSD-289,GLDS-289,Mus musculus,thymus,胸腺,胸腺,Thymus,SpaceX-12; SpaceX-9,34,Impact of spaceflight on gene expression in the thymus,太空,否,SpaceX-9（论文报告MHU-1在ISS饲养35天） | SpaceX-12 (08/14/2017-09/17/2017; 34天),MHU-1 (Mouse Habitat Unit 1); Space Flight | MHU-2 (Mouse Habitat Unit 2); Space Flight,18,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-289,GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(MHU-1 & Ground Control & 1G on Earth)v(MHU-1 & Space Flight & uG),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,复杂MHU设计；MHU-1 uG-GC与MHU-2 uG-vivarium按任务拆分保留，排除MHU-1 AG主线比较；MHU-1为35天但地面对照存在亚系/供应商混杂,thymus
43,OSD-686,GLDS-617,Mus musculus,Liver,肝脏/代谢,肝脏/代谢,Liver,SpaceX-12,34,Impact of spaceflight and artificial gravity on sulfur metabolism in mouse liver: sulfur metabolomic and transcriptomic analysis,太空,否,SpaceX-12 (08/14/2017-09/17/2017; 34天),MHU-2 (Mouse Habitat Unit 2); Space Flight,9,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-686,GLDS-617_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & 1G on Earth)v(Space Flight & uG),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Liver
44,OSD-714,GLDS-638,Mus musculus,Soleus,肌肉,肌肉,Soleus,SpaceX-17; SpaceX-20; SpaceX-9,30,Lunar gravity prevents skeletal muscle atrophy but not myofiber type shift in mice,太空,否,SpaceX-9 (07/18/2016-09/26/2016; 70天) | SpaceX-17 (05/04/2019-06/03/2019; 30天) | SpaceX-20 (03/07/2020-04/07/2020; 31天),MHU-1 (Mouse Habitat Unit 1); Space Flight | MHU-4 (Mouse Habitat Unit 4); Space Flight | MHU-5 (Mouse Habitat Unit 5); Space Flight,21,1,https://osdr.nasa.gov/bio/repo/data/studies/OSD-714,GLDS-638_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Mouse Habitat Unit 1 (MHU-1) & Ground Control & 1G on Earth)v(Mouse Habitat Unit 1 (MHU-1) & Space Flight & uG),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,复杂多任务/MHU设计；保留uG vs Ground人工curated contrast，排除1G/部分重力离心contrast；天数按30-40窗口相关任务审计,Soleus
45,OSD-758,GLDS-664,Mus musculus,Right retina,眼/视网膜,眼/视网膜,Retina,SpaceX-27,32,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Retina data,太空,否,SpaceX-27 (3/14/23-4/15/23; 32天),MHU-8 (Mouse Habitat Unit 8); Space Flight,35,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-758,GLDS-664_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & 1G on Earth)v(Space Flight & uG),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,复核补入：uG vs Ground；排除0.33G/0.66G/1G离心contrast,Right retina
46,OSD-759,GLDS-665,Mus musculus,Right optic nerve,眼/视网膜,眼/视网膜,Optic nerve,SpaceX-27,32,Artificial Gravity Attenuates the Transcriptomic Response to Spaceflight in the Optic Nerve and Retina -- Optic nerve data,太空,否,SpaceX-27 (3/14/23-4/15/23; 32天),MHU-8 (Mouse Habitat Unit 8); Space Flight,35,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-759,GLDS-665_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & 1G on Earth)v(Space Flight & uG),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right optic nerve
47,OSD-667,GLDS-606,Mus musculus,Colon,胃肠道,胃肠道,Colon,SpaceX-21,39,Transcriptional profiling of colon from mice flown on the RR-10 mission,太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-10 (Rodent Research 10); Space Flight,39,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-667,GLDS-606_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Wild Type & Ground Control)v(Wild Type & Space Flight),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,复核补入：WT-only FvG；排除p21-null contrasts,Colon
48,OSD-899,GLDS-728,Mus musculus,Cecum,胃肠道,胃肠道,Cecum,SpaceX-21,39,Transcriptional profiling of cecum from mice flown on the RR-10 mission,太空,否,SpaceX-21 (12/5/20-1/13/21; 39天),RR-10 (Rodent Research 10); Space Flight,64,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-899,GLDS-728_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Wild Type & Ground Control)v(Wild Type & Space Flight),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,复核修正：WT Ground v WT Space Flight 需乘以 -1 统一为 Space Flight vs Ground,Cecum
49,OSD-900,GLDS-729,Mus musculus,Right Lung,肺/呼吸道,肺/呼吸道,Lung,SpaceX-21,39,Transcriptional profiling of lungs from mice flown on the RR-10 mission,太空,否,SpaceX-21 (12/05/2020-01/13/2021; 39天),RR-10 (Rodent Research 10); Space Flight,42,0,https://osdr.nasa.gov/bio/repo/data/studies/OSD-900,GLDS-729_rna_seq_differential_expression_GLbulkRNAseq.csv,Log2fc_(Ground Control & Wild Type)v(Space Flight & Wild Type),-1,manual_from_original_material_type_remove_side_or_non_tissue_token,,Right Lung
