ensembl_id,display_symbol,symbol_annotation_conflict,all_observed_symbols,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,GO_membership,gene_symbol__OSD-163,log2fc__OSD-163,wald_z__OSD-163,sample_fdr__OSD-163,gene_symbol__OSD-253,log2fc__OSD-253,wald_z__OSD-253,sample_fdr__OSD-253,gene_symbol__OSD-462,log2fc__OSD-462,wald_z__OSD-462,sample_fdr__OSD-462,gene_symbol__OSD-513,log2fc__OSD-513,wald_z__OSD-513,sample_fdr__OSD-513,gene_symbol__OSD-771,log2fc__OSD-771,wald_z__OSD-771,sample_fdr__OSD-771,final_integrated_z,final_integrated_p,final_fdr,n_positive_effects,n_negative_effects,effect_pattern,sample_FDR_filter_applied,final_test_family,mean_abs_log2fc,min_abs_log2fc,mean_log2fc,min_log2fc,max_log2fc,common_direction,pooled_rank,rank_scope,ranking_score,direction_display_order,display_order
ENSMUSG00000035799,TWIST1,False,TWIST1,True,True,damage+repair,TWIST1,0.319415157510857,1.41100561497688,0.614519015901109,TWIST1,0.7540430071622389,2.0591808463663424,0.222625688127092,TWIST1,0.229340886628694,1.43509496632465,,TWIST1,0.50068269803768,1.6344725386641,0.277316894189688,TWIST1,0.4133888829484855,1.332119063190282,0.929163700061603,3.5204086408517936,0.0004308824005451666,0.03081391186514157,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.4433741264575911,0.229340886628694,0.4433741264575911,0.229340886628694,0.7540430071622389,common_up,1,direction-ordered display of pooled Top 30,0.229340886628694,0,1
ENSMUSG00000020423,BTG2,False,BTG2,True,False,damage,BTG2,0.297115448661694,1.11629612964783,0.682144560625231,BTG2,0.21931684198664816,0.7493854495380903,0.8143992022633695,BTG2,0.301861071041625,2.76977559912531,0.226414056664456,BTG2,0.183478825003926,0.871243045097977,0.614817328593666,BTG2,0.258644626008191,1.53850671136598,1.0,3.150712324342049,0.0016287282522245796,0.049233454667369156,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.25208336254041686,0.183478825003926,0.25208336254041686,0.183478825003926,0.301861071041625,common_up,2,direction-ordered display of pooled Top 30,0.183478825003926,0,2
ENSMUSG00000038007,ACER2,False,ACER2,True,False,damage,ACER2,0.165988528024768,0.749646732797801,0.79143879680328,ACER2,0.6152817928759458,3.04759636552399,0.042614615189249846,ACER2,0.223958994890942,1.40508609242283,0.557579983068469,ACER2,0.206206388113129,1.27796409986424,0.419455151921995,ACER2,0.46967060273266753,2.507027426483035,1.0,4.019252011801926,5.838319675468687e-05,0.006349172647072197,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.3362212613274905,0.165988528024768,0.3362212613274905,0.165988528024768,0.6152817928759458,common_up,3,direction-ordered display of pooled Top 30,0.165988528024768,0,3
ENSMUSG00000028599,TNFRSF1B,False,TNFRSF1B,True,False,damage,TNFRSF1B,0.130872931687517,0.947058126235463,0.731814403735258,TNFRSF1B,0.40174792206177057,1.1091991646809847,0.4226831492976465,TNFRSF1B,0.381962100130112,1.69477002175232,0.47365640892838,TNFRSF1B,0.456176281843644,2.03527589094626,0.152973281538288,TNFRSF1B,0.31345839907588846,1.555290507957146,1.0,3.2832605204520724,0.0010261378803714922,0.03840978128858849,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.33684352695978637,0.130872931687517,0.33684352695978637,0.130872931687517,0.456176281843644,common_up,4,direction-ordered display of pooled Top 30,0.130872931687517,0,4
ENSMUSG00000054580,PLA2R1,False,PLA2R1,True,False,damage,PLA2R1,0.127363637498899,1.49699705401824,0.599283659441385,PLA2R1,0.6045835387089306,3.58251856913658,0.0170130954017941,PLA2R1,0.147168510384643,1.22044142345657,0.619664598929509,PLA2R1,0.676643157894152,2.98511307749963,0.0234021401689754,PLA2R1,0.274274752772629,1.0379799596011816,1.0,4.616608344463074,3.900624213637912e-06,0.0008483857664662459,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.3660067194518507,0.127363637498899,0.3660067194518507,0.127363637498899,0.676643157894152,common_up,5,direction-ordered display of pooled Top 30,0.127363637498899,0,5
ENSMUSG00000041417,PIK3R1,False,PIK3R1,True,False,damage,PIK3R1,0.103001090496107,1.03962664998741,0.705072928350024,PIK3R1,0.5171518552291385,2.6420829418457226,0.0351437529776552,PIK3R1,0.155516387459764,1.31193257454012,0.590788634266871,PIK3R1,0.600598328273937,4.34657149276581,0.0004475018037557,PIK3R1,0.2119606043708555,2.000222058005105,1.0,5.071597031600188,3.944910346248843e-07,0.0003432072001236493,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.31764565316596044,0.103001090496107,0.31764565316596044,0.103001090496107,0.600598328273937,common_up,6,direction-ordered display of pooled Top 30,0.103001090496107,0,6
ENSMUSG00000026222,SP100,False,SP100,True,False,damage,SP100,0.0714442918310242,0.623128512469286,0.831046050824312,SP100,0.5039804748545406,2.0338291521090675,0.1634273580603435,SP100,0.322744753967866,2.0965528907431,0.367840619337899,SP100,0.396785086718491,1.82478486980575,0.212674197023064,SP100,0.217378442322342,1.027160076034715,1.0,3.401263100089556,0.0006707523744284618,0.03081391186514157,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.30246660993885277,0.0714442918310242,0.30246660993885277,0.0714442918310242,0.5039804748545406,common_up,9,direction-ordered display of pooled Top 30,0.0714442918310242,0,7
ENSMUSG00000037419,ENDOD1,False,ENDOD1,True,True,damage+repair,ENDOD1,0.0517435903749794,0.287565044643681,0.93124238887376,ENDOD1,0.7551795776085004,3.9647077987486927,0.015351600748181933,ENDOD1,0.196706850412357,1.48333108551248,0.535325528631758,ENDOD1,0.283787395216721,2.62973094638447,0.0514745895920126,ENDOD1,0.15865972906029,1.1186165673094801,1.0,4.241352024191624,2.2217734958221745e-05,0.0027613470590932736,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.28921542853456955,0.0517435903749794,0.28921542853456955,0.0517435903749794,0.7551795776085004,common_up,10,direction-ordered display of pooled Top 30,0.0517435903749794,0,8
ENSMUSG00000026434,NUCKS1,False,NUCKS1,True,True,damage+repair,NUCKS1,0.0265455769269371,0.351381731421502,0.911921002587983,NUCKS1,0.6075309127731757,1.6549228931231974,0.31490496576355054,NUCKS1,0.110554762089517,2.23008265957797,0.328744690444011,NUCKS1,0.18015262520513,1.55788340419486,0.306269420154899,NUCKS1,0.1547569471404895,1.52708436059598,1.0,3.2742095153563806,0.0010595801734783032,0.03840978128858849,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.21590816482704986,0.0265455769269371,0.21590816482704986,0.0265455769269371,0.6075309127731757,common_up,11,direction-ordered display of pooled Top 30,0.0265455769269371,0,9
ENSMUSG00000026278,BOK,False,BOK,True,False,damage,BOK,0.0184736435665621,0.107318516664016,0.97693550610117,BOK,0.563051623322141,1.0676412584448007,0.5077876541132845,BOK,0.364842004483395,2.58069853181724,0.252090822692443,BOK,0.634874083436464,3.85392465413995,0.0021850718149986,BOK,0.0166934063867649,0.076196611536144,1.0,3.437185116883538,0.0005877937254395967,0.03081391186514157,5,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.3195869522390654,0.0166934063867649,0.3195869522390654,0.0166934063867649,0.634874083436464,common_up,12,direction-ordered display of pooled Top 30,0.0166934063867649,0,10
