ensembl_id,display_symbol,symbol_annotation_conflict,all_observed_symbols,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,GO_membership,gene_symbol__OSD289_MHU1_thymus,log2fc__OSD289_MHU1_thymus,wald_z__OSD289_MHU1_thymus,sample_fdr__OSD289_MHU1_thymus,gene_symbol__OSD289_MHU2_thymus,log2fc__OSD289_MHU2_thymus,wald_z__OSD289_MHU2_thymus,sample_fdr__OSD289_MHU2_thymus,gene_symbol__OSD421_thymus,log2fc__OSD421_thymus,wald_z__OSD421_thymus,sample_fdr__OSD421_thymus,gene_symbol__OSD515_thymus,log2fc__OSD515_thymus,wald_z__OSD515_thymus,sample_fdr__OSD515_thymus,final_integrated_z,final_integrated_p,final_fdr,n_positive_effects,n_negative_effects,effect_pattern,sample_FDR_filter_applied,final_test_family,mean_abs_log2fc,min_abs_log2fc,mean_log2fc,min_log2fc,max_log2fc,common_direction,pooled_rank,rank_scope,ranking_score,direction_display_order,display_order
ENSMUSG00000022037,CLU,False,CLU,True,False,damage,CLU,1.25821865219614,4.78491126134947,8.05496148558028e-05,CLU,0.807138605654483,3.20718054795297,0.027691856236709,CLU,0.842116892787036,2.88578263254271,0.0468649642352141,CLU,0.795971212982511,1.72873012550483,0.222292714511211,5.519539574315847,3.398890446682073e-08,4.1515019027331033e-07,4,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.9258613409050426,0.795971212982511,0.9258613409050426,0.795971212982511,1.25821865219614,common_up,5,direction-ordered display of pooled Top 30,0.795971212982511,0,1
ENSMUSG00000042784,MUC1,False,MUC1,True,False,damage,MUC1,1.63235682084982,2.33074322577907,0.10003966459533,MUC1,0.700624001035323,1.1038673919285,0.575954391579841,MUC1,1.44206865752534,1.15205753424007,0.572141337748349,MUC1,2.2652933921693,3.70982203655265,0.0054076835426282,4.138751411962227,3.4920106585623226e-05,0.0002147963390698407,4,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.5100857178949458,0.700624001035323,1.5100857178949458,0.700624001035323,2.2652933921693,common_up,7,direction-ordered display of pooled Top 30,0.700624001035323,0,2
ENSMUSG00000023411,NFATC4,False,NFATC4,True,False,damage,NFATC4,1.2732641018929,1.63490086331144,0.28852599020766,NFATC4,0.629865117364922,1.00687088889603,,NFATC4,2.65223509041075,1.28890005627664,,NFATC4,1.21284708149264,2.40586618425106,0.076675525888279,2.9956699292393605,0.002738426744530195,0.009479169500296829,4,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.4420528477903032,0.629865117364922,1.4420528477903032,0.629865117364922,2.65223509041075,common_up,10,direction-ordered display of pooled Top 30,0.629865117364922,0,3
ENSMUSG00000029026,TRP73,False,TRP73,True,False,damage,TRP73,1.76562271057236,1.91504684743115,,TRP73,0.473513856262007,0.657038414722622,,TRP73,1.06476152242719,0.40440692886888,,TRP73,2.05208925513385,3.92801855340627,0.0031834053249578,3.6799082594923873,0.00023331787638255578,0.0011270439791360746,4,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.3389968360988518,0.473513856262007,1.3389968360988518,0.473513856262007,2.05208925513385,common_up,28,direction-ordered display of pooled Top 30,0.473513856262007,0,4
ENSMUSG00000041064,PIF1,False,PIF1,True,True,damage+repair,PIF1,-1.25127114882147,-3.27878820056361,0.0124710234644304,PIF1,-1.0737933882296,-2.9002065750113,0.0518097049752832,PIF1,-3.14005915940494,-4.86577684155466,6.74411694128678e-05,PIF1,-1.11678221178628,-2.52817383894007,0.0617929614475375,-5.594497404719652,2.2126177929350467e-08,2.823564496954425e-07,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.6454764770605723,1.0737933882296,-1.6454764770605723,-3.14005915940494,-1.0737933882296,common_down,1,direction-ordered display of pooled Top 30,1.0737933882296,1,5
ENSMUSG00000030677,KIF22,False,KIF22,True,True,damage+repair,KIF22,-0.930891887311663,-3.70480913790824,0.0036750815704095,KIF22,-0.99518411842935,-4.0628390472795,0.0028288258639183,KIF22,-2.20215647107404,-4.93919385103279,4.88876796990868e-05,KIF22,-1.19937923730015,-3.19073702409702,0.0170469407030898,-6.579808491390462,4.7105459771328145e-11,1.4383988608744846e-09,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.3319029285288007,0.930891887311663,-1.3319029285288007,-2.20215647107404,-0.930891887311663,common_down,2,direction-ordered display of pooled Top 30,0.930891887311663,1,6
ENSMUSG00000019773,FBXO5,False,FBXO5,True,False,damage,FBXO5,-0.932327215925577,-4.4329892368448,0.0003073169215076,FBXO5,-0.810648446803579,-4.08870287039306,0.0026056686883649,FBXO5,-2.56124192326108,-7.23721243272757,8.1586540727873e-11,FBXO5,-1.83764960765538,-4.75925378856451,0.0002906805044533,-8.576654109714326,9.767277662504664e-18,1.1930032002059269e-15,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.5354667984114039,0.810648446803579,-1.5354667984114039,-2.56124192326108,-0.810648446803579,common_down,3,direction-ordered display of pooled Top 30,0.810648446803579,1,7
ENSMUSG00000049932,H2AX,False,H2AX,True,True,damage+repair,H2AX,-0.806713455146985,-3.03437263780328,0.0226997185552176,H2AX,-1.26429559129682,-4.78342623595251,0.0002620915355146,H2AX,-2.32000624278447,-6.82270406006113,1.33384228088194e-09,H2AX,-1.1683094804139,-3.07152340156226,0.0215973459872954,-6.875641947298237,6.171132302905698e-12,2.2940513560801616e-10,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.3898311924105435,0.806713455146985,-1.3898311924105435,-2.32000624278447,-0.806713455146985,common_down,4,direction-ordered display of pooled Top 30,0.806713455146985,1,8
ENSMUSG00000020649,RRM2,False,RRM2,True,True,damage+repair,RRM2,-1.0134134698105,-5.02449967462629,3.04435960923469e-05,RRM2,-0.7686535368381,-3.88415781492353,0.0048770351495612,RRM2,-3.20295851734874,-13.2473942511418,1.8307330501127002e-36,RRM2,-2.08410991560982,-5.30201335628871,3.88523139582581e-05,-10.90746817667841,1.061721732180466e-27,9.077720810142984e-25,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.7672838599017902,0.7686535368381,-1.7672838599017902,-3.20295851734874,-0.7686535368381,common_down,6,direction-ordered display of pooled Top 30,0.7686535368381,1,9
ENSMUSG00000024791,CDCA5,False,CDCA5,True,True,damage+repair,CDCA5,-1.10669890595303,-4.49594610429042,0.0002456792187504,CDCA5,-0.680983708373542,-3.0227020829603,0.0410369008238047,CDCA5,-3.77908101320131,-6.33003713522764,3.12375783090959e-08,CDCA5,-1.56159715922588,-3.83224323411103,0.0040453911697288,-7.508185609028836,5.995246354752548e-14,3.661382595223877e-12,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.7820901966884404,0.680983708373542,-1.7820901966884404,-3.77908101320131,-0.680983708373542,common_down,8,direction-ordered display of pooled Top 30,0.680983708373542,1,10
ENSMUSG00000020914,TOP2A,False,TOP2A,True,False,damage,TOP2A,-1.03322388805413,-5.0567257698921,2.66225251662752e-05,TOP2A,-0.662290370708745,-3.25284774557227,0.024937178247291,TOP2A,-3.02629735842039,-10.3890523277525,1.61464254439727e-22,TOP2A,-1.61392395443928,-3.93260120944058,0.0031378304294649,-9.128067691147304,6.973277449936044e-20,1.4905380549238293e-17,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.5839338929056364,0.662290370708745,-1.5839338929056364,-3.02629735842039,-0.662290370708745,common_down,9,direction-ordered display of pooled Top 30,0.662290370708745,1,11
ENSMUSG00000046591,TICRR,False,TICRR,True,True,damage+repair,TICRR,-0.629444279925101,-2.94222538425761,0.0282133996251322,TICRR,-0.624952851266364,-3.0630735474024,0.0379625877472083,TICRR,-2.58839952351534,-4.21331280681563,0.0009716500685472,TICRR,-1.43737928830986,-3.55729807065858,0.0077595723888652,-5.853013426467899,4.827451371446376e-09,7.643464671456762e-08,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.3200439857541664,0.624952851266364,-1.3200439857541664,-2.58839952351534,-0.624952851266364,common_down,11,direction-ordered display of pooled Top 30,0.624952851266364,1,12
ENSMUSG00000019942,CDK1,False,CDK1,True,False,damage,CDK1,-1.30211863584135,-4.97208627191418,3.74269481020944e-05,CDK1,-0.619155141451013,-2.44822223408666,0.120222701328538,CDK1,-3.9965173277405,-12.0734722799479,2.07846341858501e-30,CDK1,-1.52838769588303,-4.07957780256167,0.0021140910575346,-9.41803280839638,4.5961808754119625e-21,1.3099115494924093e-18,0,4,all_negative,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,1.8615447002289731,0.619155141451013,-1.8615447002289731,-3.9965173277405,-0.619155141451013,common_down,12,direction-ordered display of pooled Top 30,0.619155141451013,1,13
