ensembl_id,display_symbol,symbol_annotation_conflict,all_observed_symbols,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,GO_membership,gene_symbol__Quadriceps femoris,log2fc__Quadriceps femoris,wald_z__Quadriceps femoris,sample_fdr__Quadriceps femoris,gene_symbol__Tibialis anterior,log2fc__Tibialis anterior,wald_z__Tibialis anterior,sample_fdr__Tibialis anterior,gene_symbol__Optic nerve,log2fc__Optic nerve,wald_z__Optic nerve,sample_fdr__Optic nerve,gene_symbol__Spleen,log2fc__Spleen,wald_z__Spleen,sample_fdr__Spleen,gene_symbol__Femoral lateral skin,log2fc__Femoral lateral skin,wald_z__Femoral lateral skin,sample_fdr__Femoral lateral skin,gene_symbol__Left lobe of the liver,log2fc__Left lobe of the liver,wald_z__Left lobe of the liver,sample_fdr__Left lobe of the liver,gene_symbol__Colon,log2fc__Colon,wald_z__Colon,sample_fdr__Colon,gene_symbol__Cerebellum,log2fc__Cerebellum,wald_z__Cerebellum,sample_fdr__Cerebellum,gene_symbol__Heart,log2fc__Heart,wald_z__Heart,sample_fdr__Heart,gene_symbol__Eye,log2fc__Eye,wald_z__Eye,sample_fdr__Eye,final_integrated_z,final_integrated_p,final_fdr,n_positive_effects,n_negative_effects,effect_pattern,sample_FDR_filter_applied,final_test_family,mean_abs_log2fc,min_abs_log2fc,mean_log2fc,min_log2fc,max_log2fc,common_direction,pooled_rank,rank_scope,ranking_score,direction_display_order,display_order
ENSMUSG00000030051,APLF,False,APLF,True,True,damage+repair,APLF,0.101850232834824,1.21018253156727,0.435227408535572,APLF,0.336509626518065,2.31586433170101,0.136817830140591,APLF,0.144878176322958,0.986200922254919,0.875115280871718,APLF,0.442673613954691,1.72836171524151,0.501110154876937,APLF,0.0458471209328949,0.595172554743658,0.943564807387212,APLF,0.09303082847940061,0.836505992224568,0.7236830497222104,APLF,0.216181577879403,0.947877922094716,1.0,APLF,0.0263390705341154,0.239936328945906,0.951168742453129,APLF,0.128541372473882,0.356069397268468,0.979482884751127,APLF,0.03142291125291165,0.2962250325962225,0.9886303190129244,3.00808396696315,0.0026290048866112158,0.01878831940517843,10,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.15672745311831454,0.0263390705341154,0.15672745311831454,0.0263390705341154,0.442673613954691,common_up,1,direction-ordered display of pooled Top 30,0.0263390705341154,0,1
ENSMUSG00000029003,MAD2L2,False,MAD2L2,True,True,damage+repair,MAD2L2,0.287713344503959,2.40205988583076,0.0722055092293433,MAD2L2,0.217777315758265,1.90351460756181,0.263322596621843,MAD2L2,0.0853919978646556,0.549250289858012,0.984499656265381,MAD2L2,0.0297492823039697,0.221151522280585,0.97005356423911,MAD2L2,0.165530064887368,1.32295009469494,0.818433225640148,MAD2L2,0.5360655852200358,3.7408675938092726,0.2642214535569433,MAD2L2,0.0645141946797811,0.342622346589374,1.0,MAD2L2,0.151961109066435,0.766729389775777,0.795770596417125,MAD2L2,0.0192847095229728,0.0631717166517138,0.998520280018166,MAD2L2,0.01100215574609325,0.16397342337569473,0.9732162362649025,3.62912182411486,0.00028438701804723687,0.0031859032156913427,10,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.15689897595535354,0.01100215574609325,0.15689897595535354,0.01100215574609325,0.5360655852200358,common_up,2,direction-ordered display of pooled Top 30,0.01100215574609325,0,2
ENSMUSG00000028914,CASP9,False,CASP9,True,False,damage,CASP9,0.0803177219955941,0.645197170535428,0.7139699339627,CASP9,0.108961752297774,0.749714297739378,0.765223249757127,CASP9,0.0773106222744196,0.24250120267534,0.999685446933482,CASP9,0.182523406419492,1.36452145494317,0.64086168168715,CASP9,0.150326512606106,1.25535510851189,0.830205582878843,CASP9,0.21064215863973573,1.729879167411677,0.5562566054336225,CASP9,0.0875835359044468,0.499276955474342,1.0,CASP9,0.151144362335845,1.54984816492841,0.470410691507734,CASP9,0.0227858167573005,0.101764821603549,0.997316373908497,CASP9,0.010865236005553003,-0.9834825142102247,0.627377638520341,2.262475531396571,0.023668038935832175,0.09000368934772877,10,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.10824611252362668,0.010865236005553003,0.10824611252362668,0.010865236005553003,0.21064215863973573,common_up,3,direction-ordered display of pooled Top 30,0.010865236005553003,0,3
ENSMUSG00000025066,SFR1,False,SFR1,True,True,damage+repair,SFR1,0.0669246224974683,0.891637419256771,0.592144686355332,SFR1,0.0775575226400541,1.3643960029835,0.492423249199575,SFR1,0.176927589723678,0.678244684599391,0.960728513875442,SFR1,0.0107535552517504,0.06568102686763,0.991319605269158,SFR1,0.0941161355996916,1.07779178353156,0.868877565559948,SFR1,0.22892927327499663,1.8211411773108326,0.644802967658758,SFR1,0.285537211692683,1.08958466064492,1.0,SFR1,0.0628235741124265,0.643153046510997,0.837996772765158,SFR1,0.205283478301631,1.41465758426984,0.792081595472752,SFR1,0.03709698950315915,0.23566847206776081,0.9934496293212275,2.935212165255904,0.003333196936985437,0.02264934639967973,10,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.12459499525975389,0.0107535552517504,0.12459499525975389,0.0107535552517504,0.285537211692683,common_up,4,direction-ordered display of pooled Top 30,0.0107535552517504,0,4
ENSMUSG00000046873,MBTPS2,False,MBTPS2,True,False,damage,MBTPS2,0.185094322222031,2.62066747516861,0.0456495917633203,MBTPS2,0.075793302608568,0.930858994624672,0.688920911063332,MBTPS2,0.205466323654086,1.66398948816724,0.585009920475416,MBTPS2,0.0369165688742583,0.332393663668636,0.947596653314667,MBTPS2,0.0318511131536015,0.522569301554723,0.954055670979407,MBTPS2,0.025007951298310876,0.3713539452538968,0.8493524201422985,MBTPS2,0.0048175507456888,0.0243915168066931,1.0,MBTPS2,0.170837142382159,1.80831334114348,0.363718769623785,MBTPS2,0.109676775889868,0.523041610439968,0.96070349252593,MBTPS2,0.07904450354906124,0.8553531958570504,0.963264930516621,3.052525290322225,0.0022692460821484646,0.016647831877000682,10,0,all_positive,False,complete common Ensembl IDs annotated to GO:0006974 or GO:0006281,0.09245055543776327,0.0048175507456888,0.09245055543776327,0.0048175507456888,0.205466323654086,common_up,5,direction-ordered display of pooled Top 30,0.0048175507456888,0,5
