family,set_name,dataset_id,analysis_unit_id,accession,analysis_tissue,n_flight_samples,n_control_samples,flight_samples,control_samples
tissue_Kidney_datasets,OSD-253,OSD-253,OSD-253;OSD-253__C3H_25;OSD-253__C3H_75;OSD-253__C57BL_75,OSD-253,Kidney,20,19,Mmus_C57-6J_KDN_FLT_25days_Rep1_F1;Mmus_C57-6J_KDN_FLT_25days_Rep2_F5;Mmus_C57-6J_KDN_FLT_25days_Rep3_F9;Mmus_C57-6J_KDN_FLT_25days_Rep4_F13;Mmus_C57-6J_KDN_FLT_25days_Rep5_F17;Mmus_C3H-HeJ_KDN_FLT_25days_Rep1_F2;Mmus_C3H-HeJ_KDN_FLT_25days_Rep2_F6;Mmus_C3H-HeJ_KDN_FLT_25days_Rep3_F10;Mmus_C3H-HeJ_KDN_FLT_25days_Rep4_F14;Mmus_C3H-HeJ_KDN_FLT_25days_Rep5_F18;Mmus_C3H-HeJ_KDN_FLT_75days_Rep1_F4;Mmus_C3H-HeJ_KDN_FLT_75days_Rep2_F8;Mmus_C3H-HeJ_KDN_FLT_75days_Rep3_F12;Mmus_C3H-HeJ_KDN_FLT_75days_Rep4_F16;Mmus_C3H-HeJ_KDN_FLT_75days_Rep5_F20;Mmus_C57-6J_KDN_FLT_75days_Rep1_F3;Mmus_C57-6J_KDN_FLT_75days_Rep2_F7;Mmus_C57-6J_KDN_FLT_75days_Rep3_F11;Mmus_C57-6J_KDN_FLT_75days_Rep4_F15;Mmus_C57-6J_KDN_FLT_75days_Rep5_F19,RR7_KDN_GCrerun_25days_White_Rep1_GR03;RR7_KDN_GCrerun_25days_White_Rep3_GR19;RR7_KDN_GCrerun_25days_White_Rep4_GR27;RR7_KDN_GCrerun_25days_White_Rep5_GR35;RR7_KDN_GCrerun_25days_White_Rep1_GR04;RR7_KDN_GCrerun_25days_White_Rep2_GR12;RR7_KDN_GCrerun_25days_White_Rep3_GR20;RR7_KDN_GCrerun_25days_White_Rep4_GR28;RR7_KDN_GCrerun_25days_White_Rep5_GR36;RR7_KDN_GCrerun_75days_White_Rep1_GR08;RR7_KDN_GCrerun_75days_White_Rep2_GR16;RR7_KDN_GCrerun_75days_White_Rep3_GR24;RR7_KDN_GCrerun_75days_White_Rep4_GR32;RR7_KDN_GCrerun_75days_White_Rep5_GR40;RR7_KDN_GCrerun_75days_White_Rep1_GR07;RR7_KDN_GCrerun_75days_White_Rep2_GR15;RR7_KDN_GCrerun_75days_White_Rep3_GR23;RR7_KDN_GCrerun_75days_White_Rep4_GR31;RR7_KDN_GCrerun_75days_White_Rep5_GR39
tissue_Kidney_datasets,OSD-462,OSD-462,OSD-462,OSD-462,Kidney,10,10,RR10_KDN_WT_FLT_F1_mRNA_techrep1;RR10_KDN_WT_FLT_F3_mRNA;RR10_KDN_WT_FLT_F5_mRNA_techrep1;RR10_KDN_WT_FLT_F7_mRNA;RR10_KDN_WT_FLT_F9_mRNA;RR10_KDN_WT_FLT_F12_mRNA;RR10_KDN_WT_FLT_F14_mRNA;RR10_KDN_WT_FLT_F16_mRNA;RR10_KDN_WT_FLT_F18_mRNA;RR10_KDN_WT_FLT_F20_mRNA,RR10_KDN_WT_GC_G1_mRNA;RR10_KDN_WT_GC_G3_mRNA_techrep1;RR10_KDN_WT_GC_G5_mRNA;RR10_KDN_WT_GC_G7_mRNA;RR10_KDN_WT_GC_G9_mRNA;RR10_KDN_WT_GC_G12_mRNA;RR10_KDN_WT_GC_G14_mRNA;RR10_KDN_WT_GC_G16_mRNA;RR10_KDN_WT_GC_G18_mRNA;RR10_KDN_WT_GC_G20_mRNA
tissue_Kidney_datasets,OSD-513,OSD-513,OSD-513,OSD-513,Kidney,9,9,RR23_KDN_FLT_F1_techrep1;RR23_KDN_FLT_F2;RR23_KDN_FLT_F3;RR23_KDN_FLT_F4;RR23_KDN_FLT_F5;RR23_KDN_FLT_F6;RR23_KDN_FLT_F7;RR23_KDN_FLT_F8;RR23_KDN_FLT_F9,RR23_KDN_GC_G1_techrep1;RR23_KDN_GC_G2;RR23_KDN_GC_G3;RR23_KDN_GC_G4;RR23_KDN_GC_G5;RR23_KDN_GC_G6;RR23_KDN_GC_G7;RR23_KDN_GC_G8;RR23_KDN_GC_G9
tissue_Kidney_datasets,OSD-771,OSD-771,OSD-771;OSD-771__age_29w,OSD-771,Kidney,10,20,RRRM2_R-KDN_FLT_LAR_OLD_FO1;RRRM2_R-KDN_FLT_LAR_OLD_FO5;RRRM2_R-KDN_FLT_LAR_YNG_FY8;RRRM2_R-KDN_FLT_LAR_YNG_FY12;RRRM2_R-KDN_FLT_LAR_OLD_FO17;RRRM2_R-KDN_FLT_LAR_OLD_FO3;RRRM2_R-KDN_FLT_LAR_YNG_FY6;RRRM2_R-KDN_FLT_LAR_YNG_FY10;RRRM2_R-KDN_FLT_LAR_YNG_FY14;RRRM2_R-KDN_FLT_LAR_OLD_FO19,RRRM2_R-KDN_GC_ISS-T_YNG_GY1;RRRM2_R-KDN_GC_ISS-T_YNG_GY3;RRRM2_R-KDN_GC_ISS-T_YNG_GY4;RRRM2_R-KDN_GC_ISS-T_YNG_GY5;RRRM2_R-KDN_GC_ISS-T_YNG_GY8;RRRM2_R-KDN_GC_LAR_YNG_GY7;RRRM2_R-KDN_GC_LAR_YNG_GY9;RRRM2_R-KDN_GC_LAR_OLD_GO11;RRRM2_R-KDN_GC_LAR_OLD_GO13;RRRM2_R-KDN_GC_LAR_OLD_GO15;RRRM2_R-KDN_GC_ISS-T_OLD_GO12;RRRM2_R-KDN_GC_ISS-T_OLD_GO13;RRRM2_R-KDN_GC_ISS-T_OLD_GO14;RRRM2_R-KDN_GC_ISS-T_OLD_GO15;RRRM2_R-KDN_GC_ISS-T_OLD_GO16;RRRM2_R-KDN_GC_LAR_YNG_GY1;RRRM2_R-KDN_GC_LAR_YNG_GY3;RRRM2_R-KDN_GC_LAR_YNG_GY5;RRRM2_R-KDN_GC_LAR_OLD_GO17;RRRM2_R-KDN_GC_LAR_OLD_GO19
tissue_Left_lobe_of_the_liver_datasets,OSD-379,OSD-379,OSD-379;OSD-379__age_32w,OSD-379,Left lobe of the liver,15,15,RR8_LVR_FLT_LAR_YNG_FL1;RR8_LVR_FLT_LAR_YNG_FL2;RR8_LVR_FLT_LAR_YNG_FL5;RR8_LVR_FLT_LAR_YNG_FL6;RR8_LVR_FLT_LAR_YNG_FL13;RR8_LVR_FLT_LAR_YNG_FL14;RR8_LVR_FLT_LAR_YNG_FL17;RR8_LVR_FLT_LAR_YNG_FL18;RR8_LVR_FLT_LAR_OLD_FL3;RR8_LVR_FLT_LAR_OLD_FL4;RR8_LVR_FLT_LAR_OLD_FL7;RR8_LVR_FLT_LAR_OLD_FL8;RR8_LVR_FLT_LAR_OLD_FL11;RR8_LVR_FLT_LAR_OLD_FL15;RR8_LVR_FLT_LAR_OLD_FL16,RR8_LVR_GC_LAR_YNG_GL1;RR8_LVR_GC_LAR_YNG_GL2;RR8_LVR_GC_LAR_YNG_GL5;RR8_LVR_GC_LAR_YNG_GL6;RR8_LVR_GC_LAR_YNG_GL13;RR8_LVR_GC_LAR_YNG_GL14;RR8_LVR_GC_LAR_YNG_GL17;RR8_LVR_GC_LAR_YNG_GL18;RR8_LVR_GC_LAR_OLD_GL3;RR8_LVR_GC_LAR_OLD_GL4;RR8_LVR_GC_LAR_OLD_GL7;RR8_LVR_GC_LAR_OLD_GL8;RR8_LVR_GC_LAR_OLD_GL11;RR8_LVR_GC_LAR_OLD_GL12;RR8_LVR_GC_LAR_OLD_GL15
tissue_Left_lobe_of_the_liver_datasets,OSD-463,OSD-463,OSD-463,OSD-463,Left lobe of the liver,9,9,RR23_LVR_FLT_F1;RR23_LVR_FLT_F2;RR23_LVR_FLT_F3;RR23_LVR_FLT_F4;RR23_LVR_FLT_F5;RR23_LVR_FLT_F6;RR23_LVR_FLT_F7_techrep1;RR23_LVR_FLT_F8_techrep1;RR23_LVR_FLT_F9,RR23_LVR_GC_G1_techrep1;RR23_LVR_GC_G2;RR23_LVR_GC_G3;RR23_LVR_GC_G4;RR23_LVR_GC_G5;RR23_LVR_GC_G6;RR23_LVR_GC_G7;RR23_LVR_GC_G8;RR23_LVR_GC_G9
tissue_Liver_datasets,OSD-137,OSD-137,OSD-137,OSD-137,Liver,6,6,Mmus_BAL-TAL_LVR_FLT_Rep1_F1;Mmus_BAL-TAL_LVR_FLT_Rep2_F2;Mmus_BAL-TAL_LVR_FLT_Rep3_F3;Mmus_BAL-TAL_LVR_FLT_Rep4_F4;Mmus_BAL-TAL_LVR_FLT_Rep5_F5;Mmus_BAL-TAL_LVR_FLT_Rep6_F6,Mmus_BAL-TAL_LVR_GC_Rep1_G1;Mmus_BAL-TAL_LVR_GC_Rep2_G2;Mmus_BAL-TAL_LVR_GC_Rep3_G3;Mmus_BAL-TAL_LVR_GC_Rep4_G5;Mmus_BAL-TAL_LVR_GC_Rep5_G6;Mmus_BAL-TAL_LVR_GC_Rep6_G7
tissue_Liver_datasets,OSD-242,OSD-242,OSD-242,OSD-242,Liver,5,4,Mmus_C57-6J_LVR_FLT_C1_Rep1_F1;Mmus_C57-6J_LVR_FLT_C1_Rep2_F2;Mmus_C57-6J_LVR_FLT_C1_Rep3_F3;Mmus_C57-6J_LVR_FLT_C1_Rep4_F4;Mmus_C57-6J_LVR_FLT_C1_Rep5_F5,Mmus_C57-6J_LVR_GC_C2_Rep1_G1;Mmus_C57-6J_LVR_GC_C2_Rep2_G3;Mmus_C57-6J_LVR_GC_C2_Rep3_G4;Mmus_C57-6J_LVR_GC_C2_Rep4_G5
tissue_Liver_datasets,OSD-47,OSD-47,OSD-47,OSD-47,Liver,3,3,Mmus_C57-6T_LVR_FLT_Rep1_F1;Mmus_C57-6T_LVR_FLT_Rep2_F2;Mmus_C57-6T_LVR_FLT_Rep3_F4,Mmus_C57-6T_LVR_GC_Rep1_G2;Mmus_C57-6T_LVR_GC_Rep2_G3;Mmus_C57-6T_LVR_GC_Rep3_G5
tissue_Liver_datasets,OSD-48,OSD-48,OSD-48,OSD-48,Liver,2,2,Mmus_C57-6J_LVR_FLT_I_Rep1_M21;Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_GC_I_Rep1_M31;Mmus_C57-6J_LVR_GC_I_Rep2_M32
