analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Thymus,normalized_original_material_type,DNA_damage_response_GO0006974,DNA damage response,GO:0006974,1,official_root,3,4,4,-3.19203204186468,-2.31420696655837,0,3,0.25,-11.2010878531634,4.02757077303295e-29,SpaceX-12;SpaceX-21;SpaceX-9,1,3.92688150370713e-27
Tibialis anterior,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,1.69065853199874,1.69065853199874,1,0,1,5.53902306165932,3.04163593380434e-08,SpaceX-21,1,1.54056884958921e-07
Quadriceps femoris,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,1.68136885919803,1.68136885919803,1,0,1,5.50359869124511,3.72116064996019e-08,SpaceX-21,1,1.8370286752968e-07
Optic nerve,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,1.39542536392365,1.39542536392365,1,0,1,3.50991426120613,0.000448251207029202,SpaceX-27,1,0.00130461172195066
Left lobe of the liver,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,2,2,3,1.36287904977812,1.36287904977812,2,0,0.5,4.84433984658412,1.27033336318055e-06,SpaceX-16;SpaceX-21,1,5.38510882217841e-06
Spleen,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,1.26047590746042,1.26047590746042,1,0,1,2.30904295386533,0.0209411978017468,SpaceX-21,1,0.0436741558432152
Femoral lateral skin,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,1.22680261121015,1.22680261121015,1,0,1,2.49067858568183,0.0127499402186863,SpaceX-11,1,0.028909748170277
Cerebellum,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,1.15106363136075,1.15106363136075,1,0,1,1.67211464035545,0.0945017182130591,SpaceX-21,1,0.164534241531665
Eye,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,2,2,2,1.13880926062977,1.13880926062977,2,0,0.5,2.43207058778996,0.0150127812217254,SpaceX-4;SpaceX-8,1,0.0330489823511378
Heart,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,0.944122641290366,0.944122641290366,1,0,1,0.356623014550056,0.721374045801527,NG-11,1,0.808436430639642
Colon,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,0.928168231693444,0.928168231693444,1,0,1,0.269335868086709,0.787671232876712,SpaceX-21,1,0.858077600061223
Lung,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,2,2,0.915122193694095,0.915122193694095,1,0,1,0.306593985853145,0.759152431915891,SpaceX-21,1,0.838723649992061
Kidney,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,4,5,9,0.853771958206182,0.601549988094911,2,2,0.5,3.91443787172619,9.06150652508093e-05,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.000302050217502698
Dorsal skin,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,2,2,5,0.334420733854862,0.334420733854862,1,1,1,0,1,SpaceX-11;SpaceX-15,1,1
Adrenal gland,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,2,2,2,0.176757754122248,0.176757754122248,1,1,1,1.40784111459492,0.159178122856206,SpaceX-21;SpaceX-8,1,0.255471061374158
Extensor digitorum longus,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,2,2,2,0.133235643772165,0.133235643772165,1,1,1,1.07214321572773,0.283655710767392,SpaceX-21;SpaceX-4,1,0.391466445733223
Mammary gland,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,2,-0.0498381116046056,-0.0498381116046056,0,1,1,-0.264279947637646,0.791564210617986,SpaceX-16,1,0.859916551924832
Soleus,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,3,3,3,-0.21895980945339,-1.11798924146193,1,2,1,0.542975541703427,0.587146642488252,SpaceX-21;SpaceX-4;SpaceX-9,1,0.693900577486116
Liver,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,3,5,5,-0.299991405681563,-0.84604423004208,1,2,0.75,-0.203575996695544,0.838684852189342,SpaceX-12;SpaceX-4;SpaceX-8,1,0.893680580201758
Retina,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,4,4,4,-0.798375888450225,-1.27246858133431,1,3,0.25,-5.33098738955359,9.76802024645534e-08,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,4.76190987014698e-07
Gastrocnemius,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,2,2,-1.06730730547907,-1.06730730547907,0,1,1,-1.2054701860279,0.228021840805048,SpaceX-4,1,0.33183282932567
