analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Bone marrow,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,-1.20135977257907,-1.20135977257907,0,1,1,-1.54342672830984,0.122727272727273,SpaceX-14,1,0.204545454545455
Liver,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,3,5,5,-1.24040091969648,-1.21032092763921,0,3,0.25,-2.79795071927627,0.00514279585679637,SpaceX-12;SpaceX-4;SpaceX-8,1,0.0129096929638316
Cecum,normalized_original_material_type,intrinsic_apoptotic_signaling_GO0008630,Intrinsic apoptotic signaling pathway,GO:0008630,4,official_root,1,1,1,-1.54155094874949,-1.54155094874949,0,1,1,-2.88130880164965,0.00396027428077213,SpaceX-21,1,0.0101612300625074
Femoral lateral skin,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,1.58715919361437,1.58715919361437,1,0,1,2.46597149531964,0.0136642207635694,SpaceX-11,1,0.0306267017114486
Spleen,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,1.3233669070637,1.3233669070637,1,0,1,1.66263489245689,0.0963855421686754,SpaceX-21,1,0.166329032945944
Mammary gland,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,2,1.22011969359411,1.22011969359411,1,0,1,1.2747839162256,0.202385735055403,SpaceX-16,1,0.305931925083749
Quadriceps femoris,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,1.17287021011717,1.17287021011717,1,0,1,1.21090138343167,0.225933202357563,SpaceX-21,1,0.3312554470656
Left lobe of the liver,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,2,2,3,1.03674051704778,1.03674051704778,2,0,0.5,1.19778824285678,0.23099946545873,SpaceX-16;SpaceX-21,1,0.333665894551499
Extensor digitorum longus,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,2,2,2,0.997245066281157,0.997245066281157,2,0,0.5,1.0730438921139,0.283251423287931,SpaceX-21;SpaceX-4,1,0.391466445733223
Gastrocnemius,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,2,2,0.993345377437334,0.993345377437334,1,0,1,0.729442507928679,0.465731023650677,SpaceX-4,1,0.582163779563346
Eye,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,2,2,2,0.912223209692048,0.912223209692048,2,0,0.5,0.844790380950231,0.398227886157578,SpaceX-4;SpaceX-8,1,0.512570546539457
Colon,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,0.856681462333064,0.856681462333064,1,0,1,0.400745381811789,0.688607594936709,SpaceX-21,1,0.78068884309685
Heart,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,0.856094252902113,0.856094252902113,1,0,1,0.411438301502012,0.68075117370892,NG-11,1,0.776295198089119
Cerebellum,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,0.835744083382793,0.835744083382793,1,0,1,0.379659114776946,0.704198473282443,SpaceX-21,1,0.796050448058414
Optic nerve,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,0.834068737826363,0.834068737826363,1,0,1,0.339813268552423,0.733997155049787,SpaceX-27,1,0.817882544198334
Kidney,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,4,5,9,0.601772865377744,0.928344356732088,3,1,0.375,1.33618790652177,0.181487862871633,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.280874073491813
Adrenal gland,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,2,2,2,0.250893235034207,0.250893235034207,1,1,1,0.642528565857103,0.520530047866321,SpaceX-21;SpaceX-8,1,0.630455648036849
Lung,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,2,2,0.173336583472326,0.173336583472326,1,0,1,0.431873660815285,0.665833239045997,SpaceX-21,1,0.766002841380351
Dorsal skin,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,2,2,5,0.0999711207229125,0.0999711207229125,1,1,1,-0.86777753799684,0.385516128886012,SpaceX-11;SpaceX-15,1,0.505378116011505
Liver,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,3,5,5,0.0906959049471205,0.345909453197982,2,1,1,0.249287761737964,0.803138197283055,SpaceX-12;SpaceX-4;SpaceX-8,1,0.865259383813236
Soleus,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,3,3,3,-0.215395190290505,-0.811245010076185,1,2,1,0.0775297442855434,0.938202129961036,SpaceX-21;SpaceX-4;SpaceX-9,1,0.966155616233619
Retina,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,4,4,4,-0.341613225707319,-0.298684742743524,2,2,0.75,-1.66279545918322,0.0963533859014779,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,0.166329032945944
Tibialis anterior,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,-0.947616261715065,-0.947616261715065,0,1,1,-0.655753762593341,0.5119825708061,SpaceX-21,1,0.622034899110215
Cecum,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,-1.04275324913647,-1.04275324913647,0,1,1,-0.866600910865353,0.386160714285714,SpaceX-21,1,0.505378116011505
Spleen-distal,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,-1.30021246912459,-1.30021246912459,0,1,1,-1.53975407988698,0.123620309050773,SpaceX-12,1,0.205157108637453
Heart / Heart right ventricle,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,2,-1.35082730207654,-1.35082730207654,0,1,1,-1.67255141256519,0.0944156386873978,SpaceX-18,1,0.164534241531665
Bone marrow,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,-1.36715829145432,-1.36715829145432,0,1,1,-1.77485453542217,0.0759219088937091,SpaceX-14,1,0.137081224391419
Femoral skin,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,1,1,1,-1.87620402503252,-1.87620402503252,0,1,1,-2.99310314400603,0.00276156402018783,SpaceX-12,1,0.0072282548179413
Thymus,normalized_original_material_type,DNA_damage_tolerance_GO0006301,DNA damage tolerance,GO:0006301,5,official_root,3,4,4,-2.12035840292712,-1.97913183179885,0,3,0.25,-6.90765170863115,4.92741902985242e-12,SpaceX-12;SpaceX-21;SpaceX-9,1,9.60846710821222e-11
Tibialis anterior,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,1.63206645608909,1.63206645608909,1,0,1,2.51455899998314,0.0119181359121762,SpaceX-21,1,0.0273416059161689
Quadriceps femoris,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,1.5220403852834,1.5220403852834,1,0,1,2.15057252585786,0.0315099558027215,SpaceX-21,1,0.0626983814441908
Optic nerve,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,1.42090975750914,1.42090975750914,1,0,1,1.89139655155835,0.0585714285714282,SpaceX-27,1,0.108775510204081
Bone marrow,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,1.35452384142426,1.35452384142426,1,0,1,1.67593972277344,0.0937500000000008,SpaceX-14,1,0.164534241531665
Cerebellum,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,1.16489455685467,1.16489455685467,1,0,1,1.21138922067498,0.225746268656718,SpaceX-21,1,0.3312554470656
Liver,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,3,5,5,0.939727976526909,0.788642806045337,3,0,0.25,1.11341468760752,0.265530369797818,SpaceX-12;SpaceX-4;SpaceX-8,1,0.375205957323003
Eye,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,2,2,2,0.807989052388028,0.807989052388028,2,0,0.5,0.674091249753403,0.5002533022434,SpaceX-4;SpaceX-8,1,0.611594946316383
Spleen-distal,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,0.73269330617604,0.73269330617604,1,0,1,0.157887491782787,0.874545454545455,SpaceX-12,1,0.911959163830821
Left lobe of the liver,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,2,2,3,0.719002712393521,0.719002712393521,2,0,0.5,1.2940675837542,0.19564207740174,SpaceX-16;SpaceX-21,1,0.298048477291713
Soleus,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,3,3,3,0.555382071008867,1.13978353823061,2,1,0.75,1.50865602474745,0.131386708944661,SpaceX-21;SpaceX-4;SpaceX-9,1,0.217122103764483
Lung,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,2,2,0.327086676071047,0.327086676071047,1,0,1,0.883863733190966,0.376769776828275,SpaceX-21,1,0.498102416823822
Extensor digitorum longus,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,2,2,2,0.29333566954747,0.29333566954747,1,1,1,1.35273941543811,0.176138893676985,SpaceX-21;SpaceX-4,1,0.275766931077366
Dorsal skin,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,2,2,5,0.203158494184324,0.203158494184324,1,1,1,-0.532826975286997,0.59415335886497,SpaceX-11;SpaceX-15,1,0.700059848813711
Heart / Heart right ventricle,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,2,0.0756397793970225,0.0756397793970225,1,0,1,0.163566227798298,0.870072632890664,SpaceX-18,1,0.911243073305133
Kidney,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,4,5,9,0.010283953395917,-0.178781915993994,1,3,1,0.171020201389,0.864207881190573,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.908466505833756
Gastrocnemius,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,2,2,-0.060205495520046,-0.060205495520046,0,1,1,-0.174739628421038,0.861284227820282,SpaceX-4,1,0.908466505833756
Mammary gland,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,2,-0.06026610716948,-0.06026610716948,0,1,1,-0.161725247810325,0.871522221391833,SpaceX-16,1,0.911243073305133
Adrenal gland,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,2,2,2,-0.639741962455612,-0.639741962455612,0,2,0.5,-0.120107468723217,0.904398016038632,SpaceX-21;SpaceX-8,1,0.940573936680178
Heart,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,-0.951921928739381,-0.951921928739381,0,1,1,-0.638365474032652,0.523235800344234,NG-11,1,0.631770780601397
Spleen,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,-0.98574175311685,-0.98574175311685,0,1,1,-0.69499438005254,0.487058823529412,SpaceX-21,1,0.59922063462609
Femoral lateral skin,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,-1.04619240159771,-1.04619240159771,0,1,1,-0.846672987115123,0.397177419354839,SpaceX-11,1,0.512570546539457
Retina,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,4,4,4,-1.09275608602037,-1.08318501841324,0,4,0.125,-1.99413450916196,0.0461373568495559,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,0.0890770751055783
Femoral skin,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,-1.17032918675353,-1.17032918675353,0,1,1,-1.22610503542899,0.220159151193635,SpaceX-12,1,0.326471745116036
Colon,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,-1.22948773563104,-1.22948773563104,0,1,1,-1.3429865909621,0.179276315789474,SpaceX-21,1,0.278556825330259
Cecum,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,1,1,1,-1.53492561247003,-1.53492561247003,0,1,1,-2.21582101659962,0.0267037625124198,SpaceX-21,1,0.0551030020097551
Thymus,normalized_original_material_type,telomere_maintenance_GO0043247,Telomere maintenance in response to DNA damage,GO:0043247,6,official_root,3,4,4,-1.99024574944956,-1.82309991012089,0,3,0.25,-6.25932209104828,3.8665455331458e-10,SpaceX-12;SpaceX-21;SpaceX-9,1,2.51325459654477e-09
Quadriceps femoris,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,1.7151821579456,1.7151821579456,1,0,1,3.7421901220324,0.00018242341337634,SpaceX-21,1,0.000573751058199779
Optic nerve,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,1.5249183297071,1.5249183297071,1,0,1,2.89154376659711,0.00383354193187488,SpaceX-27,1,0.00990120101610067
Tibialis anterior,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,1.37480033079315,1.37480033079315,1,0,1,2.17837473265781,0.0293781494515144,SpaceX-21,1,0.0590591664231475
Left lobe of the liver,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,2,2,3,1.25507536335781,1.25507536335781,2,0,0.5,2.59699429694576,0.0094043485518017,SpaceX-16;SpaceX-21,1,0.0218315234238254
Cerebellum,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,1.08613639397227,1.08613639397227,1,0,1,1.07509653232129,0.282331511839711,SpaceX-21,1,0.391466445733223
Heart,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,0.986868850538993,0.986868850538993,1,0,1,0.670460776196772,0.502564102564102,NG-11,1,0.6125
Eye,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,2,2,2,0.940088108776397,0.940088108776397,2,0,0.5,0.758259338407841,0.448295744309514,SpaceX-4;SpaceX-8,1,0.567460317460318
Spleen,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,0.910501754887992,0.910501754887992,1,0,1,0.428004498202795,0.668647845468054,SpaceX-21,1,0.766978410978062
Femoral lateral skin,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,0.901811241934763,0.901811241934763,1,0,1,0.401903424954605,0.687755102040817,SpaceX-11,1,0.78068884309685
Liver,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,3,5,5,0.688465605835803,0.976592380734852,2,1,0.5,1.02956579537788,0.303213878758384,SpaceX-12;SpaceX-4;SpaceX-8,1,0.412032796919058
Kidney,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,4,5,9,0.400536682293705,0.645783387769243,2,2,0.5,1.93905586537203,0.052494536009413,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.100357201194466
Dorsal skin,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,2,2,5,0.278737006781939,0.278737006781939,1,1,1,-0.975870667459281,0.329128559610858,SpaceX-11;SpaceX-15,1,0.442621166373223
Extensor digitorum longus,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,2,2,2,0.17305008217824,0.17305008217824,1,1,1,1.06948224788014,0.284852423784946,SpaceX-21;SpaceX-4,1,0.391466445733223
Adrenal gland,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,2,2,2,0.152674733489445,0.152674733489445,1,1,1,0.561132009278777,0.574707548554339,SpaceX-21;SpaceX-8,1,0.685431021211597
Heart / Heart right ventricle,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,2,-0.01502894863821,-0.01502894863821,0,1,1,-0.013009626926915,0.989620112334046,SpaceX-18,1,1
Lung,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,2,2,-0.0581182022571301,-0.0581182022571301,0,1,1,-0.28886573411857,0.77268412660209,SpaceX-21,1,0.846479801614649
Gastrocnemius,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,2,2,-0.0824080423372401,-0.0824080423372401,0,1,1,-0.294734251113405,0.768196896187745,SpaceX-4,1,0.843934618347101
Soleus,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,3,3,3,-0.136421062531734,-0.815144951084722,1,2,1,0.877080347111755,0.38044299847049,SpaceX-21;SpaceX-4;SpaceX-9,1,0.501259356092876
Colon,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,-0.880409796051286,-0.880409796051286,0,1,1,-0.37040608052947,0.711079943899018,SpaceX-21,1,0.801506295146292
Femoral skin,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,-0.989727995021923,-0.989727995021923,0,1,1,-0.721522283982343,0.470588235294118,SpaceX-12,1,0.586355948130051
Retina,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,4,4,4,-1.11240401272156,-1.10431358016185,0,4,0.125,-2.45899077328943,0.0139328198529355,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,0.0310502842436849
Spleen-distal,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,-1.11611068256448,-1.11611068256448,0,1,1,-1.22329323436086,0.221218961625283,SpaceX-12,1,0.326800738764623
Mammary gland,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,2,-1.17973142987257,-1.17973142987257,0,1,1,-1.44410253980932,0.148710133771374,SpaceX-16,1,0.241653967378482
Bone marrow,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,-1.27092220402474,-1.27092220402474,0,1,1,-1.86273186742165,0.0625000000000002,SpaceX-14,1,0.11497641509434
Cecum,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,1,1,1,-1.77353033015995,-1.77353033015995,0,1,1,-3.9663792181705,7.29727279416977e-05,SpaceX-21,1,0.00024747272954141
Thymus,normalized_original_material_type,telomere_region_GO0000781,"Chromosome, telomeric region",GO:0000781,7,context,3,4,4,-2.60791854223342,-2.22407221079024,0,3,0.25,-10.4493184267548,1.47581993871094e-25,SpaceX-12;SpaceX-21;SpaceX-9,1,8.22242537281809e-24
Spleen,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,1.86618768542779,1.86618768542779,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Colon,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,1.73686116819882,1.73686116819882,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Optic nerve,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,1.42905267755561,1.42905267755561,1,0,1,5.96080770053467,2.5099419787671e-09,SpaceX-27,1,1.37870052354813e-08
Quadriceps femoris,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,1.3572155231613,1.3572155231613,1,0,1,4.32078679933149,1.55473837098967e-05,SpaceX-21,1,5.88687344355313e-05
Extensor digitorum longus,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,2,2,2,1.334901874166,1.334901874166,2,0,0.5,5.81582098187314,6.03370124188193e-09,SpaceX-21;SpaceX-4,1,3.17992362747831e-08
Tibialis anterior,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,1.20618427388927,1.20618427388927,1,0,1,2.49329338129615,0.0126564221865178,SpaceX-21,1,0.0288655242850406
Heart,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,1.15524080127462,1.15524080127462,1,0,1,2.69876422651387,0.00695974644552902,NG-11,1,0.0168652977802774
Adrenal gland,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,2,2,2,1.03079261093449,1.03079261093449,2,0,0.5,1.47222962725104,0.140958879398658,SpaceX-21;SpaceX-8,1,0.230016581445509
Eye,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,2,2,2,1.01629164543566,1.01629164543566,2,0,0.5,1.68479961208636,0.0920272397965628,SpaceX-4;SpaceX-8,1,0.162401011405699
Kidney,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,4,5,9,0.988655191372652,0.814858463182137,3,1,0.375,6.07912111344463,1.208430614817e-09,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,6.83025999679174e-09
Femoral lateral skin,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,0.971121887869941,0.971121887869941,1,0,1,0.470739235917344,0.637826961770624,SpaceX-11,1,0.741153342070773
Left lobe of the liver,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,2,2,3,0.597010554449785,0.597010554449785,2,0,0.5,1.91794629070209,0.0551178217760352,SpaceX-16;SpaceX-21,1,0.103845171462095
Dorsal skin,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,2,2,5,0.347401259548179,0.347401259548179,1,1,1,0,1,SpaceX-11;SpaceX-15,1,1
Mammary gland,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,2,-0.0619991572778311,-0.0619991572778311,0,1,1,-0.452021910776557,0.651253197911509,SpaceX-16,1,0.753675807672073
Gastrocnemius,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,2,2,-0.0691112545201384,-0.0691112545201384,0,1,1,-0.696552813988917,0.486082694426668,SpaceX-4,1,0.59922063462609
Heart / Heart right ventricle,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,2,-0.126371327864315,-0.126371327864315,0,1,1,-1.37867871945846,0.167993833577491,SpaceX-18,1,0.26633168737895
Lung,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,2,2,-0.28386554133709,-0.28386554133709,0,1,1,-1.25469874114711,0.209588142918243,SpaceX-21,1,0.313177684820362
Soleus,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,3,3,3,-0.33752066549584,-1.34116243485125,1,2,1,-1.93171474853743,0.053394723385207,SpaceX-21;SpaceX-4;SpaceX-9,1,0.101087097671023
Liver,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,3,5,5,-0.400225173921435,-1.07496388051231,1,2,0.5,-1.75653017763141,0.0789979232763558,SpaceX-12;SpaceX-4;SpaceX-8,1,0.141326559989811
Cerebellum,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,-1.14013705756602,-1.14013705756602,0,1,1,-2.19447258400241,0.0282014527994207,SpaceX-21,1,0.0572842009988233
Spleen-distal,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,-1.28370625237388,-1.28370625237388,0,1,1,-4.02057407175889,5.8056490660815e-05,SpaceX-12,1,0.00019861431015542
Cecum,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,-1.30975596324292,-1.30975596324292,0,1,1,-4.41060359556841,1.03082874708656e-05,SpaceX-21,1,4.02023211363757e-05
Retina,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,4,4,4,-1.33288058086802,-1.33142942520889,0,4,0.125,-9.49359510055631,2.23200683499976e-21,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,7.9134787786355e-20
Bone marrow,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,-1.65192330982312,-1.65192330982312,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-14,1,7.35849056603757e-10
Femoral skin,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,1,1,1,-1.92280121680366,-1.92280121680366,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-12,1,7.35849056603757e-10
Thymus,normalized_original_material_type,cell_cycle_GO0007049,Cell cycle,GO:0007049,8,context,3,4,4,-3.02296036031789,-2.39696995270591,0,3,0.25,-11.2010878531634,4.02757077303295e-29,SpaceX-12;SpaceX-21;SpaceX-9,1,3.92688150370713e-27
Femoral lateral skin,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.59973928197408,1.59973928197408,1,0,1,3.89711537848925,9.73452491473854e-05,SpaceX-11,1,0.000321734298029494
Spleen,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.58334384470002,1.58334384470002,1,0,1,3.75272064307453,0.00017492575258941,SpaceX-21,1,0.000559188881228441
Optic nerve,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.54827002394811,1.54827002394811,1,0,1,3.68033003204642,0.000232932279779563,SpaceX-27,1,0.00072060660058205
