accession,analysis_window,analysis_role,input_relative_path,tissue,mission_raw,mission_cluster,duration_days,biological_experiment_id,animal_cohort_id,raw_log2fc_column,raw_left_label,raw_right_label,orientation_multiplier,unified_contrast_label,curation_note,contrast_id
OSD-253,main_30_40d,primary,02_processed_data/osdr_processed/OSD-253/GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-15,SpaceX-15,35,OSD-253,OSD-253_C3H_75,Log2fc_(C3H/HeJ & Ground Control Rerun & ~75 day & White light)v(C3H/HeJ & Space Flight & ~75 day & White light),C3H/HeJ & Ground Control Rerun & ~75 day & White light,C3H/HeJ & Space Flight & ~75 day & White light,-1,Space Flight vs Ground,Matched strain-age-light stratum retained by design rather than result.,C3H_75
OSD-253,main_30_40d,primary,02_processed_data/osdr_processed/OSD-253/GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-15,SpaceX-15,35,OSD-253,OSD-253_C57BL_75,Log2fc_(C57BL/6J & Ground Control Rerun & ~75 day & White light)v(C57BL/6J & Space Flight & ~75 day & White light),C57BL/6J & Ground Control Rerun & ~75 day & White light,C57BL/6J & Space Flight & ~75 day & White light,-1,Space Flight vs Ground,Matched strain-age-light stratum retained by design rather than result.,C57BL_75
OSD-254,main_30_40d,primary,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,皮肤,SpaceX-15,SpaceX-15,35,OSD-254,OSD-254,Log2fc_(Ground Control & C57BL/6J & ~25)v(Space Flight & C57BL/6J & ~25),Ground Control & C57BL/6J & ~25,Space Flight & C57BL/6J & ~25,-1,Space Flight vs Ground,
OSD-254,main_30_40d,primary,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,皮肤,SpaceX-15,SpaceX-15,35,OSD-254,OSD-254_C3H_25,Log2fc_(Ground Control & C3H/HeJ & ~25)v(Space Flight & C3H/HeJ & ~25),Ground Control & C3H/HeJ & ~25,Space Flight & C3H/HeJ & ~25,-1,Space Flight vs Ground,Matched strain-age stratum retained by design rather than result.,C3H_25
OSD-254,main_30_40d,primary,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,皮肤,SpaceX-15,SpaceX-15,35,OSD-254,OSD-254_C3H_75,Log2fc_(Ground Control & C3H/HeJ & ~75)v(Space Flight & C3H/HeJ & ~75),Ground Control & C3H/HeJ & ~75,Space Flight & C3H/HeJ & ~75,-1,Space Flight vs Ground,Matched strain-age stratum retained by design rather than result.,C3H_75
OSD-254,main_30_40d,primary,02_processed_data/osdr_processed/OSD-254/GLDS-254_rna_seq_differential_expression.csv,皮肤,SpaceX-15,SpaceX-15,35,OSD-254,OSD-254_C57BL_75,Log2fc_(Ground Control & C57BL/6J & ~75)v(Space Flight & C57BL/6J & ~75),Ground Control & C57BL/6J & ~75,Space Flight & C57BL/6J & ~75,-1,Space Flight vs Ground,Matched strain-age stratum retained by design rather than result.,C57BL_75
OSD-255,main_30_40d,primary,02_processed_data/osdr_processed/OSD-255/GLDS-255_rna_seq_differential_expression_GLbulkRNAseq.csv,眼/视网膜,SpaceX-12,SpaceX-12,34,OSD-255,OSD-255,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-379,main_30_40d,primary,02_processed_data/osdr_processed/OSD-379/GLDS-379_rna_seq_differential_expression_GLbulkRNAseq.csv,肝脏/代谢,SpaceX-16,SpaceX-16,40,OSD-379,OSD-379,Log2fc_(Ground Control & ~40 day & On Earth & Upon euthanasia & 10 to 12 week)v(Space Flight & ~40 day & On Earth & Upon euthanasia & 10 to 12 week),Ground Control & ~40 day & On Earth & Upon euthanasia & 10 to 12 week,Space Flight & ~40 day & On Earth & Upon euthanasia & 10 to 12 week,-1,Space Flight vs Ground,
OSD-379,main_30_40d,primary,02_processed_data/osdr_processed/OSD-379/GLDS-379_rna_seq_differential_expression_GLbulkRNAseq.csv,肝脏/代谢,SpaceX-16,SpaceX-16,40,OSD-379,OSD-379_32W,Log2fc_(Ground Control & ~40 day & On Earth & Upon euthanasia & 32 week)v(Space Flight & ~40 day & On Earth & Upon euthanasia & 32 week),Ground Control & ~40 day & On Earth & Upon euthanasia & 32 week,Space Flight & ~40 day & On Earth & Upon euthanasia & 32 week,-1,Space Flight vs Ground,Matched age stratum retained by design rather than result.,age_32w
OSD-397,main_30_40d,primary,02_processed_data/osdr_processed/OSD-397/GLDS-397_rna_seq_differential_expression.csv,眼/视网膜,SpaceX-4,SpaceX-4,34,OSD-397,OSD-397,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-419,main_30_40d,primary,02_processed_data/osdr_processed/OSD-419/GLDS-419_rna_seq_differential_expression_GLbulkRNAseq.csv,肌肉,SpaceX-4,SpaceX-4,34,OSD-419,OSD-419,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-421,main_30_40d,primary,02_processed_data/osdr_processed/OSD-421/GLDS-421_rna_seq_differential_expression_GLbulkRNAseq.csv,胸腺,SpaceX-12,SpaceX-12,34,OSD-421,OSD-421,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-462,main_30_40d,primary,02_processed_data/osdr_processed/OSD-462/GLDS-462_rna_seq_differential_expression_mRNA_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-21,SpaceX-21,39,OSD-462,OSD-462,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-463,main_30_40d,primary,02_processed_data/osdr_processed/OSD-463/GLDS-463_rna_seq_differential_expression_GLbulkRNAseq.csv,肝脏/代谢,SpaceX-21,SpaceX-21,39,OSD-463,OSD-463,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-464,main_30_40d,primary,02_processed_data/osdr_processed/OSD-464/GLDS-464_rna_seq_differential_expression_GLbulkRNAseq.csv,肺/呼吸道,SpaceX-21,SpaceX-21,39,OSD-464,OSD-464,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-506,main_30_40d,primary,02_processed_data/osdr_processed/OSD-506/GLDS-506_rna_seq_differential_expression_GLbulkRNAseq.csv,脾脏,SpaceX-21,SpaceX-21,39,OSD-506,OSD-506,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-511,main_30_40d,primary,02_processed_data/osdr_processed/OSD-511/GLDS-511_rna_seq_differential_expression.csv,生殖/发育,SpaceX-16,SpaceX-16,40,OSD-511,OSD-511,Log2fc_(10 to 12 week & Ground Control)v(10 to 12 week & Space Flight),10 to 12 week & Ground Control,10 to 12 week & Space Flight,-1,Space Flight vs Ground,
OSD-511,main_30_40d,primary,02_processed_data/osdr_processed/OSD-511/GLDS-511_rna_seq_differential_expression.csv,生殖/发育,SpaceX-16,SpaceX-16,40,OSD-511,OSD-511_32W,Log2fc_(32 week & Ground Control)v(32 week & Space Flight),32 week & Ground Control,32 week & Space Flight,-1,Space Flight vs Ground,Matched age stratum retained by design rather than result.,age_32w
OSD-512,main_30_40d,primary,02_processed_data/osdr_processed/OSD-512/GLDS-512_rna_seq_differential_expression_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-21,SpaceX-21,39,OSD-512,OSD-512,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-513,main_30_40d,primary,02_processed_data/osdr_processed/OSD-513/GLDS-513_rna_seq_differential_expression_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-21,SpaceX-21,39,OSD-513,OSD-513,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-515,main_30_40d,primary,02_processed_data/osdr_processed/OSD-515/GLDS-515_rna_seq_differential_expression_GLbulkRNAseq.csv,胸腺,SpaceX-21,SpaceX-21,39,OSD-515,OSD-515,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-525,main_30_40d,primary,02_processed_data/osdr_processed/OSD-525/GLDS-525_rna_seq_differential_expression_GLbulkRNAseq.csv,脑/神经,SpaceX-21,SpaceX-21,39,OSD-525,OSD-525,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
