dataset_id,accession,tissue,mission_cluster,animal_cohort,flight_duration_days,n_case,n_control,left,right,multiplier,unified_label,role,input_relative_path,raw_left_label,raw_right_label,raw_log2fc_column,orientation_multiplier,n_ensembl_ids,n_unique_symbols,n_duplicate_symbol_annotations,n_up_fdr05,n_down_fdr05,sha256
OSD289_MHU1_thymus,OSD-289,Thymus,SpaceX-9,MHU1_THYMUS,35,3,3,MHU-1 & Ground Control & 1G on Earth,MHU-1 & Space Flight & uG,-1,Space uG - ground 1g (teacher-requested primary; ground substrain/vendor confounded),teacher_requested_primary,02_processed_data/osdr_processed/OSD-289/GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,MHU-1 & Ground Control & 1G on Earth,MHU-1 & Space Flight & uG,Log2fc_(MHU-1 & Ground Control & 1G on Earth)v(MHU-1 & Space Flight & uG),-1,23353,18093,43,1163,1204,e0d21a7db902e98348bfedb567e492654d06930a5500a035ebac79f6fbcd77d4
OSD289_MHU2_thymus,OSD-289,Thymus,SpaceX-12,MHU2_THYMUS,34,3,3,MHU-2 & Space Flight & uG,MHU-2 & Vivarium Control & 1G on Earth,1,Space uG - matched vivarium 1g,primary,02_processed_data/osdr_processed/OSD-289/GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv,MHU-2 & Space Flight & uG,MHU-2 & Vivarium Control & 1G on Earth,Log2fc_(MHU-2 & Space Flight & uG)v(MHU-2 & Vivarium Control & 1G on Earth),1,23353,18093,43,376,610,e0d21a7db902e98348bfedb567e492654d06930a5500a035ebac79f6fbcd77d4
OSD421_thymus,OSD-421,Thymus,SpaceX-12,OSD421_THYMUS,34,10,10,Space Flight,Ground Control,1,Space Flight - habitat ground control,primary,02_processed_data/osdr_processed/OSD-421/GLDS-421_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,Log2fc_(Space Flight)v(Ground Control),1,22978,17987,29,568,772,e126db86e08b0ea017613f188c133647d630862cbf2431d65de070e965cb6e49
OSD515_thymus,OSD-515,Thymus,SpaceX-21,RR23_SHARED_ANIMALS,39,7,9,Space Flight,Ground Control,1,Space Flight - habitat ground control,primary,02_processed_data/osdr_processed/OSD-515/GLDS-515_rna_seq_differential_expression_GLbulkRNAseq.csv,Space Flight,Ground Control,Log2fc_(Space Flight)v(Ground Control),1,29882,21515,49,2795,1152,dfd67dd11fb3c03aeaa477e683cd69bd620428b0249decc12f6f0bb6471d186b
