set_name,matrix_column,n_genes
OSD-163,set_01_OSD_163,884
OSD-253,set_02_OSD_253,880
OSD-462,set_03_OSD_462,877
OSD-513,set_04_OSD_513,872
OSD-771,set_05_OSD_771,876
