set_name,matrix_column,n_genes
OSD-289 MHU-1,set_01_OSD_289_MHU_1,868
OSD-289 MHU-2,set_02_OSD_289_MHU_2,868
OSD-421,set_03_OSD_421,863
OSD-515,set_04_OSD_515,884
