family,intersection_id,membership_pattern,n_genes
down_tissues,1,111111,850
down_tissues,2,111011,10
down_tissues,3,110011,9
down_tissues,4,110111,4
down_tissues,5,100010,2
down_tissues,6,000001,1
down_tissues,7,000010,1
down_tissues,8,001000,1
down_tissues,9,001011,1
down_tissues,10,011011,1
down_tissues,11,100000,1
down_tissues,12,100011,1
down_tissues,13,100100,1
down_tissues,14,100110,1
down_tissues,15,101111,1
down_tissues,16,110000,1
down_tissues,17,110010,1
down_tissues,18,111101,1
