set_name,matrix_column,n_genes
Quadriceps femoris,set_01_Quadriceps_femoris,870
Tibialis anterior,set_02_Tibialis_anterior,867
Optic nerve,set_03_Optic_nerve,881
Spleen,set_04_Spleen,878
Femoral lateral skin,set_05_Femoral_lateral_skin,877
Left lobe of the liver,set_06_Left_lobe_of_the_liver,878
Colon,set_07_Colon,880
Cerebellum,set_08_Cerebellum,876
Heart,set_09_Heart,839
Eye,set_10_Eye,883
