Tissue,OSD_Accession,Analysis_Unit_ID,Condition,Is_Technical_Replicate,n_BER,n_NER,n_MMR,n_FA,n_HR,n_AEJ,n_NHEJ
Eye,OSD-100,OSD-100,Flight,False,53,53,27,39,134,9,17
Eye,OSD-100,OSD-100,Flight,False,53,53,27,39,135,9,17
Eye,OSD-100,OSD-100,Flight,False,53,53,27,39,134,9,17
Eye,OSD-100,OSD-100,Flight,False,53,53,27,39,133,9,17
Eye,OSD-100,OSD-100,Flight,False,53,53,27,39,135,9,17
Eye,OSD-100,OSD-100,Flight,False,52,53,27,39,135,9,17
Eye,OSD-100,OSD-100,Ground,False,52,53,27,39,135,9,17
Eye,OSD-100,OSD-100,Ground,False,53,53,27,39,134,9,17
Eye,OSD-100,OSD-100,Ground,False,53,53,27,39,135,9,17
Eye,OSD-100,OSD-100,Ground,False,53,53,27,39,134,9,17
Eye,OSD-100,OSD-100,Ground,False,53,53,27,39,133,9,17
Eye,OSD-100,OSD-100,Ground,False,53,53,27,39,133,9,17
Gastrocnemius,OSD-101,OSD-101,Flight,False,52,53,26,36,125,9,17
Gastrocnemius,OSD-101,OSD-101,Flight,False,53,53,27,38,129,9,17
Gastrocnemius,OSD-101,OSD-101,Flight,False,53,53,25,38,125,9,17
Gastrocnemius,OSD-101,OSD-101,Flight,False,52,53,27,38,129,9,17
Gastrocnemius,OSD-101,OSD-101,Flight,False,52,53,27,37,128,9,17
Gastrocnemius,OSD-101,OSD-101,Flight,False,53,53,27,38,128,9,17
Gastrocnemius,OSD-101,OSD-101,Ground,False,53,53,27,38,128,9,17
Gastrocnemius,OSD-101,OSD-101,Ground,False,52,53,27,36,125,9,17
Gastrocnemius,OSD-101,OSD-101,Ground,False,52,53,26,37,129,9,17
Gastrocnemius,OSD-101,OSD-101,Ground,False,53,53,27,38,127,9,17
Gastrocnemius,OSD-101,OSD-101,Ground,False,52,53,25,37,126,9,17
Gastrocnemius,OSD-101,OSD-101,Ground,False,53,53,27,37,128,9,17
Soleus,OSD-104,OSD-104,Flight,False,53,53,27,39,128,9,17
Soleus,OSD-104,OSD-104,Flight,False,53,53,27,39,128,9,17
Soleus,OSD-104,OSD-104,Flight,False,52,53,27,39,130,9,17
Soleus,OSD-104,OSD-104,Flight,False,51,53,27,39,130,9,17
Soleus,OSD-104,OSD-104,Flight,False,52,53,27,38,130,9,17
Soleus,OSD-104,OSD-104,Flight,False,51,53,26,36,129,9,17
Soleus,OSD-104,OSD-104,Ground,False,52,53,27,39,128,9,17
Soleus,OSD-104,OSD-104,Ground,False,51,52,27,38,126,9,17
Soleus,OSD-104,OSD-104,Ground,False,52,53,27,39,129,9,17
