ensembl_id,gene_symbol,set_01_Quadriceps_femoris,set_02_Tibialis_anterior,set_03_Optic_nerve,set_04_Spleen,set_05_Femoral_lateral_skin,set_06_Left_lobe_of_the_liver,set_07_Colon,set_08_Cerebellum,set_09_Heart,set_10_Eye,intersection_degree
ENSMUSG00000008730,Hipk1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000008958,Vps72,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000009291,Pttg1ip,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000009555,Cdk9,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000009575,Cbx5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000009628,Tex15,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000009640,Dmap1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000010067,Rassf1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000010154,Spire2,1,1,1,1,1,1,1,1,0,1,9
ENSMUSG00000010461,Eya4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000012483,Rpa3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000013822,Elof1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000014074,Rnf168,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000014243,Zswim7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000014850,Msh3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000014859,E2f4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000015337,Endog,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000015452,Ager,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000015937,Macroh2a1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000015971,Actr8,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000016018,Mtrex,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000016308,Ube2a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000016526,Dyrk3,1,1,1,1,1,1,1,1,0,1,9
