Tissue,Flight_Samples_Count,Pathway_1,Pathway_2,Spearman_Rho
Adrenal gland,14,telomere_maintenance_GO0043247,DNA_replication_GO0006260,0.4461538461538462
Adrenal gland,14,telomere_maintenance_GO0043247,DNA_templated_transcription_GO0006351,-0.0549450549450549
Adrenal gland,14,telomere_maintenance_GO0043247,translation_GO0006412,-0.0813186813186813
Adrenal gland,14,telomere_maintenance_GO0043247,mitochondrion_GO0005739,-0.112087912087912
Adrenal gland,14,telomere_maintenance_GO0043247,mechanosensation_GO0050954,-0.1384615384615384
Adrenal gland,14,telomere_maintenance_GO0043247,cytoskeleton_GO0005856,0.1912087912087912
Adrenal gland,14,telomere_maintenance_GO0043247,cell_death_GO0008219,-0.3494505494505494
Adrenal gland,14,telomere_region_GO0000781,cell_cycle_GO0007049,0.701098901098901
Adrenal gland,14,telomere_region_GO0000781,DNA_replication_GO0006260,0.8505494505494505
Adrenal gland,14,telomere_region_GO0000781,DNA_templated_transcription_GO0006351,0.2439560439560439
Adrenal gland,14,telomere_region_GO0000781,translation_GO0006412,0.0549450549450549
Adrenal gland,14,telomere_region_GO0000781,mitochondrion_GO0005739,-0.0373626373626373
Adrenal gland,14,telomere_region_GO0000781,mechanosensation_GO0050954,0.0637362637362637
Adrenal gland,14,telomere_region_GO0000781,cytoskeleton_GO0005856,0.4725274725274725
Adrenal gland,14,telomere_region_GO0000781,cell_death_GO0008219,0.0373626373626373
Adrenal gland,14,cell_cycle_GO0007049,DNA_replication_GO0006260,0.8637362637362638
Adrenal gland,14,cell_cycle_GO0007049,DNA_templated_transcription_GO0006351,0.4593406593406593
Adrenal gland,14,cell_cycle_GO0007049,translation_GO0006412,0.5560439560439561
Adrenal gland,14,cell_cycle_GO0007049,mitochondrion_GO0005739,0.3494505494505494
Adrenal gland,14,cell_cycle_GO0007049,mechanosensation_GO0050954,0.1692307692307692
Adrenal gland,14,cell_cycle_GO0007049,cytoskeleton_GO0005856,0.6395604395604395
Adrenal gland,14,cell_cycle_GO0007049,cell_death_GO0008219,0.512087912087912
Adrenal gland,14,DNA_replication_GO0006260,DNA_templated_transcription_GO0006351,0.389010989010989
Adrenal gland,14,DNA_replication_GO0006260,translation_GO0006412,0.3626373626373626
Adrenal gland,14,DNA_replication_GO0006260,mitochondrion_GO0005739,0.2087912087912088
Adrenal gland,14,DNA_replication_GO0006260,mechanosensation_GO0050954,0.0989010989010989
Adrenal gland,14,DNA_replication_GO0006260,cytoskeleton_GO0005856,0.6835164835164835
Adrenal gland,14,DNA_replication_GO0006260,cell_death_GO0008219,0.3538461538461538
Adrenal gland,14,DNA_templated_transcription_GO0006351,translation_GO0006412,0.178021978021978
Adrenal gland,14,DNA_templated_transcription_GO0006351,mitochondrion_GO0005739,0.1956043956043956
Adrenal gland,14,DNA_templated_transcription_GO0006351,mechanosensation_GO0050954,0.5604395604395604
Adrenal gland,14,DNA_templated_transcription_GO0006351,cytoskeleton_GO0005856,0.4593406593406593
Adrenal gland,14,DNA_templated_transcription_GO0006351,cell_death_GO0008219,0.701098901098901
Adrenal gland,14,translation_GO0006412,mitochondrion_GO0005739,0.6879120879120879
Adrenal gland,14,translation_GO0006412,mechanosensation_GO0050954,0.2703296703296703
Adrenal gland,14,translation_GO0006412,cytoskeleton_GO0005856,0.6307692307692307
Adrenal gland,14,translation_GO0006412,cell_death_GO0008219,0.6527472527472528
Adrenal gland,14,mitochondrion_GO0005739,mechanosensation_GO0050954,0.4065934065934066
Adrenal gland,14,mitochondrion_GO0005739,cytoskeleton_GO0005856,0.4637362637362637
Adrenal gland,14,mitochondrion_GO0005739,cell_death_GO0008219,0.5956043956043956
Adrenal gland,14,mechanosensation_GO0050954,cytoskeleton_GO0005856,0.5824175824175825
Adrenal gland,14,mechanosensation_GO0050954,cell_death_GO0008219,0.6703296703296703
Adrenal gland,14,cytoskeleton_GO0005856,cell_death_GO0008219,0.6483516483516484
Bone marrow,6,DNA_damage_response_GO0006974,DNA_repair_GO0006281,0.9428571428571428
