ensembl_id,gene_symbol,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,common_direction,log2fc__OSD289_MHU1_thymus,wald_z__OSD289_MHU1_thymus,sample_fdr__OSD289_MHU1_thymus,log2fc__OSD289_MHU2_thymus,wald_z__OSD289_MHU2_thymus,sample_fdr__OSD289_MHU2_thymus,log2fc__OSD421_thymus,wald_z__OSD421_thymus,sample_fdr__OSD421_thymus,log2fc__OSD515_thymus,wald_z__OSD515_thymus,sample_fdr__OSD515_thymus,mean_log2fc,min_abs_log2fc,final_integrated_z,final_integrated_p,final_fdr,pooled_rank
ENSMUSG00000022037,CLU,True,False,common_up,1.25821865219614,4.78491126134947,8.05496148558028e-05,0.807138605654483,3.20718054795297,0.027691856236709,0.842116892787036,2.88578263254271,0.0468649642352141,0.795971212982511,1.72873012550483,0.222292714511211,0.9258613409050426,0.795971212982511,5.519539574315847,3.398890446682073e-08,4.1515019027331033e-07,5
ENSMUSG00000042784,MUC1,True,False,common_up,1.63235682084982,2.33074322577907,0.10003966459533,0.700624001035323,1.1038673919285,0.575954391579841,1.44206865752534,1.15205753424007,0.572141337748349,2.2652933921693,3.70982203655265,0.0054076835426282,1.5100857178949458,0.700624001035323,4.138751411962227,3.4920106585623226e-05,0.0002147963390698,7
ENSMUSG00000023411,NFATC4,True,False,common_up,1.2732641018929,1.63490086331144,0.28852599020766,0.629865117364922,1.00687088889603,,2.65223509041075,1.28890005627664,,1.21284708149264,2.40586618425106,0.076675525888279,1.4420528477903032,0.629865117364922,2.9956699292393605,0.0027384267445301,0.0094791695002968,10
ENSMUSG00000029026,TRP73,True,False,common_up,1.76562271057236,1.91504684743115,,0.473513856262007,0.657038414722622,,1.06476152242719,0.40440692886888,,2.05208925513385,3.92801855340627,0.0031834053249578,1.3389968360988518,0.473513856262007,3.6799082594923873,0.0002333178763825,0.001127043979136,28
ENSMUSG00000041064,PIF1,True,True,common_down,-1.25127114882147,-3.27878820056361,0.0124710234644304,-1.0737933882296,-2.9002065750113,0.0518097049752832,-3.14005915940494,-4.86577684155466,6.74411694128678e-05,-1.11678221178628,-2.52817383894007,0.0617929614475375,-1.6454764770605723,1.0737933882296,-5.594497404719652,2.2126177929350467e-08,2.823564496954425e-07,1
ENSMUSG00000030677,KIF22,True,True,common_down,-0.930891887311663,-3.70480913790824,0.0036750815704095,-0.99518411842935,-4.0628390472795,0.0028288258639183,-2.20215647107404,-4.93919385103279,4.88876796990868e-05,-1.19937923730015,-3.19073702409702,0.0170469407030898,-1.3319029285288009,0.930891887311663,-6.579808491390462,4.7105459771328145e-11,1.4383988608744844e-09,2
ENSMUSG00000019773,FBXO5,True,False,common_down,-0.932327215925577,-4.4329892368448,0.0003073169215076,-0.810648446803579,-4.08870287039306,0.0026056686883649,-2.56124192326108,-7.23721243272757,8.1586540727873e-11,-1.83764960765538,-4.75925378856451,0.0002906805044533,-1.535466798411404,0.810648446803579,-8.576654109714326,9.767277662504665e-18,1.1930032002059269e-15,3
ENSMUSG00000049932,H2AX,True,True,common_down,-0.806713455146985,-3.03437263780328,0.0226997185552176,-1.26429559129682,-4.78342623595251,0.0002620915355146,-2.32000624278447,-6.82270406006113,1.33384228088194e-09,-1.1683094804139,-3.07152340156226,0.0215973459872954,-1.3898311924105435,0.806713455146985,-6.875641947298237,6.171132302905698e-12,2.2940513560801614e-10,4
ENSMUSG00000020649,RRM2,True,True,common_down,-1.0134134698105,-5.02449967462629,3.04435960923469e-05,-0.7686535368381,-3.88415781492353,0.0048770351495612,-3.20295851734874,-13.2473942511418,1.8307330501127e-36,-2.08410991560982,-5.30201335628871,3.88523139582581e-05,-1.7672838599017902,0.7686535368381,-10.90746817667841,1.061721732180466e-27,9.077720810142984e-25,6
ENSMUSG00000024791,CDCA5,True,True,common_down,-1.10669890595303,-4.49594610429042,0.0002456792187504,-0.680983708373542,-3.0227020829603,0.0410369008238047,-3.77908101320131,-6.33003713522764,3.12375783090959e-08,-1.56159715922588,-3.83224323411103,0.0040453911697288,-1.7820901966884404,0.680983708373542,-7.508185609028836,5.995246354752549e-14,3.661382595223877e-12,8
ENSMUSG00000020914,TOP2A,True,False,common_down,-1.03322388805413,-5.0567257698921,2.66225251662752e-05,-0.662290370708745,-3.25284774557227,0.024937178247291,-3.02629735842039,-10.3890523277525,1.61464254439727e-22,-1.61392395443928,-3.93260120944058,0.0031378304294649,-1.5839338929056364,0.662290370708745,-9.128067691147304,6.973277449936044e-20,1.4905380549238293e-17,9
ENSMUSG00000046591,TICRR,True,True,common_down,-0.629444279925101,-2.94222538425761,0.0282133996251322,-0.624952851266364,-3.0630735474024,0.0379625877472083,-2.58839952351534,-4.21331280681563,0.0009716500685472,-1.43737928830986,-3.55729807065858,0.0077595723888652,-1.3200439857541664,0.624952851266364,-5.853013426467899,4.827451371446376e-09,7.643464671456763e-08,11
ENSMUSG00000019942,CDK1,True,False,common_down,-1.30211863584135,-4.97208627191418,3.74269481020944e-05,-0.619155141451013,-2.44822223408666,0.120222701328538,-3.9965173277405,-12.0734722799479,2.07846341858501e-30,-1.52838769588303,-4.07957780256167,0.0021140910575346,-1.8615447002289731,0.619155141451013,-9.41803280839638,4.5961808754119625e-21,1.3099115494924093e-18,12
ENSMUSG00000030867,PLK1,True,True,common_down,-0.590872765163573,-2.67692660891244,0.0504019304080737,-0.607806729122249,-2.86248694061733,0.0560545335987377,-3.39878633045712,-9.36774079347498,2.83321182767498e-18,-1.32583233887414,-3.22450445269145,0.0159292855652759,-1.4808245409042704,0.590872765163573,-6.937755449285336,3.983785476084639e-12,1.5482439009328938e-10,13
ENSMUSG00000026429,UBE2T,True,True,common_down,-0.709776868463945,-3.04212864511388,0.0222661235367547,-0.579797770426004,-2.81258610212082,0.0620732109452684,-1.52217535863583,-5.45330132962101,4.01591341157811e-06,-1.4417153691615,-3.31771796320214,0.0130128081063584,-1.0633663416718198,0.579797770426004,-6.058015318219629,1.3781127551833147e-09,2.7402009434458937e-08,14
ENSMUSG00000040204,PCLAF,True,False,common_down,-0.899629725303988,-4.23885875096922,0.0006080517146311,-0.571293132965231,-2.75456694417449,0.0697448596369878,-3.46527962879559,-12.9143537394712,1.17120816921537e-34,-2.11736229517993,-5.01540374322094,0.000113660021509,-1.763391195561185,0.571293132965231,-9.866178729479014,5.834508702772531e-23,2.4942524704352572e-20,15
ENSMUSG00000046295,ANKLE1,True,True,common_down,-0.558385521677036,-2.17573851366917,0.130485720253879,-0.913902211837542,-3.83879271173625,0.0054554575416648,-2.04725784771907,-2.69310849385713,0.0714547301688832,-1.17984047444151,-3.04430512100693,0.0229830889044296,-1.1748465139187896,0.558385521677036,-4.899391057346528,9.613413633940796e-07,8.21946865701938e-06,16
ENSMUSG00000028702,RAD54L,True,True,common_down,-0.557296838376358,-2.47387592000451,0.0773079796287092,-0.555323333431576,-2.63405569642742,0.0866748518197616,-2.49457387016793,-4.59129055862569,0.0002185281823123,-1.65043934978844,-4.50467975388614,0.0006303168758749,-1.3144083479410762,0.555323333431576,-6.114848799547142,9.664855575786266e-10,2.0154759798285993e-08,17
ENSMUSG00000073705,CENPS,True,True,common_down,-0.554810444441576,-1.36626810500895,0.396326815339074,-0.68546679145578,-1.86657306007457,0.272804983419996,-1.87220217464634,-4.32636765245705,0.0006303179453233,-1.79706728188837,-4.73325148118997,0.0003205792605037,-1.2273866731080163,0.554810444441576,-5.309307268747103,1.1004267921591889e-07,1.1335721774651884e-06,18
ENSMUSG00000024742,FEN1,True,True,common_down,-0.609946763048525,-3.51415443477564,0.0065478159263135,-0.544910324628442,-3.3181991090744,0.0212330464407335,-2.00875638220424,-6.45937191920921,1.3621074358987e-08,-1.26140946984246,-4.37842946727809,0.0009563744142276,-1.1062557349309166,0.544910324628442,-7.379327073052543,1.5909156612078694e-13,8.501455564579551e-12,19
ENSMUSG00000039396,NEIL3,True,True,common_down,-0.544528496043197,-1.89209993129706,0.202173541687806,-0.676474277917036,-2.43119177004636,0.123930894901572,-2.96525676004181,-8.86122886754183,2.81944309687982e-16,-1.00610493951712,-2.46715635874357,0.0686817156666745,-1.2980911183797907,0.544528496043197,-5.776658839978541,7.619856712518065e-09,1.104233472746262e-07,20
ENSMUSG00000057406,NSD2,True,True,common_down,-0.663656127032506,-4.71470529851476,0.0001079626310635,-0.540434670629085,-3.90213166372975,0.0046681955757195,-1.40989289817875,-3.91642930585029,0.0028460697319215,-1.06271607930578,-3.96356973227445,0.0028869658212791,-0.9191749437865302,0.540434670629085,-7.267428565359028,3.663949756469951e-13,1.7403761343232268e-11,21
ENSMUSG00000030978,RRM1,True,True,common_down,-0.712993595257788,-3.85877560675921,0.0022325493927088,-0.536768304193976,-2.95461794739473,0.0470110839959723,-1.87910144297867,-7.10504191521288,2.02753093991109e-10,-1.36506007881034,-4.66899919259286,0.0003778328299372,-1.1234808553101936,0.536768304193976,-7.827486740810714,4.977191139924386e-15,3.273460326642577e-13,22
ENSMUSG00000000028,CDC45,True,True,common_down,-0.729775095510768,-4.31538213419665,0.0004619253390385,-0.527649695957107,-3.59724752981063,0.0103596877456238,-3.00457721672042,-4.38355707205117,0.0005059427309059,-1.48496913174272,-6.35409376131622,3.9249379939645e-07,-1.436742784982754,0.527649695957107,-8.463884623003937,2.5861567809769368e-17,2.763955059669101e-15,23
ENSMUSG00000001517,FOXM1,True,True,common_down,-0.934256131485545,-3.80277516072435,0.0026879423162491,-0.502771713521372,-2.09477190747044,0.202263661549999,-2.36764289775359,-4.82671770145078,7.9656607999047e-05,-1.11795924189253,-2.78757648792601,0.0381451783557726,-1.2306574961632593,0.502771713521372,-5.803003242854512,6.5137531248225035e-09,9.602170554695241e-08,24
ENSMUSG00000096472,CDKN2D,True,True,common_down,-0.768026929954712,-4.20388118005571,0.000691540836037,-0.945144005912088,-5.43369497849474,1.97280890537371e-05,-0.710440915162911,-3.83368462156727,0.0037415454531186,-0.489057593907551,-1.37802520336789,0.349486200159663,-0.7281673612343155,0.489057593907551,-5.89797720645003,3.6798479193060704e-09,6.050519175012865e-08,25
ENSMUSG00000020185,E2F7,True,False,common_down,-1.68842229529224,-6.69400022944798,6.23807037485051e-09,-0.477110072067532,-2.19267322411074,0.174803190765762,-5.41434674318898,-5.7724735014543,7.65343783626363e-07,-1.61445985972886,-4.55663269982856,0.0005389178265106,-2.2985847425694033,0.477110072067532,-8.7948957533414,1.4318084964389088e-18,2.4483925289105343e-16,26
ENSMUSG00000041406,FIRRM,True,True,common_down,-0.854236032401061,-2.76862462597216,0.041451748608681,-0.476768119132279,-1.64079437825203,0.350194550808733,-2.2121121392763,-2.68984686179632,0.0719714805682614,-1.42620970229088,-3.94897964592366,0.0030004949295116,-1.24233149827513,0.476768119132279,-5.128559077541237,2.919682773379653e-07,2.869343415217934e-06,27
ENSMUSG00000033222,TTF2,True,True,common_down,-0.471602132553512,-2.27992489306316,0.109514053205796,-0.560981085374096,-2.83980326972356,0.0586856615189134,-1.24565629870257,-3.30482044750614,0.0168934876785868,-0.726430917232346,-3.05408217021001,0.0224306703564935,-0.7511676084656309,0.471602132553512,-4.853390492445893,1.213683733944299e-06,1.0173525416886035e-05,29
ENSMUSG00000022881,RFC4,True,True,common_down,-0.770515944365404,-2.97967782183841,0.0258014242736467,-0.468977532271258,-1.97569487883036,0.23512453254045,-1.69810378244054,-5.55583064486694,2.36677327885488e-06,-1.15304639545592,-3.5486961424958,0.0078686517276296,-1.0226609136332805,0.468977532271258,-5.943322609936487,2.793019770012247e-09,4.7760638067209434e-08,30
