Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Baseline_Log2_Expression,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Femoral skin,HR,ENSMUSG00000030528,Blm,12144,8.35454374098736,-0.317943205368065,0.506620328346985,1.0,1,1,2
Gastrocnemius,HR,ENSMUSG00000030528,Blm,12144,4.63833483508606,-0.067139527083865,0.486378778519055,1.0,1,2,10
Heart,HR,ENSMUSG00000030528,Blm,12144,4.75770087291955,-0.170445322229604,0.792315897360344,0.989368794616336,1,1,3
Heart / Heart right ventricle,HR,ENSMUSG00000030528,Blm,12144,6.2755292738296,0.131709233825815,0.548436922317325,1.0,1,2,10
Kidney,HR,ENSMUSG00000030528,Blm,12144,6.67814456688861,0.336875231221538,0.0058845125244531,0.177667816352609,4,9,55
Left lobe of the liver,HR,ENSMUSG00000030528,Blm,12144,6.86467224727982,0.840723650443346,0.0001009193001958,0.0076555898791391,2,3,24
Liver,HR,ENSMUSG00000030528,Blm,12144,5.82148160354811,0.163732660836135,0.326359562697704,1.0,3,5,19
Lung,HR,ENSMUSG00000030528,Blm,12144,7.4456633445483,0.187600599839784,0.40067784245285,1.0,1,2,14
Mammary gland,HR,ENSMUSG00000030528,Blm,12144,7.6197883318888,-0.164627896398703,0.584515888783257,0.933696383250641,1,2,10
Optic nerve,HR,ENSMUSG00000030528,Blm,12144,8.19884327436729,0.380764548368137,0.254342259165127,0.879582597141764,1,1,5
Quadriceps femoris,HR,ENSMUSG00000030528,Blm,12144,7.2987876764405,0.877070282624673,8.05916312891931e-06,0.0001970232135788,1,1,9
Retina,HR,ENSMUSG00000030528,Blm,12144,8.6153235962359,0.0413995757502776,0.382623729701362,0.781581987039674,4,4,27
Soleus,HR,ENSMUSG00000030528,Blm,12144,6.30763258649522,0.483393522912033,0.0077826778698147,0.0366550127569482,3,3,18
Spleen,HR,ENSMUSG00000030528,Blm,12144,8.64769862962839,0.345360801778937,0.234564785684407,0.906314198227471,1,1,9
Spleen-distal,HR,ENSMUSG00000030528,Blm,12144,5.50555742325678,-0.146694303063082,0.583767188566022,0.993779040229482,1,1,10
Thymus,HR,ENSMUSG00000030528,Blm,12144,7.61522946159072,-0.969841937638699,1.80438385315238e-05,0.0005736127709463,3,4,23
Tibialis anterior,HR,ENSMUSG00000030528,Blm,12144,7.17695552048193,0.737566778935152,8.48265698668345e-10,2.51047192587287e-07,1,1,9
Adrenal gland,HR,ENSMUSG00000027323,Rad51,19361,5.62871723565325,-0.0913391590264655,0.573135548715623,0.865086219657175,2,2,14
Bone marrow,HR,ENSMUSG00000027323,Rad51,19361,8.57292611978848,-0.456041620397978,0.00022419880884,0.0036594103509882,1,1,6
Cecum,HR,ENSMUSG00000027323,Rad51,19361,5.8625488757566,-0.0263767728807591,0.933287931912147,1.0,1,1,5
Cerebellum,HR,ENSMUSG00000027323,Rad51,19361,5.83669686066759,0.266355680710189,0.185623490754607,0.663261281623061,1,1,9
Colon,HR,ENSMUSG00000027323,Rad51,19361,7.28905945203183,0.0838396537129949,0.816154423656727,1.0,1,1,4
Dorsal skin,HR,ENSMUSG00000027323,Rad51,19361,7.2353375857881,-0.017494388616969,0.735385911025941,1.0,2,5,30
Extensor digitorum longus,HR,ENSMUSG00000027323,Rad51,19361,5.68791621815486,0.0586696102441883,0.753885543039723,0.907343328661388,2,2,15
Eye,HR,ENSMUSG00000027323,Rad51,19361,7.44902688851217,-0.0322727958122337,0.763049728159316,0.999687556394716,2,2,11
Femoral lateral skin,HR,ENSMUSG00000027323,Rad51,19361,7.38184608250414,-0.003491169838813,0.988077119769233,0.998123196715231,1,1,9
Femoral skin,HR,ENSMUSG00000027323,Rad51,19361,7.22496483491672,-0.80718428399418,0.0580370367991574,0.982708242252077,1,1,2
Gastrocnemius,HR,ENSMUSG00000027323,Rad51,19361,2.7209517781748,-2.28523654057824,0.310777075428322,1.0,1,2,10
Heart,HR,ENSMUSG00000027323,Rad51,19361,3.54134820583227,-0.192801447551805,0.777139092525924,0.989363616662084,1,1,3
Heart / Heart right ventricle,HR,ENSMUSG00000027323,Rad51,19361,3.39443468106167,-0.725179383809762,0.0612466838094648,1.0,1,2,10
Kidney,HR,ENSMUSG00000027323,Rad51,19361,5.0979789621328,-0.230565583561192,0.965197240063498,1.0,4,9,55
Left lobe of the liver,HR,ENSMUSG00000027323,Rad51,19361,3.07504222818271,-0.280448102022709,0.45055852452444,0.973089218820053,2,3,24
Liver,HR,ENSMUSG00000027323,Rad51,19361,3.81607209533218,-0.518967066382113,0.142279151519906,1.0,3,5,19
Lung,HR,ENSMUSG00000027323,Rad51,19361,5.04406938431392,-0.213640228703999,0.441078338059372,1.0,1,2,14
Mammary gland,HR,ENSMUSG00000027323,Rad51,19361,5.15654818933261,0.186075439113226,0.746576617371145,0.973610552062419,1,2,10
Optic nerve,HR,ENSMUSG00000027323,Rad51,19361,6.04044950294513,-0.0141716842840535,0.970708855942976,1.0,1,1,5
Quadriceps femoris,HR,ENSMUSG00000027323,Rad51,19361,5.59458524172185,0.0410319363409601,0.857794309082225,0.939779480087579,1,1,9
Retina,HR,ENSMUSG00000027323,Rad51,19361,6.61747882891874,0.0481266703466505,0.599289688434607,0.885679062469581,4,4,27
Soleus,HR,ENSMUSG00000027323,Rad51,19361,5.03224563367721,0.250665076413488,0.0688435889056502,0.183709433318653,3,3,18
Spleen,HR,ENSMUSG00000027323,Rad51,19361,6.79950726543789,0.528601579493276,0.0686333316586609,0.631602333909971,1,1,9
Spleen-distal,HR,ENSMUSG00000027323,Rad51,19361,4.48619314576714,0.403757848970688,0.369437618915692,0.987788783550291,1,1,10
Thymus,HR,ENSMUSG00000027323,Rad51,19361,6.5150834549711,-1.32672646068545,1.8607191277602602e-09,2.40009508491977e-07,3,4,23
Tibialis anterior,HR,ENSMUSG00000027323,Rad51,19361,4.59852280471279,-0.146303297890268,0.55214217378759,0.909646100539953,1,1,9
Adrenal gland,HR,ENSMUSG00000028702,Rad54l,19366,5.47719292102684,-0.442662253301854,0.0068800157914133,0.115162918751619,2,2,14
Bone marrow,HR,ENSMUSG00000028702,Rad54l,19366,8.98916236139463,-0.157165179154599,0.0738662774218712,0.253224214515097,1,1,6
Cecum,HR,ENSMUSG00000028702,Rad54l,19366,6.1909130001141,-0.21483890390331,0.34276968463094,1.0,1,1,5
Cerebellum,HR,ENSMUSG00000028702,Rad54l,19366,5.87092307527986,0.506528445142516,0.0431666410541864,0.34392095715232,1,1,9
Colon,HR,ENSMUSG00000028702,Rad54l,19366,7.51617886754073,0.0086600713399519,0.973718317383094,1.0,1,1,4
Dorsal skin,HR,ENSMUSG00000028702,Rad54l,19366,7.3124398310618,0.0319937225609263,0.876219787439282,1.0,2,5,30
Extensor digitorum longus,HR,ENSMUSG00000028702,Rad54l,19366,3.39274087103728,-0.256148420122413,0.362952904292556,0.674041076600456,2,2,15
Eye,HR,ENSMUSG00000028702,Rad54l,19366,6.24038079766248,0.0429259265772661,0.734271855535098,0.999687556394716,2,2,11
Femoral lateral skin,HR,ENSMUSG00000028702,Rad54l,19366,7.35212599277527,-0.116619812607445,0.617411904327678,0.970293140621489,1,1,9
Femoral skin,HR,ENSMUSG00000028702,Rad54l,19366,6.78864133430228,-0.505143153715229,0.129575971173024,1.0,1,1,2
Gastrocnemius,HR,ENSMUSG00000028702,Rad54l,19366,3.88636384171645,0.62998043036166,0.104528956115683,1.0,1,1,6
Heart,HR,ENSMUSG00000028702,Rad54l,19366,2.43401155972516,0.689512518085586,0.560429017370999,0.966459054137479,1,1,3
Heart / Heart right ventricle,HR,ENSMUSG00000028702,Rad54l,19366,3.19119323065548,-0.497609049700112,0.276901565789006,1.0,1,2,10
Kidney,HR,ENSMUSG00000028702,Rad54l,19366,5.1654712233643,-0.126590881843512,0.585328596617653,0.934111975131134,4,9,55
Left lobe of the liver,HR,ENSMUSG00000028702,Rad54l,19366,2.33885913026256,-0.569704966542158,0.112486609840259,0.552584156175285,2,3,24
Liver,HR,ENSMUSG00000028702,Rad54l,19366,3.33816499985608,-0.240232348756421,0.105810498007716,1.0,3,5,19
Lung,HR,ENSMUSG00000028702,Rad54l,19366,5.80060064159014,-0.177033933413547,0.364452732477528,1.0,1,2,14
Mammary gland,HR,ENSMUSG00000028702,Rad54l,19366,5.43654541118277,-0.0740632407695145,0.890938995441503,0.992890534679898,1,2,10
Optic nerve,HR,ENSMUSG00000028702,Rad54l,19366,5.92119604269581,0.0480171784387438,0.882284657536806,1.0,1,1,5
Quadriceps femoris,HR,ENSMUSG00000028702,Rad54l,19366,3.49967022972969,-0.208858281848815,0.506632108886614,0.742474432502931,1,1,9
Retina,HR,ENSMUSG00000028702,Rad54l,19366,4.09809282475595,-0.0218267122012075,0.559301617432105,0.869044452110313,4,4,27
Soleus,HR,ENSMUSG00000028702,Rad54l,19366,3.79812104106475,1.43913583112558,4.77106896497886e-05,0.0004856516407882,3,3,18
Spleen,HR,ENSMUSG00000028702,Rad54l,19366,7.48136372585624,0.433510103490393,0.120404981857358,0.758535803968375,1,1,9
Spleen-distal,HR,ENSMUSG00000028702,Rad54l,19366,4.64068892474203,0.06224741982291,0.880914599841639,1.0,1,1,10
Thymus,HR,ENSMUSG00000028702,Rad54l,19366,6.37567477141337,-1.52494860179975,9.664855575786311e-10,1.33477181232333e-07,3,4,23
Tibialis anterior,HR,ENSMUSG00000028702,Rad54l,19366,3.28542473382226,0.454872940786343,0.269126421402809,0.710487052955533,1,1,9
Adrenal gland,HR,ENSMUSG00000041238,Rbbp8,225182,10.7800096997875,0.0283217550991704,0.808179687234328,0.948322692518011,2,2,14
Bone marrow,HR,ENSMUSG00000041238,Rbbp8,225182,9.4578589049347,-0.143456865102496,0.217415259115221,0.483285714787281,1,1,6
Cecum,HR,ENSMUSG00000041238,Rbbp8,225182,8.00541044684096,0.0292649020332131,0.894054249375351,1.0,1,1,5
Cerebellum,HR,ENSMUSG00000041238,Rbbp8,225182,9.57091562395603,0.144202972720914,0.12393527553387,0.561855157388413,1,1,9
Colon,HR,ENSMUSG00000041238,Rbbp8,225182,9.31576095057903,-0.112743714601967,0.636889521852521,1.0,1,1,4
Dorsal skin,HR,ENSMUSG00000041238,Rbbp8,225182,10.9758731135567,-0.0679215022891221,0.872199357153455,1.0,2,5,30
Extensor digitorum longus,HR,ENSMUSG00000041238,Rbbp8,225182,7.37590337249384,0.074381144102837,0.858515591358414,0.952244794771414,2,2,15
Eye,HR,ENSMUSG00000041238,Rbbp8,225182,9.45235078734527,0.0464435703305025,0.681577320256012,0.999687556394716,2,2,11
Femoral lateral skin,HR,ENSMUSG00000041238,Rbbp8,225182,10.7910127425367,0.0788016522284187,0.331212585188188,0.917989116124345,1,1,9
Femoral skin,HR,ENSMUSG00000041238,Rbbp8,225182,10.837327952051,0.0048056386149438,0.983082497850289,1.0,1,1,2
Gastrocnemius,HR,ENSMUSG00000041238,Rbbp8,225182,6.3019369077318,0.90527395161162,0.573553636409405,1.0,1,2,10
Heart,HR,ENSMUSG00000041238,Rbbp8,225182,6.29223496318294,-0.290535689731884,0.317121346556697,0.920426825794022,1,1,3
Heart / Heart right ventricle,HR,ENSMUSG00000041238,Rbbp8,225182,8.04099445551056,0.0602329880503471,0.645256732964707,1.0,1,2,10
Kidney,HR,ENSMUSG00000041238,Rbbp8,225182,10.4874101930962,0.0834512494506213,0.42097382867267,0.859202593583616,4,9,55
Left lobe of the liver,HR,ENSMUSG00000041238,Rbbp8,225182,8.21433096986476,-0.142362494320137,0.245495865566848,0.791121866112681,2,3,24
Liver,HR,ENSMUSG00000041238,Rbbp8,225182,7.62328880513436,-0.134212179488903,0.629628664524744,1.0,3,5,19
Lung,HR,ENSMUSG00000041238,Rbbp8,225182,10.1960345303404,0.156511906080268,0.332615310882245,1.0,1,2,14
Mammary gland,HR,ENSMUSG00000041238,Rbbp8,225182,9.10393742543725,-0.278620954486235,0.138415956539445,0.606749126840509,1,2,10
Optic nerve,HR,ENSMUSG00000041238,Rbbp8,225182,8.79526006583278,0.650680912778796,0.0698029458867993,0.555327643931415,1,1,5
Quadriceps femoris,HR,ENSMUSG00000041238,Rbbp8,225182,7.5790515151985,0.0048552375256306,0.971015936820509,0.989648886996826,1,1,9
Retina,HR,ENSMUSG00000041238,Rbbp8,225182,7.2319375052722,0.0769895161424972,0.903767926043928,0.979250925003929,4,4,27
Soleus,HR,ENSMUSG00000041238,Rbbp8,225182,7.24106120255239,-0.0721507845470286,0.791003826379995,0.878428683455474,3,3,18
Spleen,HR,ENSMUSG00000041238,Rbbp8,225182,9.87510107993432,0.12978787814619,0.386703111056346,0.979668323792589,1,1,9
Spleen-distal,HR,ENSMUSG00000041238,Rbbp8,225182,7.52098378173599,-0.185831800072848,0.370399742571596,0.988095697166345,1,1,10
Thymus,HR,ENSMUSG00000041238,Rbbp8,225182,8.96589423042247,-0.244783587470316,0.0129695871364735,0.0791287956215631,3,4,23
Tibialis anterior,HR,ENSMUSG00000041238,Rbbp8,225182,7.11522911707297,-0.299921495769294,0.0812429001188796,0.396356966422412,1,1,9
Adrenal gland,HR,ENSMUSG00000038644,Pold1,18971,9.1476073847254,-0.14640574879801,0.22198566199515,0.625143380277787,2,2,14
Bone marrow,HR,ENSMUSG00000038644,Pold1,18971,10.0427831837137,-0.133175711713499,0.323604121967635,0.60469476891545,1,1,6
Cecum,HR,ENSMUSG00000038644,Pold1,18971,7.62168192809478,-1.1272719416034,0.0176460737366095,0.901858505178124,1,1,5
Cerebellum,HR,ENSMUSG00000038644,Pold1,18971,4.98256678407634,-0.238299890040177,0.513371102466264,0.891727881062168,1,1,9
Colon,HR,ENSMUSG00000038644,Pold1,18971,8.90897115208242,-0.127896932637565,0.598164638756776,1.0,1,1,4
Dorsal skin,HR,ENSMUSG00000038644,Pold1,18971,8.08663317993339,0.0462951074617048,0.34474826117154,1.0,2,5,30
Extensor digitorum longus,HR,ENSMUSG00000038644,Pold1,18971,7.20211606301428,-0.17461732494763,0.130356017388606,0.393981210790626,2,2,15
Eye,HR,ENSMUSG00000038644,Pold1,18971,9.47049979625504,-0.0599209977800465,0.560303894639454,0.999687556394716,2,2,11
Femoral lateral skin,HR,ENSMUSG00000038644,Pold1,18971,9.23257598379747,0.0073516528903028,0.943830233119429,0.994091156132559,1,1,9
Femoral skin,HR,ENSMUSG00000038644,Pold1,18971,9.09799273143722,-0.219027841809102,0.369208995480286,1.0,1,1,2
Gastrocnemius,HR,ENSMUSG00000038644,Pold1,18971,5.2138078272788,0.278777567740158,0.803405896693503,1.0,1,2,10
Heart,HR,ENSMUSG00000038644,Pold1,18971,6.73668964996442,-0.497937371728721,0.131898424635688,0.77723931414528,1,1,3
Heart / Heart right ventricle,HR,ENSMUSG00000038644,Pold1,18971,8.17754613998108,-0.0125350967180589,0.936109335002167,1.0,1,2,10
Kidney,HR,ENSMUSG00000038644,Pold1,18971,7.34939511200884,0.0289629062548865,0.960029207561724,1.0,4,9,55
Left lobe of the liver,HR,ENSMUSG00000038644,Pold1,18971,6.31593934486905,0.443827184497232,0.0602893287954479,0.39911734122639,2,3,24
Liver,HR,ENSMUSG00000038644,Pold1,18971,6.69831885663167,-0.0795396273844882,0.575225910729136,1.0,3,5,19
Lung,HR,ENSMUSG00000038644,Pold1,18971,9.03500848582705,-0.020038329191638,0.864438404969622,1.0,1,2,14
Mammary gland,HR,ENSMUSG00000038644,Pold1,18971,9.18946713979178,0.25929054445752,0.361395383917146,0.818747148505878,1,2,10
Optic nerve,HR,ENSMUSG00000038644,Pold1,18971,8.61361916991547,-0.409497715718084,0.0040989620198787,0.142795411486927,1,1,5
Quadriceps femoris,HR,ENSMUSG00000038644,Pold1,18971,5.94573520178807,-0.126860812263478,0.623599514414066,0.819803936926713,1,1,9
Retina,HR,ENSMUSG00000038644,Pold1,18971,8.56714359811455,-0.132413153629802,0.0665697074693311,0.41099097213575,4,4,27
Soleus,HR,ENSMUSG00000038644,Pold1,18971,6.92843696926313,0.044066053505659,0.631947891842376,0.771929457889357,3,3,18
Spleen,HR,ENSMUSG00000038644,Pold1,18971,10.0122175925448,-0.258629608087942,0.0859655781756463,0.681540296348185,1,1,9
Spleen-distal,HR,ENSMUSG00000038644,Pold1,18971,7.30362987811243,0.220484995414558,0.191921263014139,0.898929234900325,1,1,10
Thymus,HR,ENSMUSG00000038644,Pold1,18971,8.31022007120404,-1.06924712948457,1.02862087020718e-05,0.0003724329389357,3,4,23
Tibialis anterior,HR,ENSMUSG00000038644,Pold1,18971,7.54272430807305,-0.13837554577224,0.27707272953978,0.717956530591768,1,1,9
Adrenal gland,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,10.772710585682,0.0869908493756987,0.190295753539394,0.590578201239554,2,2,14
Bone marrow,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,8.70140127156357,-0.0749133233734271,0.539109101921563,0.77987956588218,1,1,6
Cecum,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,7.99676238774922,0.0248819563921305,0.892896882237881,1.0,1,1,5
Cerebellum,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.47455032767033,0.10485402892459,0.136037154093163,0.587607690668968,1,1,9
Colon,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.38702588374771,-0.0750169287758499,0.702167021629945,1.0,1,1,4
Dorsal skin,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.90330278522011,-0.0243783769184381,0.83674554201959,1.0,2,5,30
Extensor digitorum longus,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.85875647499464,-0.0566772449041466,0.751116591964137,0.906866737279527,2,2,15
Eye,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,10.4739473685474,0.0570375167607649,0.230837512338663,0.999687556394716,2,2,11
Femoral lateral skin,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.92967555173704,-0.0150693807920038,0.836742195520092,0.988827046748225,1,1,9
Femoral skin,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.88938525991041,0.139727245736221,0.548768353985843,1.0,1,1,2
Gastrocnemius,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,7.41367139210208,0.104733466538938,0.857169462851499,1.0,1,2,10
Heart,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,7.3818589363671,0.260736929181765,0.32395196920563,0.920426825794022,1,1,3
Heart / Heart right ventricle,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,8.88271590053067,0.042549945573199,0.799652888187917,1.0,1,2,10
Kidney,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.26923356294631,0.0694739305510763,0.0902836697477023,0.556730913741961,4,9,55
Left lobe of the liver,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,8.06294463587313,0.186342199482474,0.0676927350310593,0.426269579615293,2,3,24
Liver,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,7.79562317673061,0.10626897872437,0.903401144418824,1.0,3,5,19
Lung,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.7414976474616,0.0710413184926008,0.482306070715744,1.0,1,2,14
Mammary gland,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.74337579584689,-0.0378412759848452,0.783976451800491,0.979346957832106,1,2,10
Optic nerve,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.90276863462093,0.096835026005049,0.499784955226008,1.0,1,1,5
Quadriceps femoris,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.83765232370562,0.104666513177413,0.220148981367538,0.470901977609082,1,1,9
Retina,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.5336298458819,0.0237299730862968,0.578308184563601,0.876646234133553,4,4,27
Soleus,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,8.45775655968768,0.160746943249965,0.952173551302595,0.974537075065126,3,3,18
Spleen,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.54159040028935,0.0325342105200169,0.781155338275821,0.999085092509181,1,1,9
Spleen-distal,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,6.61919878014421,0.561654108567415,0.101069962305862,0.795326077483104,1,1,10
Thymus,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,8.45694724599987,-0.139091126203168,0.127963008354288,0.351557583388684,3,4,23
Tibialis anterior,HR_A-EJ,ENSMUSG00000031928,Mre11a,17535,9.41716184495706,-0.0267242010722655,0.853304260742175,0.996573008739498,1,1,9
Adrenal gland,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,11.2960168701071,0.0516229781485574,0.690415556998534,0.913196392382869,2,2,14
Bone marrow,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.88581304850396,-0.165486150661513,0.106129220901477,0.317247191090355,1,1,6
Cecum,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.75891181230223,-0.0605215729111107,0.802272610953088,1.0,1,1,5
Cerebellum,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.8124282812437,0.288916754466261,0.0076196218365843,0.127700704964901,1,1,9
Colon,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.0604369218793,-0.0667039422521553,0.730880645886884,1.0,1,1,4
Dorsal skin,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.4617533265974,-0.0966534731115595,0.284455789699059,1.0,2,5,30
Extensor digitorum longus,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.23089382129621,0.0322586975274085,0.786081998314151,0.922311369839159,2,2,15
Eye,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.5592804933848,-0.0363768166835565,0.854226549730596,0.999687556394716,2,2,11
Femoral lateral skin,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.4606656749606,-0.0340734170347299,0.518383719328729,0.959297143906412,1,1,9
Femoral skin,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.1911460228863,0.0385856235255042,0.742653886388774,1.0,1,1,2
Gastrocnemius,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,7.20392305080367,-0.256629558313646,0.89478520736471,1.0,1,2,10
Heart,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,7.67343381773709,0.302268904300443,0.176702094733275,0.838179490413955,1,1,3
Heart / Heart right ventricle,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.08523264292053,0.103116440875,0.470157154343711,1.0,1,2,10
Kidney,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.67501051043966,0.16682636535472,0.012186978516952,0.249857253825996,4,9,55
Left lobe of the liver,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.87962653683486,0.347659204210792,0.0010926582728466,0.0366235638952339,2,3,24
Liver,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.22354396898543,0.0019085859621645,0.953560581954522,1.0,3,5,19
Lung,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.9206832364294,0.022822832304502,0.991494440362214,1.0,1,2,14
Mammary gland,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,10.598783406142,-0.260675020310461,0.0105068900375719,0.284363851001575,1,2,10
Optic nerve,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.45027546598522,0.450978661967641,0.0879783132266586,0.611016875119486,1,1,5
Quadriceps femoris,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.95142098951571,0.300512120528546,0.0004551523553895,0.0053016700416659,1,1,9
Retina,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.35192172380284,-0.0462703242481564,0.712303449250909,0.926316618706851,4,4,27
Soleus,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.43001361529039,0.131621563870097,0.463669292811745,0.640372040426874,3,3,18
Spleen,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.86337899145232,0.214682292249077,0.0172692821655966,0.344249241004795,1,1,9
Spleen-distal,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.43369943963698,0.0279247776158344,0.862468538576572,1.0,1,1,10
Thymus,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,9.12507206768087,-0.130177934485779,0.751261468440946,0.899946624587954,3,4,23
Tibialis anterior,HR_A-EJ,ENSMUSG00000020380,Rad50,19360,8.64256399349846,0.239339875192038,0.266662734352148,0.708149904914519,1,1,9
Adrenal gland,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.9071463580624,-0.0236480486977932,0.613605487991137,0.884715449427787,2,2,14
Bone marrow,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,8.34474832168056,0.150047795953546,0.161179759136566,0.4076928665986,1,1,6
Cecum,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,7.60279483230394,0.0314669205512994,0.8772898752278,1.0,1,1,5
Cerebellum,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.6861708273821,0.0029742504869141,0.971421752131395,0.998877261287264,1,1,9
Colon,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.11557686347198,0.0554944662809896,0.751019455759295,1.0,1,1,4
Dorsal skin,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.84331014296638,-0.0909714605632219,0.112640820800585,1.0,2,5,30
Extensor digitorum longus,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.2848687487837,0.020030732603092,0.533110412077573,0.791148346355641,2,2,15
Eye,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.3645474386016,0.0881016363654493,0.468031753231262,0.999687556394716,2,2,11
Femoral lateral skin,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.83597559359044,0.0920753900211001,0.191464849311613,0.8670439986562,1,1,9
Femoral skin,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.44200116406349,-0.0130784794449331,0.927173987492487,1.0,1,1,2
Gastrocnemius,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,8.59573907028501,0.322322796936727,0.117027583483767,1.0,1,2,10
Heart,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,8.76338826725703,0.112250085860849,0.488450370889348,0.955573514221196,1,1,3
Heart / Heart right ventricle,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.80536612811068,0.024571988289528,0.827165015857636,1.0,1,2,10
Kidney,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.2208762101379,0.0807821119847717,0.125220900181495,0.612710546608338,4,9,55
Left lobe of the liver,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.29645437785893,-0.126294955377751,0.0812766153571453,0.469789181970936,2,3,24
Liver,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.03024192323207,0.0018441209769816,0.703499829432908,1.0,3,5,19
Lung,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.92286506571191,-0.0270397659429809,0.77945922454417,1.0,1,2,14
Mammary gland,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.064791246853,0.11306228308934,0.367267883940849,0.822967979722106,1,2,10
Optic nerve,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.83355164585916,0.220891165494923,0.27772510495983,0.898558268512957,1,1,5
Quadriceps femoris,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,10.2679860027839,-0.0880522796388501,0.263332335076011,0.523714287571809,1,1,9
Retina,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,8.91233261719449,-0.0469639776592583,0.117177527488889,0.51147260054538,4,4,27
Soleus,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.3376057070936,0.0680330822361649,0.233362356565732,0.415684831219195,3,3,18
Spleen,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,8.38157922694988,-0.0855569621266508,0.531141084719738,0.999085092509181,1,1,9
Spleen-distal,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,6.65820886529017,-0.075814764968641,0.666763006404036,0.997961498241018,1,1,10
