Tissue,GO_ID,GO_Term_Name,n_missions,n_analysis_units,Mean_Mission_NES,Median_Mission_NES,n_positive_missions,n_negative_missions,Signflip_P_value,Signflip_FDR,Stouffer_Meta_Z,Stouffer_P_value,Stouffer_FDR
Quadriceps femoris,GO:0006974,DNA damage response,1,1,1.52468463744304,1.52468463744304,1,0,1.0,1,5.19985484252323,1.99444223965187e-07,9.25991039838367e-07
Tibialis anterior,GO:0006974,DNA damage response,1,1,1.50931996857433,1.50931996857433,1,0,1.0,1,4.82269207459129,1.41633532874942e-06,5.93947073346531e-06
Optic nerve,GO:0006974,DNA damage response,1,1,1.50286815241866,1.50286815241866,1,0,1.0,1,5.12316107133158,3.00455474437923e-07,1.34686936817e-06
Spleen,GO:0006974,DNA damage response,1,1,1.27792868534236,1.27792868534236,1,0,1.0,1,2.90307652727422,0.0036951633050816,0.0096074245932123
Femoral lateral skin,GO:0006974,DNA damage response,1,1,1.2341511681674,1.2341511681674,1,0,1.0,1,2.78845773560015,0.005295965717135,0.0131555836285521
Left lobe of the liver,GO:0006974,DNA damage response,2,3,1.19478897942653,1.19478897942653,2,0,0.5,1,3.62890398957394,0.0002846270644859,0.0008672230871057
Colon,GO:0006974,DNA damage response,1,1,1.05535514408818,1.05535514408818,1,0,1.0,1,1.39812888366542,0.162074367684766,0.259053292610897
Cerebellum,GO:0006974,DNA damage response,1,1,1.05300323649771,1.05300323649771,1,0,1.0,1,1.15967791288282,0.246179966044141,0.349127951844418
Heart,GO:0006974,DNA damage response,1,1,1.05087532611825,1.05087532611825,1,0,1.0,1,1.32441319821694,0.185365853658537,0.285741829750314
Kidney,GO:0006974,DNA damage response,4,9,1.01418434875789,0.635573820912754,2,2,0.5,1,4.17787621360213,2.94243711193058e-05,0.000107247707818
Eye,GO:0006974,DNA damage response,2,2,1.00632962062026,1.00632962062026,2,0,0.5,1,1.09225960860562,0.274719008622111,0.385397170369148
Dorsal skin,GO:0006974,DNA damage response,2,5,0.323213325298398,0.323213325298398,1,1,1.0,1,0.0,1.0,1.0
Extensor digitorum longus,GO:0006974,DNA damage response,2,2,0.148547977970375,0.148547977970375,1,1,1.0,1,1.65179427669378,0.098576495823772,0.169360499432912
Adrenal gland,GO:0006974,DNA damage response,2,2,0.063175772782957,0.063175772782957,1,1,1.0,1,0.704808223898666,0.480929589975581,0.596053024658704
Gastrocnemius,GO:0006974,DNA damage response,1,2,0.0343895953048585,0.0343895953048585,1,0,1.0,1,0.211790640150084,0.832270370966769,0.889275190896
Mammary gland,GO:0006974,DNA damage response,1,2,0.01057695668675,0.01057695668675,1,0,1.0,1,0.07664611393177,0.938905073211645,0.966155616233619
Soleus,GO:0006974,DNA damage response,3,3,-0.283721955003227,-1.23238039853571,1,2,1.0,1,-0.605708059327152,0.544708631331847,0.651645295151597
Liver,GO:0006974,DNA damage response,3,5,-0.388418063722376,-0.95167797139243,1,2,0.5,1,-0.847845734328969,0.396523889157594,0.512570546539457
Lung,GO:0006974,DNA damage response,1,2,-1.04736526805708,-1.04736526805708,0,1,1.0,1,-1.5456820407124,0.122181376663778,0.204509600424349
Heart / Heart right ventricle,GO:0006974,DNA damage response,1,2,-1.138316353478,-1.138316353478,0,1,1.0,1,-1.89598823365471,0.0579616004276429,0.10867800080183
Retina,GO:0006974,DNA damage response,4,4,-1.25029549364973,-1.2085091664436,0,4,0.125,1,-6.24762254531414,4.1674728892767005e-10,2.66444988002936e-09
Spleen-distal,GO:0006974,DNA damage response,1,1,-1.3077320845389,-1.3077320845389,0,1,1.0,1,-3.32198146007816,0.0008938063258661,0.002472230263034
Bone marrow,GO:0006974,DNA damage response,1,1,-1.61555143448735,-1.61555143448735,0,1,1.0,1,-6.19809935654697,5.714906244937401e-10,3.4825209930087303e-09
Femoral skin,GO:0006974,DNA damage response,1,1,-1.66706334129073,-1.66706334129073,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Cecum,GO:0006974,DNA damage response,1,1,-1.88893558660283,-1.88893558660283,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Thymus,GO:0006974,DNA damage response,3,4,-3.19203204186468,-2.31420696655837,0,3,0.25,1,-11.2010878531634,4.02757077303295e-29,3.92688150370713e-27
Tibialis anterior,GO:0006281,DNA repair,1,1,1.69065853199874,1.69065853199874,1,0,1.0,1,5.53902306165932,3.04163593380434e-08,1.54056884958921e-07
Quadriceps femoris,GO:0006281,DNA repair,1,1,1.68136885919803,1.68136885919803,1,0,1.0,1,5.50359869124511,3.72116064996019e-08,1.8370286752968e-07
Optic nerve,GO:0006281,DNA repair,1,1,1.39542536392365,1.39542536392365,1,0,1.0,1,3.50991426120613,0.0004482512070292,0.0013046117219506
Left lobe of the liver,GO:0006281,DNA repair,2,3,1.36287904977812,1.36287904977812,2,0,0.5,1,4.84433984658412,1.27033336318055e-06,5.38510882217841e-06
Spleen,GO:0006281,DNA repair,1,1,1.26047590746042,1.26047590746042,1,0,1.0,1,2.30904295386533,0.0209411978017468,0.0436741558432152
Femoral lateral skin,GO:0006281,DNA repair,1,1,1.22680261121015,1.22680261121015,1,0,1.0,1,2.49067858568183,0.0127499402186863,0.028909748170277
Cerebellum,GO:0006281,DNA repair,1,1,1.15106363136075,1.15106363136075,1,0,1.0,1,1.67211464035545,0.0945017182130591,0.164534241531665
Eye,GO:0006281,DNA repair,2,2,1.13880926062977,1.13880926062977,2,0,0.5,1,2.43207058778996,0.0150127812217254,0.0330489823511378
Heart,GO:0006281,DNA repair,1,1,0.944122641290366,0.944122641290366,1,0,1.0,1,0.356623014550056,0.721374045801527,0.808436430639642
Colon,GO:0006281,DNA repair,1,1,0.928168231693444,0.928168231693444,1,0,1.0,1,0.269335868086709,0.787671232876712,0.858077600061223
Lung,GO:0006281,DNA repair,1,2,0.915122193694095,0.915122193694095,1,0,1.0,1,0.306593985853145,0.759152431915891,0.838723649992061
Kidney,GO:0006281,DNA repair,4,9,0.853771958206182,0.601549988094911,2,2,0.5,1,3.91443787172619,9.06150652508093e-05,0.0003020502175026
Dorsal skin,GO:0006281,DNA repair,2,5,0.334420733854862,0.334420733854862,1,1,1.0,1,0.0,1.0,1.0
Adrenal gland,GO:0006281,DNA repair,2,2,0.176757754122248,0.176757754122248,1,1,1.0,1,1.40784111459492,0.159178122856206,0.255471061374158
Extensor digitorum longus,GO:0006281,DNA repair,2,2,0.133235643772165,0.133235643772165,1,1,1.0,1,1.07214321572773,0.283655710767392,0.391466445733223
Mammary gland,GO:0006281,DNA repair,1,2,-0.0498381116046056,-0.0498381116046056,0,1,1.0,1,-0.264279947637646,0.791564210617986,0.859916551924832
Soleus,GO:0006281,DNA repair,3,3,-0.21895980945339,-1.11798924146193,1,2,1.0,1,0.542975541703427,0.587146642488252,0.693900577486116
Liver,GO:0006281,DNA repair,3,5,-0.299991405681563,-0.84604423004208,1,2,0.75,1,-0.203575996695544,0.838684852189342,0.893680580201758
Retina,GO:0006281,DNA repair,4,4,-0.798375888450225,-1.27246858133431,1,3,0.25,1,-5.33098738955359,9.76802024645534e-08,4.76190987014698e-07
Gastrocnemius,GO:0006281,DNA repair,1,2,-1.06730730547907,-1.06730730547907,0,1,1.0,1,-1.2054701860279,0.228021840805048,0.33183282932567
Heart / Heart right ventricle,GO:0006281,DNA repair,1,2,-1.29559220534526,-1.29559220534526,0,1,1.0,1,-2.72118233721277,0.0065048870656169,0.0159553833684943
Spleen-distal,GO:0006281,DNA repair,1,1,-1.3610227389438,-1.3610227389438,0,1,1.0,1,-3.32907095694127,0.0008713620168959,0.0024273656184959
Bone marrow,GO:0006281,DNA repair,1,1,-1.61632728279395,-1.61632728279395,0,1,1.0,1,-5.18946725938056,2.10896579966067e-07,9.67643131609015e-07
Femoral skin,GO:0006281,DNA repair,1,1,-1.90802614971101,-1.90802614971101,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Cecum,GO:0006281,DNA repair,1,1,-1.9877901386318,-1.9877901386318,0,1,1.0,1,-6.46695108724052,9.999999999999769e-11,7.35849056603757e-10
Thymus,GO:0006281,DNA repair,3,4,-2.93589724463779,-2.62847443138996,0,3,0.25,1,-11.2010878531634,4.02757077303295e-29,3.92688150370713e-27
Spleen,GO:0042770,Signal transduction in response to DNA damage,1,1,1.59770727276811,1.59770727276811,1,0,1.0,1,3.51307331562969,0.000442955232154,0.0012988912822561
