Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Bone marrow,NER,ENSMUSG00000021694,Ercc8,71991,0.0923447841469411,0.482454024192861,0.740256162032325,1,1,6
Bone marrow,NER,ENSMUSG00000054051,Ercc6,319955,-0.447987834066571,0.0034479080272631,0.0291138259383902,1,1,6
Bone marrow,NER,ENSMUSG00000024740,Ddb1,13194,-0.103114586535053,0.336704671506778,0.618079116433283,1,1,6
Bone marrow,NER,ENSMUSG00000002109,Ddb2,107986,0.130245928172308,0.32034539777661,0.601797342828907,1,1,6
Bone marrow,NER,ENSMUSG00000024382,Ercc3,13872,0.0711331632124599,0.535926236875875,0.778050687712478,1,1,6
Bone marrow,NER,ENSMUSG00000030400,Ercc2,13871,-0.222931162992865,0.263255074864521,0.539418505225262,1,1,6
Bone marrow,NER,ENSMUSG00000034345,Gtf2h5,66467,0.266334684269402,0.04298239256211,0.176936327462218,1,1,6
Bone marrow,NER,ENSMUSG00000029387,Gtf2h3,209357,-0.13395974833996,0.28298068206656,0.562668891145631,1,1,6
Bone marrow,NER,ENSMUSG00000021639,Gtf2h2,23894,-0.146648141062168,0.27604192515822,0.554692530458838,1,1,6
Bone marrow,NER,ENSMUSG00000001524,Gtf2h4,14885,0.158604062557255,0.328221328088546,0.609246041438575,1,1,6
Bone marrow,NER,ENSMUSG00000006599,Gtf2h1,14884,0.2421897473748,0.0175701457410349,0.0956397284216067,1,1,6
Bone marrow,NER,ENSMUSG00000003549,Ercc1,13870,0.317398411902768,0.0495469317498366,0.194384912981199,1,1,6
Bone marrow,NER,ENSMUSG00000022545,Ercc4,50505,-0.0145391433467426,0.910945401785888,0.972092861054663,1,1,6
Bone marrow,NER,ENSMUSG00000026048,Ercc5,22592,-0.103918532180957,0.450615205462532,0.715014426627771,1,1,6
Bone marrow,MMR,ENSMUSG00000032498,Mlh1,17350,-0.117726132150294,0.431593452750589,0.699229062699265,1,1,6
Bone marrow,MMR,ENSMUSG00000024151,Msh2,17685,-0.0465036729963348,0.621154146462454,0.833739520191677,1,1,6
Bone marrow,MMR,ENSMUSG00000014850,Msh3,17686,-0.249464927537234,0.0268910408670386,0.128506852223536,1,1,6
Bone marrow,MMR,ENSMUSG00000005370,Msh6,17688,-0.255991699949609,0.0262652063926886,0.12641303623215,1,1,6
Bone marrow,MMR,ENSMUSG00000079109,Pms2,18861,-0.183586449633608,0.118064911418517,0.338045320265571,1,1,6
