ensembl_id,gene_symbol,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,common_direction,log2fc__Heart / Heart right ventricle,wald_z__Heart / Heart right ventricle,sample_fdr__Heart / Heart right ventricle,log2fc__Retina,wald_z__Retina,sample_fdr__Retina,log2fc__Spleen-distal,wald_z__Spleen-distal,sample_fdr__Spleen-distal,log2fc__Bone marrow,wald_z__Bone marrow,sample_fdr__Bone marrow,log2fc__Femoral skin,wald_z__Femoral skin,sample_fdr__Femoral skin,log2fc__Cecum,wald_z__Cecum,sample_fdr__Cecum,mean_log2fc,min_abs_log2fc,final_integrated_z,final_integrated_p,final_fdr,pooled_rank
ENSMUSG00000020122,EGFR,True,True,common_up,0.296465510749165,1.212710813414473,0.952336222778813,0.1556351135870777,1.548829041055613,0.7685664021993422,1.44123890965532,2.76829306021043,0.201103876496319,0.240623936092001,0.59307611944105,0.72643505065987,0.0848510512031511,0.457052869571834,0.998268540711167,0.406089555978535,2.20305010351611,0.939613705906446,0.4374840128775416,0.0848510512031511,3.585649637066864,0.000336240135773,0.0261132562332477,3
ENSMUSG00000057329,BCL2,True,False,common_up,0.198312313904189,1.1654638242889952,0.9436471423739056,0.0725134422772977,0.7532511942855246,0.8773380965162862,0.0474374977490866,0.469239913929535,0.931056566452047,0.300931388036807,2.32215548381812,0.0809360894854924,0.556506724869205,2.19853217263232,0.824214688439958,0.24166731436773,0.52682457400875,1.0,0.2362281135340525,0.0474374977490866,3.0355167580799347,0.0024012387899081,0.0741715981771617,5
ENSMUSG00000030717,NUPR1,True,False,common_up,0.34077593481911,1.501806525857455,0.9406383891189476,0.2435126777436003,0.387797830464948,0.8572744799597226,0.557965879405901,3.68493967912814,0.0379360267853972,0.29189964709519,1.16380376968646,0.439731287300157,0.0449101466887062,0.185034118516772,0.999449964473522,1.84876138635485,3.51588305324233,0.385359640595485,0.554637612017893,0.0449101466887062,4.261812080517114,2.027759272859688e-05,0.0056371707785499,6
ENSMUSG00000046295,ANKLE1,True,True,common_down,-1.1160771966599117,-1.2688187595994525,0.943665443708608,-0.8115979647234187,-1.747063105655132,0.9223207149653374,-1.26571247398081,-1.4362112640878,,-0.603040430715675,-3.42367047223099,0.0059574214727626,-0.927450743103873,-1.52715277335225,0.963227883430885,-0.830801594320564,-1.99757415368284,0.974796649524746,-0.9257800672507086,0.603040430715675,-4.654230768753869,3.251924366928008e-06,0.0027121049220179,1
ENSMUSG00000048668,RHNO1,True,True,common_down,-0.180563406981053,-1.2805439062291235,0.9399342143721564,-0.158159422876973,-2.006099960194055,0.6068559104723132,-0.192438690801847,-0.834823775778827,0.863318990502252,-0.388260512026814,-4.06318034619644,0.0008052104745715,-0.293411404139587,-1.52959174324686,0.96259206462852,-0.201369302592322,-1.06455891434731,1.0,-0.235700456569766,0.158159422876973,-4.400426120480687,1.0803850735581014e-05,0.0045052057567372,2
ENSMUSG00000027326,KNL1,True,False,common_down,-0.8554730498923907,-1.4913027479529024,0.777989632065352,-0.0509189150263004,0.2425091050669465,0.8214595083513802,-0.789531989427776,-3.26815048349814,0.0963609039131702,-0.291107488596147,-2.16600832443115,0.107566947539228,-0.842812080286135,-1.71265392761574,0.91007267310573,-0.128040592539835,-0.37203131552153,1.0,-0.4929806859614307,0.0509189150263004,-3.579373099962641,0.0003444194467214,0.0261132562332477,4
ENSMUSG00000051768,XRCC1,True,True,common_down,-0.0162423445261336,-0.149014941616056,0.9834233510407996,-0.0359455877031723,-0.9370849253805278,0.741506923781034,-0.0550603607256773,-0.215186905315748,0.971858282206654,-0.347262393983749,-3.45300191175025,0.0054596403476994,-0.0297120577004343,-0.143507341648218,0.999449964473522,-0.531483127284194,-2.18197248366499,0.949124716452214,-0.1692843119872267,0.0162423445261336,-2.8903033908325577,0.0038487019139622,0.0944063940071927,7
ENSMUSG00000010067,RASSF1,True,False,common_down,-0.0053597300703079,-0.0517536767670819,0.9657646325470284,-0.0322942935732188,-0.5629668071259974,0.8712761847575096,-0.19246424955173,-1.26489903784095,0.73902059448407,-0.27799994924745,-2.91752755571717,0.0223000036231846,-0.0484944791504532,-0.503158344758149,0.998268540711167,-0.361630986558629,-2.26133997680034,0.930959704913944,-0.1530406146919648,0.0053597300703079,-3.087028807239641,0.0020216800362257,0.0701489158968708,8
ENSMUSG00000032815,FANCA,True,True,common_down,-0.4078299020717505,-1.624610615817625,0.938071578914038,-0.0022635917236585,-0.389511108772037,0.7401934134936294,-0.425949461802787,-1.34532021289078,0.708125054143139,-0.235571312424324,-2.30486165645444,0.0837577320722587,-0.659260108188728,-1.47576017146867,0.975754142906593,-0.38214353354195,-0.967974993800397,1.0,-0.352169651625533,0.0022635917236585,-3.3100929624597533,0.0009326499032614,0.0464465454929629,9
ENSMUSG00000025507,PIDD1,True,False,common_down,-0.2030531600953173,-0.531466214336776,0.977365272304254,-0.0017681213740593,-0.1743281516904629,0.8339841770080986,-0.223186698029624,-0.337471816689031,,-0.531450046234206,-3.40322381657848,0.0063219510262228,-0.342836649172979,-0.86565027895487,0.998268540711167,-0.70936085016842,-2.15287847489115,0.949124716452214,-0.3352759208457676,0.0017681213740593,-3.047581144250398,0.0023069123270919,0.0739986492613352,10
