ensembl_id,gene_symbol,in_DNA_damage_response_GO0006974,in_DNA_repair_GO0006281,common_direction,log2fc__OSD-163,wald_z__OSD-163,sample_fdr__OSD-163,log2fc__OSD-253,wald_z__OSD-253,sample_fdr__OSD-253,log2fc__OSD-462,wald_z__OSD-462,sample_fdr__OSD-462,log2fc__OSD-513,wald_z__OSD-513,sample_fdr__OSD-513,log2fc__OSD-771,wald_z__OSD-771,sample_fdr__OSD-771,mean_log2fc,min_abs_log2fc,final_integrated_z,final_integrated_p,final_fdr,pooled_rank
ENSMUSG00000035799,TWIST1,True,True,common_up,0.319415157510857,1.41100561497688,0.614519015901109,0.7540430071622389,2.0591808463663424,0.222625688127092,0.229340886628694,1.43509496632465,,0.50068269803768,1.6344725386641,0.277316894189688,0.4133888829484855,1.332119063190282,0.929163700061603,0.4433741264575911,0.229340886628694,3.5204086408517936,0.0004308824005451,0.0308139118651415,1
ENSMUSG00000020423,BTG2,True,False,common_up,0.297115448661694,1.11629612964783,0.682144560625231,0.2193168419866481,0.7493854495380903,0.8143992022633695,0.301861071041625,2.76977559912531,0.226414056664456,0.183478825003926,0.871243045097977,0.614817328593666,0.258644626008191,1.53850671136598,1.0,0.2520833625404168,0.183478825003926,3.150712324342049,0.0016287282522245,0.0492334546673691,2
ENSMUSG00000038007,ACER2,True,False,common_up,0.165988528024768,0.749646732797801,0.79143879680328,0.6152817928759458,3.04759636552399,0.0426146151892498,0.223958994890942,1.40508609242283,0.557579983068469,0.206206388113129,1.27796409986424,0.419455151921995,0.4696706027326675,2.507027426483035,1.0,0.3362212613274905,0.165988528024768,4.019252011801926,5.838319675468687e-05,0.0063491726470721,3
ENSMUSG00000028599,TNFRSF1B,True,False,common_up,0.130872931687517,0.947058126235463,0.731814403735258,0.4017479220617705,1.109199164680985,0.4226831492976465,0.381962100130112,1.69477002175232,0.47365640892838,0.456176281843644,2.03527589094626,0.152973281538288,0.3134583990758884,1.555290507957146,1.0,0.3368435269597863,0.130872931687517,3.2832605204520724,0.0010261378803714,0.0384097812885884,4
ENSMUSG00000054580,PLA2R1,True,False,common_up,0.127363637498899,1.49699705401824,0.599283659441385,0.6045835387089306,3.58251856913658,0.0170130954017941,0.147168510384643,1.22044142345657,0.619664598929509,0.676643157894152,2.98511307749963,0.0234021401689754,0.274274752772629,1.0379799596011816,1.0,0.3660067194518507,0.127363637498899,4.616608344463074,3.900624213637912e-06,0.0008483857664662,5
ENSMUSG00000041417,PIK3R1,True,False,common_up,0.103001090496107,1.03962664998741,0.705072928350024,0.5171518552291385,2.6420829418457226,0.0351437529776552,0.155516387459764,1.31193257454012,0.590788634266871,0.600598328273937,4.34657149276581,0.0004475018037557,0.2119606043708555,2.000222058005105,1.0,0.3176456531659604,0.103001090496107,5.071597031600188,3.944910346248843e-07,0.0003432072001236,6
ENSMUSG00000026222,SP100,True,False,common_up,0.0714442918310242,0.623128512469286,0.831046050824312,0.5039804748545406,2.0338291521090675,0.1634273580603435,0.322744753967866,2.0965528907431,0.367840619337899,0.396785086718491,1.82478486980575,0.212674197023064,0.217378442322342,1.027160076034715,1.0,0.3024666099388527,0.0714442918310242,3.401263100089556,0.0006707523744284,0.0308139118651415,9
ENSMUSG00000037419,ENDOD1,True,True,common_up,0.0517435903749794,0.287565044643681,0.93124238887376,0.7551795776085004,3.9647077987486927,0.0153516007481819,0.196706850412357,1.48333108551248,0.535325528631758,0.283787395216721,2.62973094638447,0.0514745895920126,0.15865972906029,1.11861656730948,1.0,0.2892154285345695,0.0517435903749794,4.241352024191624,2.2217734958221745e-05,0.0027613470590932,10
ENSMUSG00000026434,NUCKS1,True,True,common_up,0.0265455769269371,0.351381731421502,0.911921002587983,0.6075309127731757,1.6549228931231974,0.3149049657635505,0.110554762089517,2.23008265957797,0.328744690444011,0.18015262520513,1.55788340419486,0.306269420154899,0.1547569471404895,1.52708436059598,1.0,0.2159081648270498,0.0265455769269371,3.2742095153563806,0.0010595801734783,0.0384097812885884,11
ENSMUSG00000026278,BOK,True,False,common_up,0.0184736435665621,0.107318516664016,0.97693550610117,0.563051623322141,1.0676412584448007,0.5077876541132845,0.364842004483395,2.58069853181724,0.252090822692443,0.634874083436464,3.85392465413995,0.0021850718149986,0.0166934063867649,0.076196611536144,1.0,0.3195869522390654,0.0166934063867649,3.437185116883538,0.0005877937254395,0.0308139118651415,12
ENSMUSG00000051355,COMMD1,True,True,common_down,-0.143908492219598,-0.893864352205684,0.74672558070027,-0.6136894779088388,-4.802930181604597,7.792403579132507e-05,-0.0846489694281712,-0.877783431888826,0.732966052818468,-0.171479638227378,-1.46632593597514,0.341736678641392,-0.0878127926803856,-0.650055520510582,1.0,-0.2203078740928744,0.0846489694281712,-3.886715211539514,0.0001016098441161,0.0098222849312282,7
ENSMUSG00000021258,CCNK,True,False,common_down,-0.179837255579151,-2.4371509243116,0.442537551467223,-0.0756221315482035,-0.3850385698213866,0.8296893803395065,-0.104142644142773,-0.975508360236782,0.702915723150909,-0.42655733805484,-4.22909765076319,0.0006639024819056,-0.207044782283652,-1.7234960624338949,1.0,-0.1986408303217239,0.0756221315482035,-4.360462949104494,1.297875578602519e-05,0.0022214485577341,8
