Group,TissueLabel,TissueOrder,Pathway,PathwayDisplay,PathwayOrder,ComponentOrder,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,LookupMouseSymbol,OfficialMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,log2FoldChange,tissue_meta_p,padj,P_lt_0_05,Log2FCDisplayed,Log2FCLabel,n_missions,n_analysis_units,expression_n_missions,expression_n_analysis_units,expression_n_flight_samples
Adrenal gland,"Adrenal gland
肾上腺",1,BER,BER,5,30,1,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,-0.172315384009256,0.164933251929056,0.555985451852688,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,BER,BER,5,31,2,OGG1,reviewed teacher label/alias -> official mouse symbol,Ogg1,Ogg1,Ogg1,ENSMUSG00000030271,MGI:1097693,18294,0.148155265909532,0.0647742067179624,0.373918161945755,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,BER,BER,5,32,3,NEIL1,reviewed teacher label/alias -> official mouse symbol,Neil1,Neil1,Neil1,ENSMUSG00000032298,MGI:1920024,72774,0.0330202365540929,0.534626107734563,0.847675892811977,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,BER,BER,5,34,5,APE1,reviewed teacher label/alias -> official mouse symbol,Apex1,Apex1,Apex1,ENSMUSG00000035960,MGI:88042,11792,0.0119767682453406,0.842874240996168,0.959579094049159,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,BER,BER,5,35,6,PNKP,reviewed teacher label/alias -> official mouse symbol,Pnkp,Pnkp,Pnkp,ENSMUSG00000002963,MGI:1891698,59047,0.142755833491284,0.0499850121780141,0.32914860862932,TRUE,0.142755833491284,+0.14,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,BER,BER,5,36,7,FEN1,reviewed teacher label/alias -> official mouse symbol,Fen1,Fen1,Fen1,ENSMUSG00000024742,MGI:102779,14156,0.181298095573739,0.0246108312927543,0.230161333989489,TRUE,0.181298095573739,+0.18,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,37,1,XPA,reviewed teacher label/alias -> official mouse symbol,Xpa,Xpa,Xpa,ENSMUSG00000028329,MGI:99135,22590,0.33542559056629,0.00182244001152172,0.0546252918279986,TRUE,0.33542559056629,+0.34,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,38,2,XPC,reviewed teacher label/alias -> official mouse symbol,Xpc,Xpc,Xpc,ENSMUSG00000030094,MGI:103557,22591,-0.0503084054139816,0.357841126927579,0.74424370147133,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,39,3,RAD23B,reviewed teacher label/alias -> official mouse symbol,Rad23b,Rad23b,Rad23b,ENSMUSG00000028426,MGI:105128,19359,-0.0020922994041738,0.974172202217409,0.994375709270646,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,40,4,CETN2,reviewed teacher label/alias -> official mouse symbol,Cetn2,Cetn2,Cetn2,ENSMUSG00000031347,MGI:1347085,26370,-0.125798684514484,0.00044990645076819,0.0238375155746231,TRUE,-0.125798684514484,-0.13,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,41,5,CSA,reviewed teacher label/alias -> official mouse symbol,Ercc8,Ercc8,Ercc8,ENSMUSG00000021694,MGI:1919241,71991,-0.0468189915577406,0.572895267130707,0.865048182517258,FALSE,,"",2,2,2,2,14
