Pathway,Df_group,Df_residual,F_value,P_value,Significance
NER,25,334,137.421267970317,2.35936956817322e-159,***
MMR,25,334,50.4563319486393,1.067613783909e-97,***
BER,25,334,38.1045173987014,2.01781530526155e-82,***
FA,25,327,37.2001096987889,2.50444015107174e-80,***
HR,25,330,43.7135010513725,3.34993720675223e-89,***
NHEJ,25,334,82.7500149906924,5.65246645641699e-127,***
A-EJ,25,334,41.2985048230582,1.09226592487588e-86,***
