set_name,matrix_column,n_genes
Cecum,set_01_Cecum,883
Femoral skin,set_02_Femoral_skin,877
Bone marrow,set_03_Bone_marrow,865
Spleen-distal,set_04_Spleen_distal,858
Retina,set_05_Retina,882
Heart / Heart right ventricle,set_06_Heart_Heart_right_ventricle,879
