position,column_id,display_label
1,OSD289_MHU1_thymus,OSD-289 MHU-1 / Flight-Ground
2,OSD289_MHU2_thymus,OSD-289 MHU-2 / Flight-Ground (vivarium)
3,OSD421_thymus,OSD-421 / Flight-Ground
4,OSD515_thymus,OSD-515 / Flight-Ground
