figure,component_n,merge_index,left_child,right_child,height,ordered_tissues
DSB,29,1,-2,-12,0.0157635467980297,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,2,-9,-23,0.0187192118226603,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,3,-1,1,0.0214285714285716,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,4,-13,-15,0.0290640394088673,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,5,-6,-17,0.0305418719211824,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,6,-8,-21,0.0320197044334977,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,7,-19,3,0.0343185550082104,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,8,-11,2,0.0374384236453204,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,9,-16,7,0.0399014778325126,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,10,-14,4,0.0453201970443352,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
