Pathway,PathwayOrder,Coefficient,Color,ColorName
BER,1,1,#4DBBD5,Shakespeare
NER,2,2,#F39B7F,Apricot
MMR,3,3,#8491B4,WildBlueYonder
FA,4,4,#91D1C2,MonteCarlo
HR,5,5,#3C5488,Chambray
AEJ,6,6,#00A087,PersianGreen
NHEJ,7,7,#E64B35,Cinnabar
