mission_cluster,Group,tissue_order,sex,age_label,age_order_weeks,age_is_range,source_age_values,age_source_fields,age_colour,n_age_levels,n_samples,n_mice,n_technical_replicates,n_flight,n_ground,n_accessions,accessions,n_analysis_units,analysis_units
SpaceX-21,Thymus,26,Male,16–17 wk,16.5,TRUE,16-17 {week},Characteristics[Age at Launch],#006290,1,16,16,1,7,9,1,OSD-515,1,OSD-515
SpaceX-27,Optic nerve,3,Male,11–12 wk,11.5,TRUE,11 - 12 {week},Characteristics[Age at Launch],#00AC8E,1,17,17,0,5,12,1,OSD-759,1,OSD-759
SpaceX-27,Retina,21,Male,11–12 wk,11.5,TRUE,11 - 12 {week},Characteristics[Age at Launch],#00AC8E,1,17,17,0,5,12,1,OSD-758,1,OSD-758
SpaceX-4,Eye,11,Female,16 wk,16,FALSE,16 {week},Characteristics[Age at Launch],#007796,1,12,12,0,6,6,1,OSD-100,1,OSD-100
SpaceX-4,Extensor digitorum longus,13,Female,16 wk,16,FALSE,16 {week},Characteristics[Age at Launch],#007796,1,12,12,0,6,6,1,OSD-99,1,OSD-99
SpaceX-4,Gastrocnemius,15,Female,16 wk,16,FALSE,16 {week},Characteristics[Age at Launch],#007796,1,24,24,0,10,14,2,OSD-101;OSD-419,2,OSD-101;OSD-419
SpaceX-4,Soleus,17,Female,16 wk,16,FALSE,16 {week},Characteristics[Age at Launch],#007796,1,12,12,0,6,6,1,OSD-104,1,OSD-104
SpaceX-4,Liver,18,Female,16 wk,16,FALSE,16 {week},Characteristics[Age at Launch],#007796,2,4,4,0,2,2,1,OSD-48,1,OSD-48
SpaceX-4,Liver,18,Female,8 mo,34.785,FALSE,8 {month},Characteristics[Age at Launch],#4B0055,2,6,6,0,3,3,1,OSD-47,1,OSD-47
SpaceX-4,Retina,21,Female,16 wk,16,FALSE,16 {week},Characteristics[Age at Launch],#007796,1,16,16,0,9,7,1,OSD-397,1,OSD-397
SpaceX-8,Kidney,10,Female,12 wk,12,FALSE,12 {week},Characteristics[Age at Launch],#009B95,1,12,12,0,6,6,1,OSD-163,1,OSD-163
SpaceX-8,Eye,11,Female,12 wk,12,FALSE,12 {week},Characteristics[Age at launch],#009B95,1,10,10,0,5,5,1,OSD-162,1,OSD-162
SpaceX-8,Adrenal gland,14,Female,12 wk,12,FALSE,12 {week},Characteristics[Age at Launch],#009B95,1,10,10,0,5,5,1,OSD-161,1,OSD-161
SpaceX-8,Liver,18,Female,12 wk,12,FALSE,12 {week},Characteristics[Age at Launch],#009B95,1,12,12,0,6,6,1,OSD-137,1,OSD-137
SpaceX-8,Retina,21,Female,12 wk,12,FALSE,12 {week},Characteristics[Age at Launch],#009B95,1,9,9,0,5,4,1,OSD-194,1,OSD-194
SpaceX-9,Soleus,17,Male,8 wk,8,FALSE,8 {week},Characteristics[Age at Launch],#FDE333,1,6,6,0,3,3,1,OSD-714,1,OSD-714
SpaceX-9,Thymus,26,Male,8 wk,8,FALSE,8 {week},Characteristics[Age at Launch],#FDE333,1,6,6,0,3,3,1,OSD-289,1,OSD-289
