analysis_tissue,pathway_1_key,pathway_2_key,fisher_z,z_capped
Heart / Heart right ventricle,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.37410347887148643,False
Kidney,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.8958797346140275,False
Left lobe of the liver,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,-0.030444184837506213,False
Liver,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.9435348245161899,False
Lung,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.9617466350703856,False
Mammary gland,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.7938882078264606,False
Optic nerve,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.42364893019360184,False
Quadriceps femoris,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.5947920334369182,False
Retina,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.47017343736419565,False
Soleus,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.6765428450616185,False
Spleen,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.746962512656128,False
Spleen-distal,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,1.2727656358022175,False
Thymus,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.656586048145464,False
Tibialis anterior,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.2732718531840349,False
Adrenal gland,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.6334738017436623,False
Bone marrow,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.5304359803426314,False
Cecum,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,5.0,True
Cerebellum,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.746962512656128,False
Dorsal skin,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.7537399589610569,False
Extensor digitorum longus,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.6931471805599453,False
Eye,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.9229133452491655,False
Femoral lateral skin,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,1.8317808230648227,False
Gastrocnemius,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.5863601304109157,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.6744183992924951,False
Kidney,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.3566727499892064,False
Left lobe of the liver,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.3297107729259546,False
Liver,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,1.103504695608109,False
Lung,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.7354258745739769,False
Mammary gland,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,1.4263157149566588,False
Optic nerve,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.42364893019360184,False
Quadriceps femoris,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.3845665437689337,False
Retina,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.6379352717527588,False
