analysis_tissue,n_flight_samples,pathway_1_key,pathway_2_key,spearman_rho
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,DNA_templated_transcription_GO0006351,0.6527472527472528
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,translation_GO0006412,0.27912087912087913
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,mitochondrion_GO0005739,0.024175824175824177
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,mechanosensation_GO0050954,0.002197802197802198
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,cytoskeleton_GO0005856,0.3626373626373626
Adrenal gland,14,DNA_damage_signal_transduction_GO0042770,cell_death_GO0008219,0.3978021978021978
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,DNA_damage_tolerance_GO0006301,-0.02857142857142857
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,telomere_maintenance_GO0043247,-0.3098901098901099
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,telomere_region_GO0000781,0.0989010989010989
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,cell_cycle_GO0007049,0.5912087912087912
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,DNA_replication_GO0006260,0.33186813186813185
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,DNA_templated_transcription_GO0006351,0.5472527472527473
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,translation_GO0006412,0.5032967032967033
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,mitochondrion_GO0005739,0.367032967032967
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,mechanosensation_GO0050954,0.5384615384615384
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,cytoskeleton_GO0005856,0.4021978021978022
Adrenal gland,14,intrinsic_apoptotic_signaling_GO0008630,cell_death_GO0008219,0.8021978021978022
Adrenal gland,14,DNA_damage_tolerance_GO0006301,telomere_maintenance_GO0043247,0.4593406593406593
Adrenal gland,14,DNA_damage_tolerance_GO0006301,telomere_region_GO0000781,0.5340659340659341
Adrenal gland,14,DNA_damage_tolerance_GO0006301,cell_cycle_GO0007049,0.42417582417582417
Adrenal gland,14,DNA_damage_tolerance_GO0006301,DNA_replication_GO0006260,0.6483516483516484
Adrenal gland,14,DNA_damage_tolerance_GO0006301,DNA_templated_transcription_GO0006351,-0.12087912087912088
Adrenal gland,14,DNA_damage_tolerance_GO0006301,translation_GO0006412,-0.1076923076923077
Adrenal gland,14,DNA_damage_tolerance_GO0006301,mitochondrion_GO0005739,-0.26593406593406593
Adrenal gland,14,DNA_damage_tolerance_GO0006301,mechanosensation_GO0050954,-0.5164835164835165
Adrenal gland,14,DNA_damage_tolerance_GO0006301,cytoskeleton_GO0005856,0.11208791208791209
Adrenal gland,14,DNA_damage_tolerance_GO0006301,cell_death_GO0008219,-0.23076923076923078
Adrenal gland,14,telomere_maintenance_GO0043247,telomere_region_GO0000781,0.5384615384615384
Adrenal gland,14,telomere_maintenance_GO0043247,cell_cycle_GO0007049,0.11648351648351649
Adrenal gland,14,telomere_maintenance_GO0043247,DNA_replication_GO0006260,0.4461538461538462
Adrenal gland,14,telomere_maintenance_GO0043247,DNA_templated_transcription_GO0006351,-0.054945054945054944
Adrenal gland,14,telomere_maintenance_GO0043247,translation_GO0006412,-0.08131868131868132
Adrenal gland,14,telomere_maintenance_GO0043247,mitochondrion_GO0005739,-0.11208791208791209
Adrenal gland,14,telomere_maintenance_GO0043247,mechanosensation_GO0050954,-0.13846153846153847
Adrenal gland,14,telomere_maintenance_GO0043247,cytoskeleton_GO0005856,0.1912087912087912
Adrenal gland,14,telomere_maintenance_GO0043247,cell_death_GO0008219,-0.34945054945054943
Adrenal gland,14,telomere_region_GO0000781,cell_cycle_GO0007049,0.701098901098901
Adrenal gland,14,telomere_region_GO0000781,DNA_replication_GO0006260,0.8505494505494505
Adrenal gland,14,telomere_region_GO0000781,DNA_templated_transcription_GO0006351,0.24395604395604395
Adrenal gland,14,telomere_region_GO0000781,translation_GO0006412,0.054945054945054944
Adrenal gland,14,telomere_region_GO0000781,mitochondrion_GO0005739,-0.03736263736263736
Adrenal gland,14,telomere_region_GO0000781,mechanosensation_GO0050954,0.06373626373626373
Adrenal gland,14,telomere_region_GO0000781,cytoskeleton_GO0005856,0.4725274725274725
Adrenal gland,14,telomere_region_GO0000781,cell_death_GO0008219,0.03736263736263736
Adrenal gland,14,cell_cycle_GO0007049,DNA_replication_GO0006260,0.8637362637362638
Adrenal gland,14,cell_cycle_GO0007049,DNA_templated_transcription_GO0006351,0.4593406593406593
Adrenal gland,14,cell_cycle_GO0007049,translation_GO0006412,0.5560439560439561
Adrenal gland,14,cell_cycle_GO0007049,mitochondrion_GO0005739,0.34945054945054943
Adrenal gland,14,cell_cycle_GO0007049,mechanosensation_GO0050954,0.16923076923076924
Adrenal gland,14,cell_cycle_GO0007049,cytoskeleton_GO0005856,0.6395604395604395
Adrenal gland,14,cell_cycle_GO0007049,cell_death_GO0008219,0.512087912087912
Adrenal gland,14,DNA_replication_GO0006260,DNA_templated_transcription_GO0006351,0.389010989010989
Adrenal gland,14,DNA_replication_GO0006260,translation_GO0006412,0.3626373626373626
Adrenal gland,14,DNA_replication_GO0006260,mitochondrion_GO0005739,0.2087912087912088
Adrenal gland,14,DNA_replication_GO0006260,mechanosensation_GO0050954,0.0989010989010989
Adrenal gland,14,DNA_replication_GO0006260,cytoskeleton_GO0005856,0.6835164835164835
Adrenal gland,14,DNA_replication_GO0006260,cell_death_GO0008219,0.35384615384615387
Adrenal gland,14,DNA_templated_transcription_GO0006351,translation_GO0006412,0.17802197802197803
Adrenal gland,14,DNA_templated_transcription_GO0006351,mitochondrion_GO0005739,0.1956043956043956
Adrenal gland,14,DNA_templated_transcription_GO0006351,mechanosensation_GO0050954,0.5604395604395604
Adrenal gland,14,DNA_templated_transcription_GO0006351,cytoskeleton_GO0005856,0.4593406593406593
Adrenal gland,14,DNA_templated_transcription_GO0006351,cell_death_GO0008219,0.701098901098901
Adrenal gland,14,translation_GO0006412,mitochondrion_GO0005739,0.6879120879120879
Adrenal gland,14,translation_GO0006412,mechanosensation_GO0050954,0.2703296703296703
Adrenal gland,14,translation_GO0006412,cytoskeleton_GO0005856,0.6307692307692307
Adrenal gland,14,translation_GO0006412,cell_death_GO0008219,0.6527472527472528
Adrenal gland,14,mitochondrion_GO0005739,mechanosensation_GO0050954,0.4065934065934066
Adrenal gland,14,mitochondrion_GO0005739,cytoskeleton_GO0005856,0.46373626373626375
Adrenal gland,14,mitochondrion_GO0005739,cell_death_GO0008219,0.5956043956043956
Adrenal gland,14,mechanosensation_GO0050954,cytoskeleton_GO0005856,0.5824175824175825
Adrenal gland,14,mechanosensation_GO0050954,cell_death_GO0008219,0.6703296703296703
Adrenal gland,14,cytoskeleton_GO0005856,cell_death_GO0008219,0.6483516483516484
Bone marrow,6,DNA_damage_response_GO0006974,DNA_repair_GO0006281,0.9428571428571428
Bone marrow,6,DNA_damage_response_GO0006974,DNA_damage_signal_transduction_GO0042770,0.7142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.7142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.4857142857142857
Bone marrow,6,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.7142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.6
Bone marrow,6,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.8285714285714286
Bone marrow,6,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.7714285714285715
Bone marrow,6,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.4857142857142857
Bone marrow,6,DNA_damage_response_GO0006974,translation_GO0006412,0.8285714285714286
Bone marrow,6,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.7714285714285715
Bone marrow,6,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.3142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.8285714285714286
Bone marrow,6,DNA_damage_response_GO0006974,cell_death_GO0008219,0.8285714285714286
Bone marrow,6,DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,0.8857142857142857
Bone marrow,6,DNA_repair_GO0006281,intrinsic_apoptotic_signaling_GO0008630,0.5428571428571428
Bone marrow,6,DNA_repair_GO0006281,DNA_damage_tolerance_GO0006301,0.7142857142857143
Bone marrow,6,DNA_repair_GO0006281,telomere_maintenance_GO0043247,0.4857142857142857
