pathway_1_key,pathway_2_key,n_tissues_used,fisher_z_mean,n_tissues_z_capped,overall_rho
DNA_damage_response_GO0006974,DNA_repair_GO0006281,23,2.1012310409490595,4,0.9705235259967298
DNA_damage_response_GO0006974,DNA_damage_signal_transduction_GO0042770,23,1.3887383491414576,1,0.8828930046571335
DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,23,0.8134826095187762,0,0.6715069599305554
DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,23,0.97513353031048,1,0.7509515182694312
DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,23,0.5103554636160454,0,0.47022211267656305
DNA_damage_response_GO0006974,telomere_region_GO0000781,23,1.1629431439010436,1,0.821996717939253
DNA_damage_response_GO0006974,cell_cycle_GO0007049,23,1.3477292541459982,0,0.8735162568612546
DNA_damage_response_GO0006974,DNA_replication_GO0006260,23,1.5731412753480492,2,0.9175239875981537
DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,23,0.7345192104663297,0,0.6258223735046968
DNA_damage_response_GO0006974,translation_GO0006412,23,0.5131297185929935,0,0.47238013465619644
DNA_damage_response_GO0006974,mitochondrion_GO0005739,23,0.23153141929160845,0,0.22748102920053156
DNA_damage_response_GO0006974,mechanosensation_GO0050954,23,0.38675948706171875,0,0.3685632528709962
DNA_damage_response_GO0006974,cytoskeleton_GO0005856,23,0.8203397237068636,0,0.6752547374803852
DNA_damage_response_GO0006974,cell_death_GO0008219,23,0.7183666264168881,0,0.6158965342468652
DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,23,1.151293821898238,1,0.8181822398016145
DNA_repair_GO0006281,intrinsic_apoptotic_signaling_GO0008630,23,0.4725693255167354,0,0.44027294274701173
DNA_repair_GO0006281,DNA_damage_tolerance_GO0006301,23,1.0501367152084196,1,0.7818595039052072
DNA_repair_GO0006281,telomere_maintenance_GO0043247,23,0.5020634951601517,0,0.4637384400323707
