accession,title,flight_program,mission_name,doi,description
OSD-100,Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data,International Space Station (ISS),SpaceX-4,10.26030/whek-4p98,"NASA's Rodent Research (RR) project is playing a critical role in advancing biomedical research on the physiological effects of space environments. Due to the limited resources for conducting biological experiments aboard the International Space Station (ISS), it is imperative to use crew time efficiently while maximizing high-quality science return. NASA's GeneLab project has as its primary objectives to 1) further increase the value of these experiments using a multi-omics, systems biology-based approach, and 2) disseminate these data without restrictions to the scientific community. The current investigation assessed viability of RNA, DNA, and protein extracted from archived RR-1 tissue samples for epigenomic, transcriptomic, and proteomic assays. During the first RR spaceflight experiment, a variety of tissue types were harvested from subjects, snap-frozen or RNAlater-preserved, and then stored at least a year at -80C after return to Earth. They were then prioritized for this investigation based on likelihood of significant scientific value for spaceflight research. All tissues were made available to GeneLab through the bio-specimen sharing program managed by the Ames Life Science Data Archive and included mouse adrenal glands, quadriceps, gastrocnemius, tibialis anterior, extensor digitorum longus, soleus, eye, and kidney. We report here protocols for and results of these tissue extractions, and thus, the feasibility and value of these kinds of omics analyses. In addition to providing additional opportunities for investigation of spaceflight effects on the mouse transcriptome and proteome in new kinds of tissues, our results may also be of value to program managers for the prioritization of ISS crew time for rodent research activities."
OSD-101,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data",International Space Station (ISS),SpaceX-4,10.26030/sdmt-ae51,"NASA's Rodent Research (RR) project is playing a critical role in advancing biomedical research on the physiological effects of space environments. Due to the limited resources for conducting biological experiments aboard the International Space Station (ISS), it is imperative to use crew time efficiently while maximizing high-quality science return. NASA's GeneLab project has as its primary objectives to 1) further increase the value of these experiments using a multi-omics, systems biology-based approach, and 2) disseminate these data without restrictions to the scientific community. The current investigation assessed viability of RNA, DNA, and protein extracted from archived RR-1 tissue samples for epigenomic, transcriptomic, and proteomic assays. During the first RR spaceflight experiment (RR-1), a variety of tissue types were harvested from subjects, snap-frozen or RNAlater-preserved, and then stored at least a year at -80C after return to Earth. They were then prioritized for this investigation based on likelihood of significant scientific value for spaceflight research. All tissues were made available to GeneLab through the bio-specimen sharing program managed by the Ames Life Science Data Archive and included mouse adrenal glands, quadriceps, gastrocnemius, tibialis anterior, extensor digitorum longus, soleus, eye, and kidney. We report here protocols for and results of these tissue extractions, and thus, the feasibility and value of these kinds of omics analyses. In addition to providing additional opportunities for investigation of spaceflight effects on the mouse transcriptome and proteome in new kinds of tissues, our results may also be of value to program managers for the prioritization of ISS crew time for rodent research activities."
OSD-104,Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data,International Space Station (ISS),SpaceX-4,10.26030/em9r-w619,"NASA's Rodent Research (RR) project is playing a critical role in advancing biomedical research on the physiological effects of space environments. Due to the limited resources for conducting biological experiments aboard the International Space Station (ISS), it is imperative to use crew time efficiently while maximizing high-quality science return. NASA's GeneLab project has as its primary objectives to 1) further increase the value of these experiments using a multi-omics, systems biology-based approach, and 2) disseminate these data without restrictions to the scientific community. The current investigation assessed viability of RNA, DNA, and protein extracted from archived RR-1 tissue samples for epigenomic, transcriptomic, and proteomic assays. During the first RR spaceflight experiment, a variety of tissue types were harvested from subjects, snap-frozen or RNAlater-preserved, and then stored at least a year at -80C after return to Earth. They were then prioritized for this investigation based on likelihood of significant scientific value for spaceflight research. All tissues were made available to GeneLab through the bio-specimen sharing program managed by the Ames Life Science Data Archive and included mouse adrenal glands, quadriceps, gastrocnemius, tibialis anterior, extensor digitorum longus, soleus, eye, and kidney. We report here protocols for and results of these tissue extractions, and thus, the feasibility and value of these kinds of omics analyses. In addition to providing additional opportunities for investigation of spaceflight effects on the mouse transcriptome and proteome in new kinds of tissues, our results may also be of value to program managers for the prioritization of ISS crew time for rodent research activities."
OSD-137,"Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data",International Space Station (ISS),SpaceX-8,10.26030/9k6w-4c28,"The Rodent Research-3 (RR-3) mission was sponsored by the pharmaceutical company Eli Lilly and Co. and the Center for the Advancement of Science in Space to study the effectiveness of a potential countermeasure for the loss of muscle and bone mass that occurs during spaceflight. Twenty BALB/c, 12-weeks old female mice (ten controls and ten treated) were flown to the ISS and housed in the Rodent Habitat for 39-42 days. Twenty mice of similar age, sex and strain were used for ground controls housed in identical hardware and matching ISS environmental conditions. Basal controls were housed in standard vivarium cages. Spaceflight, ground controls and basal groups had blood collected, then were euthanized, had one hind limb removed, and finally whole carcasses were stored at -80 C until dissection. All mice in this data set received only the control/sham injection."
OSD-161,"Rodent Research-3-CASIS: Mouse adrenal gland transcriptomic, proteomic, and epigenomic data",International Space Station (ISS),SpaceX-8,10.26030/js8g-yq79,"The Rodent Research-3 (RR-3) mission was sponsored by the pharmaceutical company Eli Lilly and Co. and the Center for the Advancement of Science in Space to study the effectiveness of a potential countermeasure for the loss of muscle and bone mass that occurs during spaceflight. Twenty BALB/c, 12-weeks old female mice (ten controls and ten treated) were flown to the ISS and housed in the Rodent Habitat for 39-42 days. Twenty mice of similar age, sex and strain were used for ground controls housed in identical hardware and matching ISS environmental conditions. Basal controls were housed in standard vivarium cages. Spaceflight, ground controls and basal groups had blood collected, then were euthanized, had one hind limb removed, and finally whole carcasses were stored at -80 C until dissection. All mice in this data set received only the control/sham injection."
OSD-162,Rodent Research-3-CASIS: Mouse eye transcriptomic and proteomic data,International Space Station (ISS),SpaceX-8,10.26030/pys4-6t29,"The Rodent Research-3 (RR-3) mission was sponsored by the pharmaceutical company Eli Lilly and Co. and the Center for the Advancement of Science in Space to study the effectiveness of a potential countermeasure for the loss of muscle and bone mass that occurs during spaceflight. Twenty BALB/c, 12-weeks old female mice (ten controls and ten treated) were flown to the ISS and housed in the Rodent Habitat for 39-42 days. Twenty mice of similar age, sex and strain were used for ground controls housed in identical hardware and matching ISS environmental conditions. Basal controls were housed in standard vivarium cages. Spaceflight, ground controls and basal groups had blood collected, then were euthanized, had one hind limb removed, and finally whole carcasses were stored at -80 C until dissection. All mice in this data set received only the control/sham injection."
OSD-163,"Rodent Research-3-CASIS: Mouse kidney transcriptomic, proteomic, and epigenomic data",International Space Station (ISS),SpaceX-8,10.26030/q8vt-7p92,"The Rodent Research-3 (RR-3) mission was sponsored by the pharmaceutical company Eli Lilly and Co. and the Center for the Advancement of Science in Space to study the effectiveness of a potential countermeasure for the loss of muscle and bone mass that occurs during spaceflight. Twenty BALB/c, 12-weeks old female mice (ten controls and ten treated) were flown to the ISS and housed in the Rodent Habitat for 39-42 days. Twenty mice of similar age, sex and strain were used for ground controls housed in identical hardware and matching ISS environmental conditions. Basal controls were housed in standard vivarium cages. Spaceflight, ground controls and basal groups had blood collected, then were euthanized, had one hind limb removed, and finally whole carcasses were stored at -80 C until dissection. All mice in this data set received only the control/sham injection."
OSD-194,Rodent Research-3-CASIS: Mouse retina transcriptomic data,International Space Station (ISS),SpaceX-8,10.26030/pev7-5695,"The Rodent Research-3 (RR-3) mission was sponsored by the pharmaceutical company Eli Lilly and Co. and the Center for the Advancement of Science in Space to study the effectiveness of a potential countermeasure for the loss of muscle and bone mass that occurs during spaceflight. Twenty BALB/c, 12-weeks old female mice (ten controls and ten treated) were flown to the ISS and housed in the Rodent Habitat for 39-42 days. Twenty mice of similar age, sex and strain were used for ground controls housed in identical hardware and matching ISS environmental conditions. Basal controls were housed in standard vivarium cages. Spaceflight, ground controls and basal groups had blood collected, then were euthanized, had one hind limb removed, and finally whole carcasses were stored at -80 C until dissection. All mice in this data set received only the control/sham injection. Microdissection of retinae from previously frozen eyes and RNA isolation were performed in the laboratory of Dr. Xiao Mao at Loma Linda University."
OSD-239,Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission,ISS,SpaceX-12,10.26030/s7k9-7958,"The JAXA MHU-2 mission had two objectives: 1) To increase understanding of effects of spaceflight on the gut environment (microbiota and metabolites) and immune system, using multi-omics based analysis; 2) To evaluate whether fructo-oligosaccharides added to the diet as prebiotics improve the gut environment and immune function during spaceflight. Twelve 16-18 week old male C57BL/6J mice were singly housed in the JAXA Habitat Cage Units (HCUs) on the ISS for 30 days. Six flight mice were housed in microgravity, while six were exposed to simulated 1g by centrifugation. These two flight groups were further divided in half so that three mice in each group received standard JAXA chow, while the other three were fed chow supplemented with fructooligosaccharides (FOS). Mice were returned live and euthanized and dissected less than 1 day after splashdown. Ground controls (n equals 6) were asynchronous and housed in HCUs. Vivarium controls (n equals 6) were asynchronous and housed in standard habitats. Three ground control and three vivarium animals received standard chow, while the other three each ground control and vivarium animals received FOS-supplemented chow. Ground and vivarium samples were dissected by a separate dissection team than flight samples. Femoral skin was dissected 30 minutes after euthanasia and snap frozen in liquid nitrogen. Total RNA was extracted and sequenced at a target depth of 60 M clusters per sample (ribodepleted, paired end 150). Study Factor Levels: 1)Spaceflight, ug, Std. Chow: 3; 2)Spaceflight, ug, FOS: 3; 3) Spaceflight, Artificial 1g, Std. Chow: 3; 4)Spaceflight, Artificial 1g, FOS: 3; 5)Ground, 1g, Std. Chow: 3; 6)Ground, 1g, FOS: 3; 7)Vivarium, 1g, Std. Chow: 3; 8)Vivarium, 1g, FOS: 3"
OSD-240,Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission,International Space Station (ISS),SpaceX-11,10.26030/6eg2-wz66,"The objective of the Rodent Research-5 (RR-5) study was to evaluate bone loss in mice during spaceflight and to determine if treatment with a modified version of NEL-like molecule-1 (NELL-1) can reduce or prevent bone loss that would otherwise occur during spaceflight. To this end, a cohort of forty 30-weeks-old female BALB/cAnNTac mice were flown to the ISS and housed in the Rodent Habitat. Six days after launch half of the mice were treated with NELL-1 (10 mg/kg in 0.3 ml PBS), while the other half were treated with vehicle control (0.3 mls PBS). Fourteen days after launch animals were again treated with NELL-1 or vehicle control as before, except that all animals were also injected with the bone marker, calcein green (20 mg/kg in 0.1 ml). Injections of vehicle, NELL-1, and bone markers were intraperitoneal. After all forty mice on orbit received two treatments; ten control mice and ten experimental mice were randomly selected for live animal return (LAR). At approximately 30 days after launch the twenty LAR mice were transported live back to Earth. Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine. During the recovery, the animals received another two treatments. GeneLab received RNA later preserved dorsal skin from ten live animal return and ten matching ground control mice. These were from the vehicle control animals only. RNA was extracted, libraries generated (stranded, ribodepleted) and sequenced (target 60 M clusters at PE 150 bp)."
