accession,repo_study_url,fetched_at_utc,fetch_status,fresh_sha256,june_cache_sha256,description_matches_june,study_version,modified_date
OSD-666,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-666,2026-09-01T10:32:00Z,ok,5719a7030f93d076108cbf2b253465d72986901fa9d2cc501a68099eae0d97d9,5719a7030f93d076108cbf2b253465d72986901fa9d2cc501a68099eae0d97d9,True,6,17-Feb-2026
OSD-667,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-667,2026-09-01T10:32:02Z,ok,6981b6b5542a865cd4f9f84e9a0653996dda8fee1da22542178eb9583099b5d7,6981b6b5542a865cd4f9f84e9a0653996dda8fee1da22542178eb9583099b5d7,True,7,19-Feb-2026
OSD-686,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-686,2026-09-01T10:32:05Z,ok,76afe20393c5ca1a0d1b45d7e3f174771995b136f7c687852ac4b4d0c7cac9f7,76afe20393c5ca1a0d1b45d7e3f174771995b136f7c687852ac4b4d0c7cac9f7,True,8,18-Feb-2026
OSD-690,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-690,2026-09-01T10:32:06Z,ok,d86494679da28272444ea595af244ff8bc9fa8f7bd2c68bb47b6c1694697d62f,d86494679da28272444ea595af244ff8bc9fa8f7bd2c68bb47b6c1694697d62f,True,7,18-Feb-2026
OSD-714,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-714,2026-09-01T10:32:09Z,ok,487e22d3ee4f47fd07d83a45d306f349a04458efbf8f38c53bca2bcb7cc3165d,487e22d3ee4f47fd07d83a45d306f349a04458efbf8f38c53bca2bcb7cc3165d,True,4,18-Feb-2026
OSD-758,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-758,2026-09-01T10:32:11Z,ok,97e7bc7bbdc60a9a0789097aa5992c5a8d7806b961645f860ca9c3cc192dc114,97e7bc7bbdc60a9a0789097aa5992c5a8d7806b961645f860ca9c3cc192dc114,True,5,24-Feb-2026
OSD-759,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-759,2026-09-01T10:32:13Z,ok,2725e95d3e0cec2d3df265166ccdcef8fef89de572cacad4e5743fc79ca32f44,2725e95d3e0cec2d3df265166ccdcef8fef89de572cacad4e5743fc79ca32f44,True,5,24-Feb-2026
OSD-770,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-770,2026-09-01T10:32:15Z,ok,1e0e863720322d49f3639bdf4d0eaae0e4fff4753adef35e0e9cebeddbe9f363,1e0e863720322d49f3639bdf4d0eaae0e4fff4753adef35e0e9cebeddbe9f363,True,4,18-Feb-2026
OSD-771,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-771,2026-09-01T10:32:18Z,ok,9d0dd54fdc9c5f432d6ccac43bc460c5e72b314724711eedbd2ab1cbdd7abfcf,9d0dd54fdc9c5f432d6ccac43bc460c5e72b314724711eedbd2ab1cbdd7abfcf,True,4,17-Feb-2026
OSD-899,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-899,2026-09-01T10:32:20Z,ok,6f33926abbff6e0aab9c1ca1fcd45409bf2d12c13f451b18e0095f59912f32e3,6f33926abbff6e0aab9c1ca1fcd45409bf2d12c13f451b18e0095f59912f32e3,True,2,22-Apr-2026
OSD-900,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-900,2026-09-01T10:32:24Z,ok,536db5583d51e3e510552d807109a6f5aa2ec563e9845b9aeade4200be87e4a8,536db5583d51e3e510552d807109a6f5aa2ec563e9845b9aeade4200be87e4a8,True,2,24-Apr-2026
OSD-99,https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-99,2026-09-01T10:32:28Z,ok,a532259fe3ab441611123b2f2bdd3a745107170387f33271c69375228c8775f7,a532259fe3ab441611123b2f2bdd3a745107170387f33271c69375228c8775f7,True,8,18-Feb-2026
