sample_column,sample_name_normalized,mouse_id,sample_status,isa_spaceflight_raw,isa_status_matches_analysis,sample_is_technical_replicate,Group,analysis_unit_id,accession,input_relative_path,mission_cluster,mission_source,api_mission_names,source_space_mission_raw,launch_mission_raw,launch_mission_conflict,sex,sex_raw,age_value_raw,age_unit_raw,age_raw,age_label,age_order_weeks,age_is_range,age_source_field,organism_raw,source_material_type,metadata_match_method,isa_source_table,metadata_zip_filename,metadata_zip_sha256,euthanasia_after_landing_days,euthanasia_timing_category,euthanasia_scope
Mmus_C57-6J_GST_GC_Rep3_M35,Mmus_C57-6J_GST_GC_Rep3_M35,RR1_GC_M35,Ground,Ground Control,TRUE,FALSE,Gastrocnemius,OSD-101,OSD-101,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Left gastrocnemius,exact ISA Sample Name,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,,not_stated,n/a
Mmus_C57-6J_GST_GC_Rep4_M36,Mmus_C57-6J_GST_GC_Rep4_M36,RR1_GC_M36,Ground,Ground Control,TRUE,FALSE,Gastrocnemius,OSD-101,OSD-101,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Left gastrocnemius,exact ISA Sample Name,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,,not_stated,n/a
Mmus_C57-6J_GST_GC_Rep5_M37,Mmus_C57-6J_GST_GC_Rep5_M37,RR1_GC_M37,Ground,Ground Control,TRUE,FALSE,Gastrocnemius,OSD-101,OSD-101,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Left gastrocnemius,exact ISA Sample Name,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,,not_stated,n/a
Mmus_C57-6J_GST_GC_Rep6_M38,Mmus_C57-6J_GST_GC_Rep6_M38,RR1_GC_M38,Ground,Ground Control,TRUE,FALSE,Gastrocnemius,OSD-101,OSD-101,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Left gastrocnemius,exact ISA Sample Name,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,,not_stated,n/a
Mmus_C57-6J_SLS_FLT_Rep1_M23,Mmus_C57-6J_SLS_FLT_Rep1_M23,RR1_FLT_M23,Flight,Space Flight,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,SpaceX-4,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_FLT_Rep2_M24,Mmus_C57-6J_SLS_FLT_Rep2_M24,RR1_FLT_M24,Flight,Space Flight,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,SpaceX-4,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_FLT_Rep3_M25,Mmus_C57-6J_SLS_FLT_Rep3_M25,RR1_FLT_M25,Flight,Space Flight,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,SpaceX-4,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_FLT_Rep4_M26,Mmus_C57-6J_SLS_FLT_Rep4_M26,RR1_FLT_M26,Flight,Space Flight,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,SpaceX-4,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_FLT_Rep5_M27,Mmus_C57-6J_SLS_FLT_Rep5_M27,RR1_FLT_M27,Flight,Space Flight,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,SpaceX-4,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_FLT_Rep6_M28,Mmus_C57-6J_SLS_FLT_Rep6_M28,RR1_FLT_M28,Flight,Space Flight,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,SpaceX-4,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_GC_Rep1_M33,Mmus_C57-6J_SLS_GC_Rep1_M33,RR1_GC_M33,Ground,Ground Control,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,Not Applicable,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_GC_Rep2_M34,Mmus_C57-6J_SLS_GC_Rep2_M34,RR1_GC_M34,Ground,Ground Control,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,Not Applicable,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_GC_Rep3_M35,Mmus_C57-6J_SLS_GC_Rep3_M35,RR1_GC_M35,Ground,Ground Control,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,Not Applicable,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_GC_Rep4_M36,Mmus_C57-6J_SLS_GC_Rep4_M36,RR1_GC_M36,Ground,Ground Control,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,Not Applicable,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_GC_Rep5_M37,Mmus_C57-6J_SLS_GC_Rep5_M37,RR1_GC_M37,Ground,Ground Control,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,Not Applicable,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_C57-6J_SLS_GC_Rep6_M38,Mmus_C57-6J_SLS_GC_Rep6_M38,RR1_GC_M38,Ground,Ground Control,TRUE,FALSE,Soleus,OSD-104,OSD-104,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,Not Applicable,FALSE,Female,Female,16,week,16 {week},16 wk,16,FALSE,Characteristics[Age at Launch],Mus musculus,Soleus-both sides,exact ISA Sample Name,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,,not_stated,n/a
Mmus_BAL-TAL_LVR_FLT_Rep1_F1,Mmus_BAL-TAL_LVR_FLT_Rep1_F1,RR3_FLT_F1,Flight,Space Flight,TRUE,FALSE,Liver,OSD-137,OSD-137,02_processed_data/osdr_processed/OSD-137/GLDS-137_rna_seq_differential_expression.csv,SpaceX-8,OSDR dataset API: single mission,SpaceX-8,,,FALSE,Female,Female,12,week,12 {week},12 wk,12,FALSE,Characteristics[Age at Launch],Mus musculus,Liver,exact ISA Sample Name,s_OSD-137.txt,OSD-137_metadata_OSD-137-ISA.zip,28affc65bdadb2d3426c1f72f287b9801bf09af9f1c9f1f7b3858f49fffaf2e6,,not_stated,n/a
Mmus_BAL-TAL_LVR_FLT_Rep2_F2,Mmus_BAL-TAL_LVR_FLT_Rep2_F2,RR3_FLT_F2,Flight,Space Flight,TRUE,FALSE,Liver,OSD-137,OSD-137,02_processed_data/osdr_processed/OSD-137/GLDS-137_rna_seq_differential_expression.csv,SpaceX-8,OSDR dataset API: single mission,SpaceX-8,,,FALSE,Female,Female,12,week,12 {week},12 wk,12,FALSE,Characteristics[Age at Launch],Mus musculus,Liver,exact ISA Sample Name,s_OSD-137.txt,OSD-137_metadata_OSD-137-ISA.zip,28affc65bdadb2d3426c1f72f287b9801bf09af9f1c9f1f7b3858f49fffaf2e6,,not_stated,n/a
