ComponentOrder,PathwayOrder,ComponentOrderWithinPathway,Pathway,PathwayDisplay,RequestedComponent,MappingStatus,LookupMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,OfficialMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotComponentOrder,PlottedPathwayDisplay
30,5,1,BER,BER,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,Ung,protein_coding,SSB_others,1,30,BER
31,5,2,BER,BER,OGG1,reviewed teacher label/alias -> official mouse symbol,Ogg1,Ogg1,ENSMUSG00000030271,MGI:1097693,18294,Ogg1,protein_coding,SSB_others,2,31,BER
32,5,3,BER,BER,NEIL1,reviewed teacher label/alias -> official mouse symbol,Neil1,Neil1,ENSMUSG00000032298,MGI:1920024,72774,Neil1,protein_coding,SSB_others,3,32,BER
34,5,5,BER,BER,APE1,reviewed teacher label/alias -> official mouse symbol,Apex1,Apex1,ENSMUSG00000035960,MGI:88042,11792,Apex1,protein_coding,SSB_others,5,33,BER
35,5,6,BER,BER,PNKP,reviewed teacher label/alias -> official mouse symbol,Pnkp,Pnkp,ENSMUSG00000002963,MGI:1891698,59047,Pnkp,protein_coding,SSB_others,6,34,BER
36,5,7,BER,BER,FEN1,reviewed teacher label/alias -> official mouse symbol,Fen1,Fen1,ENSMUSG00000024742,MGI:102779,14156,Fen1,protein_coding,SSB_others,7,35,BER
37,6,1,NER,NER,XPA,reviewed teacher label/alias -> official mouse symbol,Xpa,Xpa,ENSMUSG00000028329,MGI:99135,22590,Xpa,protein_coding,SSB_others,8,36,NER
38,6,2,NER,NER,XPC,reviewed teacher label/alias -> official mouse symbol,Xpc,Xpc,ENSMUSG00000030094,MGI:103557,22591,Xpc,protein_coding,SSB_others,9,37,NER
39,6,3,NER,NER,RAD23B,reviewed teacher label/alias -> official mouse symbol,Rad23b,Rad23b,ENSMUSG00000028426,MGI:105128,19359,Rad23b,protein_coding,SSB_others,10,38,NER
40,6,4,NER,NER,CETN2,reviewed teacher label/alias -> official mouse symbol,Cetn2,Cetn2,ENSMUSG00000031347,MGI:1347085,26370,Cetn2,protein_coding,SSB_others,11,39,NER
41,6,5,NER,NER,CSA,reviewed teacher label/alias -> official mouse symbol,Ercc8,Ercc8,ENSMUSG00000021694,MGI:1919241,71991,Ercc8,protein_coding,SSB_others,12,40,NER
42,6,6,NER,NER,CSB,reviewed teacher label/alias -> official mouse symbol,Ercc6,Ercc6,ENSMUSG00000054051,MGI:1100494,319955,Ercc6,protein_coding,SSB_others,13,41,NER
43,6,7,NER,NER,DDB1,reviewed teacher label/alias -> official mouse symbol,Ddb1,Ddb1,ENSMUSG00000024740,MGI:1202384,13194,Ddb1,protein_coding,SSB_others,14,42,NER
44,6,8,NER,NER,DDB2,reviewed teacher label/alias -> official mouse symbol,Ddb2,Ddb2,ENSMUSG00000002109,MGI:1355314,107986,Ddb2,protein_coding,SSB_others,15,43,NER
45,6,9,NER,NER,XPB,reviewed teacher label/alias -> official mouse symbol,Ercc3,Ercc3,ENSMUSG00000024382,MGI:95414,13872,Ercc3,protein_coding,SSB_others,16,44,NER
46,6,10,NER,NER,XPD,reviewed teacher label/alias -> official mouse symbol,Ercc2,Ercc2,ENSMUSG00000030400,MGI:95413,13871,Ercc2,protein_coding,SSB_others,17,45,NER
47,6,11,NER,NER,p8,reviewed teacher label/alias -> official mouse symbol,Gtf2h5,Gtf2h5,ENSMUSG00000034345,MGI:107227,66467,Gtf2h5,protein_coding,SSB_others,18,46,NER
48,6,12,NER,NER,p34,reviewed teacher label/alias -> official mouse symbol,Gtf2h3,Gtf2h3,ENSMUSG00000029387,MGI:1277143,209357,Gtf2h3,protein_coding,SSB_others,19,47,NER
49,6,13,NER,NER,p44,reviewed teacher label/alias -> official mouse symbol,Gtf2h2,Gtf2h2,ENSMUSG00000021639,MGI:1345669,23894,Gtf2h2,protein_coding,SSB_others,20,48,NER
50,6,14,NER,NER,p52,reviewed teacher label/alias -> official mouse symbol,Gtf2h4,Gtf2h4,ENSMUSG00000001524,MGI:1338799,14885,Gtf2h4,protein_coding,SSB_others,21,49,NER
51,6,15,NER,NER,p62,reviewed teacher label/alias -> official mouse symbol,Gtf2h1,Gtf2h1,ENSMUSG00000006599,MGI:1277216,14884,Gtf2h1,protein_coding,SSB_others,22,50,NER
52,6,16,NER,NER,ERCC1,reviewed teacher label/alias -> official mouse symbol,Ercc1,Ercc1,ENSMUSG00000003549,MGI:95412,13870,Ercc1,protein_coding,SSB_others,23,51,NER
53,6,17,NER,NER,XPF,reviewed teacher label/alias -> official mouse symbol,Ercc4,Ercc4,ENSMUSG00000022545,MGI:1354163,50505,Ercc4,protein_coding,SSB_others,24,52,NER
54,6,18,NER,NER,XPG,reviewed teacher label/alias -> official mouse symbol,Ercc5,Ercc5,ENSMUSG00000026048,MGI:103582,22592,Ercc5,protein_coding,SSB_others,25,53,NER
55,7,1,MMR,MMR,MSH1,teacher label corrected to mammalian MLH1; no mouse Msh1 record,Mlh1,Mlh1,ENSMUSG00000032498,MGI:101938,17350,Mlh1,protein_coding,SSB_others,26,54,MMR
56,7,2,MMR,MMR,MSH2,reviewed teacher label/alias -> official mouse symbol,Msh2,Msh2,ENSMUSG00000024151,MGI:101816,17685,Msh2,protein_coding,SSB_others,27,55,MMR
57,7,3,MMR,MMR,MSH3,reviewed teacher label/alias -> official mouse symbol,Msh3,Msh3,ENSMUSG00000014850,MGI:109519,17686,Msh3,protein_coding,SSB_others,28,56,MMR
58,7,4,MMR,MMR,MSH6,reviewed teacher label/alias -> official mouse symbol,Msh6,Msh6,ENSMUSG00000005370,MGI:1343961,17688,Msh6,protein_coding,SSB_others,29,57,MMR
59,7,5,MMR,MMR,PMS2,reviewed teacher label/alias -> official mouse symbol,Pms2,Pms2,ENSMUSG00000079109,MGI:104288,18861,Pms2,protein_coding,SSB_others,30,58,MMR
60,8,1,FA,FA,FANCA,reviewed teacher label/alias -> official mouse symbol,Fanca,Fanca,ENSMUSG00000032815,MGI:1341823,14087,Fanca,protein_coding,SSB_others,31,59,FA
61,8,2,FA,FA,FANCB,reviewed teacher label/alias -> official mouse symbol,Fancb,Fancb,ENSMUSG00000047757,MGI:2448558,237211,Fancb,protein_coding,SSB_others,32,60,FA
62,8,3,FA,FA,FANCC,reviewed teacher label/alias -> official mouse symbol,Fancc,Fancc,ENSMUSG00000021461,MGI:95480,14088,Fancc,protein_coding,SSB_others,33,61,FA
63,8,4,FA,FA,FANCE,reviewed teacher label/alias -> official mouse symbol,Fance,Fance,ENSMUSG00000007570,MGI:1920025,72775,Fance,protein_coding,SSB_others,34,62,FA
