file,sha256,downloaded_or_frozen_on,role
/Users/gzy2520/Desktop/graduate design/08_GO_annotation/mgi_mod_gaf_five_relation_20260822/source/MOUSE-mod.gaf.gz,6cbefce3a2efd9862f102a2732e923fde525c8fa59a3e5ce22e8178c3ebb0093,2026-08-22,MGI MOUSE-mod GAF snapshot retrieved 2026-08-22
/Users/gzy2520/Desktop/graduate design/08_GO_annotation/mgi_mod_gaf_five_relation_20260822/source/go-basic.obo,b08d45b268b8c24ccb2513dbbbc7d4df9f6521c099b413f79eb31e06e0fa3bcc,2026-08-22,GO ontology used for five-relation descendant expansion
/Users/gzy2520/Desktop/graduate design/08_GO_annotation/mgi_mod_gaf_five_relation_20260822/source/MRK_ENSEMBL.rpt,9df501dd751414a8e375a62a8821a0071c503428642cf0afe1beef978882703f,2026-08-22,MGI to Ensembl current cross-reference
/Users/gzy2520/Desktop/graduate design/08_GO_annotation/mgi_mod_gaf_five_relation_20260822/source/MGI_EntrezGene.rpt,872c8f499eae18fa98686e3f41dffde2d83ff2030e904035f3ce6521c3b25e54,2026-08-22,MGI to Entrez current cross-reference
/Users/gzy2520/Desktop/graduate design/08_GO_annotation/mgi_mod_gaf_five_relation_20260822/source/ensembl116_full_mgi_entrez_mapping.tsv.gz,4c9b5f5a828f501b515171b8a332e693f6f11e037e629d57f83675fe8ad7a312,2026-08-22,Full Ensembl release 116 BioMart MGI/Entrez mapping
/Users/gzy2520/Desktop/graduate design/08_GO_annotation/mgi_mod_gaf_five_relation_20260822/manual_review/00_five_relation_multi_route_manual_decisions.csv,ebf69c237a80cc44a2fb5893f5258b056da68481feb8dc99487c7925fcc412ec,2026-08-22,Manual official-ID review decisions for strict mapping exceptions
