family,ensembl_id,display_symbol,all_source_symbols,mgi_id,set_01_Cecum,set_02_Femoral_skin,set_03_Bone_marrow,set_04_Spleen_distal,set_05_Retina,set_06_Heart_Heart_right_ventricle
down_tissues,ENSMUSG00000003541,Ier3,Ier3,MGI:104814,1,1,1,1,1,1
down_tissues,ENSMUSG00000003549,Ercc1,Ercc1,MGI:95412,1,1,1,1,1,1
down_tissues,ENSMUSG00000003680,Taf6l,Taf6l,MGI:2444957,1,1,1,1,1,1
down_tissues,ENSMUSG00000003778,Brd8,Brd8,MGI:1925906,1,1,1,1,1,1
down_tissues,ENSMUSG00000003813,Rad23a,Rad23a,MGI:105126,1,1,1,1,1,1
down_tissues,ENSMUSG00000003847,Nfat5,Nfat5,MGI:1859333,1,1,1,1,1,1
down_tissues,ENSMUSG00000003868,Ruvbl2,Ruvbl2,MGI:1342299,1,1,1,1,1,1
down_tissues,ENSMUSG00000003873,Bax,Bax;mBAX/iso:7,MGI:99702,1,1,1,1,1,1
down_tissues,ENSMUSG00000004018,Fancl,Fancl,MGI:1914280,1,1,1,1,1,1
down_tissues,ENSMUSG00000004071,Cdip1,Cdip1,MGI:1913876,1,1,1,1,1,1
down_tissues,ENSMUSG00000004085,Map3k20,Map3k20,MGI:2443258,1,1,1,1,1,1
down_tissues,ENSMUSG00000004221,Ikbkg,Ikbkg,MGI:1338074,1,1,1,1,1,1
down_tissues,ENSMUSG00000004446,Bid,Bid,MGI:108093,1,1,1,1,1,1
down_tissues,ENSMUSG00000004698,Hdac9,Hdac9,MGI:1931221,1,1,1,1,1,1
down_tissues,ENSMUSG00000004934,Pias4,Pias4,MGI:2136940,1,1,1,1,1,1
down_tissues,ENSMUSG00000005087,Cd44,Cd44,MGI:88338,1,1,1,1,1,1
down_tissues,ENSMUSG00000005102,Eif2ak4,Eif2ak4,MGI:1353427,1,1,1,1,1,1
down_tissues,ENSMUSG00000005125,Ndrg1,Ndrg1,MGI:1341799,1,1,1,1,1,1
down_tissues,ENSMUSG00000005204,Senp3,Senp3,MGI:2158736,1,1,1,1,1,1
down_tissues,ENSMUSG00000005370,Msh6,Msh6,MGI:1343961,1,1,1,1,1,1
down_tissues,ENSMUSG00000005410,Mcm5,Mcm5,MGI:103197,1,1,1,1,1,1
down_tissues,ENSMUSG00000005413,Hmox1,Hmox1,MGI:96163,1,1,1,1,1,1
down_tissues,ENSMUSG00000005493,Msh4,Msh4,MGI:1860077,1,1,1,0,1,1
down_tissues,ENSMUSG00000005566,Trim28,Trim28,MGI:109274,1,1,1,1,1,1
down_tissues,ENSMUSG00000005718,Tfap4,Tfap4,MGI:103239,1,1,1,1,1,1
down_tissues,ENSMUSG00000005871,Apc,Apc,MGI:88039,1,1,1,1,1,1
down_tissues,ENSMUSG00000005883,Spo11,Spo11,MGI:1349669,1,1,1,1,1,1
down_tissues,ENSMUSG00000006288,Ttc5,Ttc5,MGI:2683584,1,1,1,1,1,1
down_tissues,ENSMUSG00000006335,Tfpt,Tfpt,MGI:1916964,1,1,1,1,1,1
down_tissues,ENSMUSG00000006360,Crip1,Crip1,MGI:88501,1,1,1,1,1,1
down_tissues,ENSMUSG00000006445,Epha2,Epha2,MGI:95278,1,1,1,1,1,1
down_tissues,ENSMUSG00000006599,Gtf2h1,Gtf2h1,MGI:1277216,1,1,1,1,1,1
down_tissues,ENSMUSG00000006678,Pola1,Pola1,MGI:99660,1,1,1,1,1,1
down_tissues,ENSMUSG00000006818,Sod2,Sod2,MGI:98352,1,1,1,1,1,1
down_tissues,ENSMUSG00000007035,Msh5,Msh5,MGI:1329021,1,1,1,1,1,1
down_tissues,ENSMUSG00000007080,Pole,Pole,MGI:1196391,1,1,1,1,1,1
down_tissues,ENSMUSG00000007570,Fance,Fance,MGI:1920025,1,1,1,1,1,1
down_tissues,ENSMUSG00000007646,Rad51c,Rad51c,MGI:2150020,1,1,1,1,1,1
down_tissues,ENSMUSG00000007659,Bcl2l1,Bcl2l1,MGI:88139,1,1,1,1,1,1
down_tissues,ENSMUSG00000007880,Arid1a,Arid1a,MGI:1935147,1,1,1,1,1,1
down_tissues,ENSMUSG00000008129,Brme1,Brme1,MGI:1921916,1,1,1,1,1,1
down_tissues,ENSMUSG00000008604,Ubqln4,Ubqln4,MGI:2150152,1,1,1,1,1,1
down_tissues,ENSMUSG00000008730,Hipk1,Hipk1,MGI:1314873,1,1,1,1,1,1
down_tissues,ENSMUSG00000008958,Vps72,Vps72,MGI:1202305,1,1,1,1,1,1
